old,new,speaker
"お、隊長！
いいところに来たね",,Sonel
"実は今、《第二防衛区画》を攻略する作戦を
立てていたところなんだけど
ちょっと困ったことがあってね",,Sonel
"それを解決できるかもしれない
“あるもの”を探してるんだ",,Sonel
"僕はここを離れられないし
隊長、手伝ってもらえないかな？",,Sonel
"そうか、ありがとう！
隊長なら、絶対断らないと思ってたよ！",,Sonel
"なぁに、ちょっとした“宝探し”みたいなものでね
ゆるい気持ちで取り組んでもらうといい",,Sonel
詳しくは後で説明するよ！,,Sonel
まずは、奪還作戦の現在の状況から説明しておこう,,Sonel
"《第一の門》を奪還したまでは良かったんだが
その門を開けての第二防衛区画攻略は
少々難しくてね",,Sonel
"当然、こちらから開けることは出来ないし
《集会場》に置いてあった“攻城槌”を使って
無理やりこじ開けることも考えたが――",,Sonel
"こちらに十分な戦力がない以上
正面からの突破は逆に危険だ",,Sonel
"まだ多数の残党が予想されるし
やはりここはまずこっそり潜入して
敵の状況を把握しておきたい",,Sonel
"《第二防衛区画》へは、いつも通り古井戸を利用して
潜入したいんだけど――",,Sonel
"今、手元にあるのは
《第一防衛区画の古井戸の地図》だけでね
それ以外の区画の情報がないんだ",,Sonel
"すまないが隊長、これから攻略する
《第二防衛区画の古井戸の地図》を
探してもらえないかな？",,Sonel
"城内のどこかにはあるはずなんだけど
敵に占拠されて荒らされたせいで
見つからなかったんだ",,Sonel
"何か知ってそうなのは――サムエルかな
彼は兵士としてはかなりの古株だからね
ボクなんかよりずっと大先輩さ",,Sonel
"少々気難しい性格なんだけど――
ボクとまともに会話できている隊長なら
たぶん大丈夫さ！",,Sonel
"何か知ってそうなのは――サムエルかな
彼は兵士としてはかなりの古株だからね
ボクなんかよりずっと大先輩さ",,Sonel
"少々気難しい性格なんだけど――
ボクとまともに会話できている隊長なら
たぶん大丈夫さ！",,Sonel
――――,,Samuel
"む――覚者殿
――何か用か？",,Samuel
《古井戸の地図》を探しているとな？,,Samuel
――――,,Samuel
心当たりは、ないな,,Samuel
"ソネル様が見つけられなかったなら
わしにも分からん",,Samuel
"む――他に知ってそうな人物は
いないか、だと？",,Samuel
――――,,Samuel
"わしより古くこの城にいる者は
そうはおらん",,Samuel
ただ――,,Samuel
"最近、若い盗賊の娘が
城内をウロウロしておる",,Samuel
"害はなさそうだが
あちこち物色してる姿をよく見かける",,Samuel
"どこかでその《古井戸の地図》を
見かけてないとも限らん",,Samuel
まぁ、あくまで可能性の話に過ぎないが,,Samuel
"最近、若い盗賊の娘が
城内をウロウロしておる",,Samuel
"害はなさそうだが
あちこち物色してる姿をよく見かける",,Samuel
"どこかでその《古井戸の地図》を
見かけてないとも限らん",,Samuel
まぁ、あくまで可能性の話に過ぎないが,,Samuel
"あ、隊長！
サムエルは何か知ってそうだったかい？",,Sonel
"――う～ん、そうか困ったなぁ
さすがに“一か八かの古井戸大冒険”を
するわけにもいかないしな",,Sonel
"迷ったら絶対出てこられないし――
地下牢暮らしはまだ良いとしても",,Sonel
"“部屋”ですらない
古井戸に永住するつもりはないからね！",,Sonel
"――隊長
残念なお知らせがある
どうやら奪還作戦もここまでのようだ！",,Sonel
心当たりがある,I have an idea,Sonel
作戦を終わりにする,,Sonel
"え、本当？！
そういう大事なことは
作戦参謀がみんなの前で
匙を投げる前に言ってほしいな！",,Sonel
ほんと、隊長も人が悪いなぁ！,,Sonel
"で、で！
その“心当たり”というのは？",,Sonel
"――ふむふむ、なるほど
この城にいる盗賊の娘、か",,Sonel
"そう言えば、確かにここ最近見かけるね
兵士たちとも仲良く話してるようだから
特に気にしてはいなかったけど",,Sonel
"確かに、何かを探すには
うってつけの人物かもしれない",,Sonel
"すまないけど、その娘に事情を話して
知ってることがないか聞いて来てもらえるかな？！",,Sonel
そうだよね、やっぱり――,,Sonel
"隊長、今までありがとう
ネド王子から託されたこの重大な任務を
完遂できなかったとあれば――",,Sonel
"このソネル、再び光の届かない冷たい石の部屋で
狂人を演じる生活に戻ることにするよ",,Sonel
"そしてやがてはみんなから忘れ去られ――
たまに通りかかる盗賊だけが
好奇心でボクをからかいにやって来る",,Sonel
それがこれから待つ、ボクの新たな人生さ――,,Sonel
"隊長、こんなボクに
最後に何か言葉をかけておくれよ",,Sonel
"――え？　その盗賊が最後の希望になるかも？
サムエルがそう言ってた――と",,Sonel
"事情はさっぱり呑み込めないが
ボクの人生を救えるのは盗賊だけだ！",,Sonel
隊長、頼んだよ！,,Sonel
"ボクの人生を救ってくれるなら
盗賊でも貴族でも蛮族でも――
何ゾクでも大歓迎さ！",,Sonel
さ、早く頼んだよ、隊長！,,Sonel
"ん？　なんだ覚者さんか
あたしになんか用？",,Ray
"え？　《古井戸の地図》を探してる？
ふーん、なんで？",,Ray
"重要な作戦に必要？
なんだか分からないけど、それがあれば
戦が終わるんだったら協力してあげてもいいよ",,Ray
"なんてったって戦が終われば
また楽しく盗みに入れる生活に戻れるからね！",,Ray
"う～ん、“古い地図”ねぇ――
まぁ、ようするにくたびれた紙切れよね",,Ray
"どうせなら宝石みたいなものを盗みに入りたいから
あたしはあんまり気に留めないんだけどさ",,Ray
"でもまぁ、あたし
嫌いじゃないよ？　ロマンとかそういうの
宝の地図とかさ、ちょっとわくわくするし",,Ray
"お目当ての地図かどうかはわからないけど
《大聖堂》をフラフラ探索してるときに
いくつかそれらしいもの見た気もするかなぁ",,Ray
"あ、まだ何も盗んでないからね！
今は、この城にいるのがなんか楽しくてさ
興味本位で見物してるだけなの",,Ray
"とりあえず、《大聖堂》の中
探してみたら？",,Ray
"お目当ての地図かどうかはわからないけど
《大聖堂》をフラフラ探索してるときに
いくつかそれらしいもの見た気もするかなぁ",,Ray
"あ、まだ何も盗んでないからね！
今は、この城にいるのがなんか楽しくてさ
興味本位で見物してるだけなの",,Ray
"とりあえず、《大聖堂》の中
探してみたら？",,Ray
"お！　隊長！
その顔から察するに、何か収穫が――",,Sonel
"ちょっと見せてもらえるかな？
――ふむふむ",,Sonel
"間違いない！　これだよ！
《第二防衛区画の古井戸の地図》！",,Sonel
"なるほど、つまりここからこうなって
こっちと見せかけて実はそっちだったりするわけか
そうなるとここへ出るには――",,Sonel
"うんうん、これさえあれば
思った通りの場所に出られそうだ！",,Sonel
"まぁ、この地図も井戸も古いからね
実際は今もこの通り繋がっているかは
定かではないけど――",,Sonel
"迷路のような構造が幸いして
いくつか迂回できそうなルートもあるし
なんとかなるんじゃないかな！",,Sonel
"や、さすがは隊長だ！
またしてもボクの人生最大のピンチを
救ってしまった――",,Sonel
"この紙切れ一枚のおかげで
首の皮一枚繋がったよ！",,Sonel
"よし！　さっそくこの《古井戸の地図》を元に
《第二防衛区画》の攻略作戦を練るとしよう",,Sonel
"ありがとう隊長！
作戦が決まるまで、ゆっくり休んでいてくれ
地下牢なんか涼しくて静かだし、休むのに
うってつけさ！",,Sonel
こ、これは――,,Sonel
"牛肉1400ｇ、玉ねぎ8個
ニンジン5本にじゃがいも10個
味付けに赤ワインと塩コショウ少々
生クリームはお好みで――",,Sonel
約10人分のシチューのレシピじゃないか！,,Sonel
"こう見えてボクはシチューには目がなくてね！
特に、この城の食堂のシチューは絶品さ！",,Sonel
"しかし――
入っている具材が食堂のと少し違うな
ボクがこの城に来る前のレシピだろうか",,Sonel
"その前とか、さらにその前の前とか――
もしかしたら古代のシチューのレシピすら
残っている可能性があるぞ！",,Sonel
"隊長！　実にイイものを見つけてくれた！
他にもっとないか、探してきてくれたまえ！",,Sonel
"え？　《古井戸の地図》はって？
意外だね！
隊長が、古井戸に目がないなんて知らなかったよ！",,Sonel
"ボクはすでに運命的なものと出会ってしまったからね
隊長の“ソレ”が見つかるよう、祈っておくよ！",,Sonel
これは――,,Sonel
『さすらい料理日記（ラスニテ山麓編）』,,Sonel
"『私は、一人のしがない料理人――
　この大陸で旅をしながら
　“料理の道”を極めるべく
　各地を転々としている』",,Sonel
"『ある時、ラスニテ山麓で
　イノシシの群れに襲われた――
　その時私を助けてくれたのは、意外な人物だった』",,Sonel
"『彼は盗賊としては少しふくよかな体系だったが
　疾風の如く駆け回り、イノシシの群れを軽くいなし
　瞬く間に追い払ってしまった』",,Sonel
"『色んな意味で意外な救世主だったが
　彼が逃げ遅れたイノシシを一匹捕まえて来たので
　お礼に腕を振るわせてくれないかと提案をした』",,Sonel
"『彼は快く私の申し出を受けてくれたばかりか
　日も暮れていたため、彼らのアジトで
　一泊宿を取らせてもらうこととなった』",,Sonel
"『“盗賊のアジト”と聞き、やや不安もあったが――
　彼らは気の良い連中で、私の思っていた
　盗賊のイメージとは少し違っていた』",,Sonel
"『この辺りには食材となるものはそれなりにあったが
　肝心の料理人と呼べる人間がおらず
　私はすっかり彼らに気に入られてしまった』",,Sonel
"『気が付けば、三か月近い月日が経っており
　私はすっかり“盗賊の料理番”となっていた
　いつの間にか、弓の扱いも覚えるほどに』",,Sonel
"『ある日、食材を探しに森を探索していたところ
　突然空から巨大な何かが降って来た』",,Sonel
"『それは、見たこともない白い毛並みの
　巨大なイノシシだった――』",,Sonel
"『魔物から逃げようとして崖から滑り落ちたのか――
　理由は定かではないが、ちょうどその日は
　獲物も見つからず帰ろうとしていたところだ』",,Sonel
"『さすがに担いで帰るわけにもいかず
　一番おいしそうな部分だけを
　ありがたく持ち帰ることにした』",,Sonel
"『その日の晩、私はその肉を使って鍋料理を作った
　それは、料理人の私も驚くほどの食感で――』",,Sonel
"『“フワフワなのに、ワイルドな噛みごたえ”
　まさにそんな感じだった』",,Sonel
"『彼らの驚くような顔がなんだか面白かったし
　二度と手に入るものでもないと思ったので
　食材の正体は秘密にしておいた』",,Sonel
"『そんな彼らとの暮らしは実に心地良かったが
　私は“料理の道”を極めるべく旅を始めたのだ――
　いつまでもここにいるわけにはいかない』",,Sonel
"『翌日――彼らと別れを告げ、再び旅立った
　今こうして私が旅を続けられているのも
　あの時イノシシの群れから救ってくれた
　彼のおかげだ』",,Sonel
"『盗賊故に本当の名は聞けなかったが
　“スニーカー”と名乗った彼は
　今も元気にしているだろうか』",,Sonel
"『再びラスニテ山麓へ赴いた時は
　白いイノシシを捕まえて
　またあの鍋を振舞いたい』",,Sonel
"――隊長
ものすごく長い、料理人の日記のようだが――",,Sonel
"最後まで期待して読んだのに
“古井戸”が出て来なかったじゃないか！
ボクのこの純粋な気持ち、どうしてくれるんだ！",,Sonel
"次こそは《古井戸の地図》――
本気のやつを頼むよ！",,Sonel
