old,speaker,english,speaker,english,speaker
向こうからはまだ何も言ってこないのか？,Joseph,,Joseph,,Joseph
"ベルタは悪い人間ではないらしいが
盗賊に王子の命運をゆだねることになるとは
これがレスタニアのことであれば耐え難い",Joseph,,Joseph,,Joseph
"うーむ――
ここでわたしが憤慨してもどうにもならん",Joseph,,Joseph,,Joseph
"さあ、行ってくれ
もしかすると、すでに王子の行方に関する
情報が入っているかもしれないからな",Joseph,,Joseph,,Joseph
"わたしにできることは
ネド王子の無事を祈ることくらいだ",Joseph,,Joseph,,Joseph
"近くにいれば王子に言ってやりたいことは
幾つもあるが――",Joseph,,Joseph,,Joseph
"今回の王子の行動はどんな理由があっても
褒められたことではないよね",Klaus,,Klaus,,Klaus
"でも、そんなことは王子自身も
わかっているはずだから――
となると、ますます理由が気になるよ",Klaus,,Klaus,,Klaus
"おお、来てくれたか
実はベルタからの連絡があってな",Meirova,,Meirova,,Meirova
"他ならぬ、おぬしに北の盗賊の集落まで
来てほしいとのことだ",Meirova,,Meirova,,Meirova
"連中は定期的に移住しているのだが
今の集落はこの城より北へ北へと
行ったところらしい",Meirova,,Meirova,,Meirova
"先に解放した礎から飛ぶと良い
そこから先の道程は地図で確認してくれ",Meirova,,Meirova,,Meirova
"わたしは盗賊とは相性が悪い
どうやらそう思われているみたい",Gillian,,Gillian,,Gillian
申し訳ないけれど、よろしく頼むね,Gillian,,Gillian,,Gillian
"留守の間に面倒なことになってるぜ隊長
メイロワ将軍と話したか？",Gurdolin,,Gurdolin,,Gurdolin
"いつでも動けるように準備しておくから
隊長、しっかり！",Lise,,Lise,,Lise
"辺境の盗賊ともなると警戒心が強いですね
まあ、王家との過去を考えると
当然のことらしいですけど",Elliot,,Elliot,,Elliot
"よく来たな
覚えているか？",Cyril,,Cyril,,Cyril
"俺たちは一度メガドで会っている
この再会は縁としか言いようがないな",Cyril,,Cyril,,Cyril
"覚えちゃいないだろうが
俺はお頭の孫のレイベンだ
イトコのスライと一緒に、ばあちゃんの護衛さ",Raven,,Raven,,Raven
"火垂れ山への秘密の経路のことは
まだ何もわかっちゃいないんだ",Bertha,,Bertha,,Bertha
"でも、この近くを通った王子を偶然見かけた
盗賊がいたらしい
独自の判断で王子の追跡を
始めたらしいが――",Bertha,,Bertha,,Bertha
"そう、察しがいいね
その追跡に出た盗賊仲間が戻らない
というわけだ",Bertha,,Bertha,,Bertha
"ここから先は、ここの盗賊の頭目
セロから聞いとくれ",Bertha,,Bertha,,Bertha
"あんたを呼んだのは他でもない
メイロワたちと違って、盗賊との間に
面倒な過去を抱えていないからさ
頼りにしてるよ！",Bertha,,Bertha,,Bertha
"孫たちがあたしを心配して
ついてきちまってね",Bertha,,Bertha,,Bertha
"戦うことは得意じゃないけど
ジッとしてはいられない
少しばかりやんちゃかもしれないけど
悪い子らじゃないからよろしく頼むよ",Bertha,,Bertha,,Bertha
"ちゃんとした挨拶はまだだったな
俺はここの頭目、セロだ",Cyril,,Cyril,,Cyril
