old,speaker
"おお――
わたしの声が聞こえるのか？
わたしの姿が見えるのか？",Lingering Skeleton
ならば、わたしの願いを聞いてくれ,Lingering Skeleton
"もう十年になるが――
わたしはこの祠で魔物に襲われ、死んだ
そしてこのような姿に――",Lingering Skeleton
"早く地上から消えてしまいたいが
まだ心残りがあるらしい",Lingering Skeleton
"頼む――
わたしの遺品を集めてくれないか？",Lingering Skeleton
"それがあればわたしは
消えることができる
――そんな気がするのだ",Lingering Skeleton
"おお――
わたしの声が聞こえるのか？
わたしの姿が見えるのか？",Lingering Skeleton
ならば、わたしの願いを聞いてくれ,Lingering Skeleton
"もう十年になるが――
わたしはこの祠で魔物に襲われ、死んだ
そしてこのような姿に――",Lingering Skeleton
"早く地上から消えてしまいたいが
まだ心残りがあるらしい",Lingering Skeleton
"頼む――
わたしの遺品を集めてもらえないか？",Lingering Skeleton
"それがあればわたしは
消えることができる
――そんな気がするのだ",Lingering Skeleton
"敵も多い上に遺品集めも面倒だ
苦労をかけるが――
頼む、この通りだ",Lingering Skeleton
"おお――
わたしの声が聞こえるのか？
わたしの姿が見えるのか？",Lingering Skeleton
ならば、わたしの願いを聞いてくれ,Lingering Skeleton
"もう十年になるが――
わたしはこの祠で魔物に襲われ、死んだ
そしてこのような姿に――",Lingering Skeleton
"早く地上から消えてしまいたいが
まだ心残りがあるらしい",Lingering Skeleton
"頼む――
わたしの遺品を集めてもらえないか？",Lingering Skeleton
"それがあればわたしは
消えることができる
――そんな気がするのだ",Lingering Skeleton
"魔物は山ほどうろついている上に
遺品も少々多いかも――
いや、はっきり言って結構あってな――",Lingering Skeleton
"面倒をかけるが――
頼む、この通りだ",Lingering Skeleton
"そうだそうだ――
確かにわたしが遺したものだ",Lingering Skeleton
"この品――
仲間に贈られた、想いがこもった装具――
おおお、思い出したぞ",Lingering Skeleton
"うむ――心が落ち着いてきた――
礼を言うぞ",Lingering Skeleton
"そうだそうだ――
確かにわたしが遺したものだ",Lingering Skeleton
"この品――
愛しきナディアの、愛がこもった装具――
おおお、思い出したぞ",Lingering Skeleton
"そう――彼女は安らぎだった
冒険者であった私を支え、時に冷たく
時に、ふふ、気のないそぶりで接した彼女――",Lingering Skeleton
"だが、わたしは知っている
彼女の冷たさはわたしへの想いの裏返し
なのだと",Lingering Skeleton
"うむ――心が安らいできた――
礼を言うぞ
本当にありがとう",Lingering Skeleton
"そうだそうだ――
確かにわたしが遺したものだ",Lingering Skeleton
"この品――
麗しきララの、真心がこもった装具――
おおお、思い出したぞ",Lingering Skeleton
"ああ――彼女の歌、そして呑みっぷり
すべてが甘く懐かしい
まさに荒れ地に墜ちたひと滴の貴酒――",Lingering Skeleton
"うむ――心が満たされてきた――
ああ、君のおかげだ",Lingering Skeleton
"心優しき覚者よ、礼を言うぞ
本当にありがとう",Lingering Skeleton
これで穏やかに去れそうに思う,Lingering Skeleton
ないのか？　見つからないのか？,Lingering Skeleton
"おお――どうか
どうか、見つけてくれ――",Lingering Skeleton
