old,speaker
"あなたは――？
あ、もしかして他の大陸の覚者さんですか？
父があなたの話をしているのを聞きました",Reich
"失礼の無いようにしなくちゃ――
僕はライシュと言います
父は今、族長補佐の仕事で留守にしていますが
――お仕事をお探しなんですか？",Reich
"ううん、そうだなぁ
あ、そうだ――届け物をお願いできますか？
エランの《<NPC 557>》という方へです",Reich
"他の地域に避難した方たちとは
定期的に物資のやりとりをしているのですが
担当者である父が多忙で手が回らず
旅人に託しそこねた案件のようなんです",Reich
"品物の調達もお願いしたいんですが
や――やっていただけますか？",Reich
"エランにいる《<NPC 557>》と
いう方に届け物をお願いしたいのです
品物の調達もお願いします",Reich
"えっと――
覚者さんが来たら、お仕事を
紹介するようにと父に言われていたんですが
僕、上手くできましたか――？",Reich
"――あらぁ、私に届け物？
わざわざ覚者さんが届けてくれるのかい？",Gobinet
"よそから来た覚者さんは
魔物の討伐だけじゃなくて
届け物なんてこともしてくれるんだねぇ",Gobinet
"あぁ、モルフォールからかい
今回はいつもより遅かったみたいだけど――
やっぱり、向こうも大変なんだろうねぇ",Gobinet
"こうやってやりとりすることで、離れた先から
少しでも故郷の助けができたら良いと思ってね
それに、モルフォールの物を見ることで
いつか帰るぞ、って頑張る気になれるんだよ",Gobinet
"届けてくれてありがとう、覚者さん
これからも、何かあったらよろしくね",Gobinet
