old,speaker,english,speaker,english,speaker
"殲滅できなかった魔物の残魂が
骸の将の力として吸収される！",The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：２０個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：１９個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：１８個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：１７個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：１６個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：１５個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：１４個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：１３個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：１２個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：１１個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：１０個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：９個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：８個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：７個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：６個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：５個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：４個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：３個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：２個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：１個,The White Dragon,,The White Dragon,,The White Dragon
浮遊呪符残り：０個,The White Dragon,,The White Dragon,,The White Dragon
