old,new,speaker,english,speaker,english,speaker
"覚者、お前に頼みたいことがある――
メガドを救い、<NPC 681>や市民たちから
一目置かれているお前にしかできないことだ",,Mephis,,Mephis,,Mephis
"それは――<COL ff2600>《潜入調査》</COL>だ
<NPC 681>の懐に潜入し
最も近い場所で情報を集めるんだ",,Mephis,,Mephis,,Mephis
"街の英雄が街の支配者に近付くのは
容易いこと――
覚者、お前がレジスタンスと関わっていると
知られない限りはな",,Mephis,,Mephis,,Mephis
"だから、昼は<NPC 681>の元で
《潜入調査》をしてもらいたい
危険な任務だが、受けてくれるか？",,Mephis,,Mephis,,Mephis
"よし、《潜入調査》を引き受けてくれるか
感謝する",,Mephis,,Mephis,,Mephis
"衆人環視の中で、いきなり戦闘を
仕掛けてくることはないと思うが――
備えておくに越したことはないだろう",,Mephis,,Mephis,,Mephis
準備ができたら、声をかけてくれ,,Mephis,,Mephis,,Mephis
"さて、それでは――
昼の《潜入調査》を開始するか？",,Mephis,,Mephis,,Mephis
はい,Yes,Mephis,,Mephis,,Mephis
いいえ,No,Mephis,,Mephis,,Mephis
"よし、分かった
ならば<STG 473>までの近道を教えよう
それから、これは大事なことだが――",,Mephis,,Mephis,,Mephis
"この任務中に<COL ff2600>《リム転移》を行うと
任務領域範囲外へ出たことになり、任務は失敗する </COL>
目立つ行動は避ける必要があるんだ――
気を付けてくれ ",,Mephis,,Mephis,,Mephis
"だが、<COL ff2600>任務を中断したいときは例外だ
覚者の力を使って、自力で帰ってきてくれ
</COL>俺には導いてやることができないからな",,Mephis,,Mephis,,Mephis
"ヤツはにこやかな顔をして
何を仕掛けてくるか分からん
準備は念入りにな",,Mephis,,Mephis,,Mephis
"おお、覚者どの！
ご無事でしたか――いやはや、さすが
心配するまでもなかったですな",,Navido,,Navido,,Navido
"まだこの辺りにオークの残党が残っていたようで
どうも、我が侯爵家を盾に取り
メガドの再支配を目論んでいたようでした",,Navido,,Navido,,Navido
"まさか覚者殿をお招きした時にこのような
大変な事態が起きてしまうとは、許されざる失態
――大変に申し訳ない
許して欲しいとは申せません",,Navido,,Navido,,Navido
"お詫びをさせていただきたいところなのですが
実は――昨晩の襲撃の影響で
何人もの使用人に暇を願い出られたうえ
家財の被害も大きくてんやわんやなのです",,Navido,,Navido,,Navido
"民を治めなければならぬ立場の者が
我が屋敷1つ治められぬとは――
いやはや、不甲斐ないばかりです",,Navido,,Navido,,Navido
助力を申し出る,Offer assistance,Navido,,Navido,,Navido
何もしない,Do nothing,Navido,,Navido,,Navido
"――なんと！
この至らぬ私に
手を差し伸べてくださると！？",,Navido,,Navido,,Navido
"なんと慈悲深きお方なのでしょう――
噂通り、いえそれ以上ですな
貴方様がお手伝いくださるとなれば
屋敷の者たちも大喜びしますよ",,Navido,,Navido,,Navido
"それでは、早速ですが
オークどもに破壊された家具など――
これらの修繕に必要な資材と
職人の調達をお願いできますかな？",,Navido,,Navido,,Navido
"資材の手配は＜<NPC 4775>＞に
職人の手配は＜<NPC 3274>＞に
申し付けてあります",,Navido,,Navido,,Navido
"彼らの元へ向かい、手伝って
やってきてはいただけませんかな？",,Navido,,Navido,,Navido
