old,speaker
"ふん、噂は聞いている
タラスクの件について、お前が対応しているようだな
おかげで、俺は技の研鑚に集中できている――",Adair Donnchadh
"何？　お前に頼むようなことなど、今は特に――
――いや、一つあったな
差支えなければ、一つ遣いを頼まれてはくれまいか",Adair Donnchadh
"モルフォールにいる青年《<NPC 2604>》――
彼の助けになる物を
俺の代わりに届けてやってほしい
そして、槍術に全てを注ぎ込む気はないか聞いてくれ",Adair Donnchadh
"日々の暮らしで鍛錬の余裕も無いようなのだ
余計な世話かもしれぬ事は承知の上だが
あの才を腐らせておくのは少々惜しい
――頼めるだろうか",Adair Donnchadh
"モルフォールにいる青年《<NPC 2604>》――
彼に暮らしの助けとなる物を届けてほしい
少しでも、槍術に集中できるようにしてやりたいのだ",Adair Donnchadh
"他人の生活に口出しすることは滅多にないが
――野外鍛錬時に、偶然彼の者の動きを目にしてな
その時から気にはかけていたのだが――",Adair Donnchadh
"ふう――こうも毎日毎日いろんな事があると
槍術の技を磨くのもままならないよね
もう少し、暮らしが落ち着くといいんだけど――",Thorin
"わぁ、こんな素晴らしい物もらっていいのかい？
ありがとう、きっとみんな喜ぶよ
一体誰がこんな親切を――",Thorin
"えぇっ！
あ、あ、あのアデルドナハさんが！？
フィンダム一の槍士と名高い、あの人が
僕に目をかけてくれているのか？",Thorin
"弟子にしてもらえるかもなんて、夢みたいな話だ
そりゃあ、すっごく嬉しいけど――
村もこんな状態だ、中途半端な気持ちで取り組んでは
失望させてしまう――ううん、少し考えさせてくれ",Thorin
