old,speaker,english,speaker,english,speaker
"白竜様は、警告はされましたが
行くなとはおっしゃいませんでした
隊長――お願いします",Cecily,,Cecily,,Cecily
"もうあの島では助けてはやれぬ
それを知った上で、己の心に従え",The White Dragon,,The White Dragon,,The White Dragon
"わたしは、君たちが知らない
あの島の光に近い、上陸場所を知っている",Loeg,,Loeg,,Loeg
病気治療の礼もある、喜んで案内させて貰うよ,Loeg,,Loeg,,Loeg
"隊長、ガルドリンの言うとおりだよ？
絶対黒騎士がいるよ
どうするつもり？",Lise,,Lise,,Lise
隊長、行くだけ、行きませんか？,Elliot,,Elliot,,Elliot
"様子見というか偵察というか――
進むより、退くことを考えながら行くんです",Elliot,,Elliot,,Elliot
"あの光に近付くことは
大きな危険を伴う賭けでしかない――",Joseph,,Joseph,,Joseph
どうも嫌な予感がするぞ,Joseph,,Joseph,,Joseph
"もし島へ行くことになったら
不思議な光というか光源というか――
それをよく見てきてくれないか？",Klaus,,Klaus,,Klaus
"セシリーの顔は、ありゃあ覚悟を決めた顔
止めても聞く耳持たねえぞ？
――行くしかねえな",Gurdolin,,Gurdolin,,Gurdolin
"もし死んだら、セシリーの使命とやらは
その程度ってことなんだろうよ",Gurdolin,,Gurdolin,,Gurdolin
生き延びる方に賭けてやる,Gurdolin,,Gurdolin,,Gurdolin
"ロイグに案内させれば
状況も変わるかもしれない",Gurdolin,,Gurdolin,,Gurdolin
港の船に集合でいいな？,Gurdolin,,Gurdolin,,Gurdolin
"新たにロイグから聞いた上陸場所は
島の裏手にある絶崖の真下だ
さあ、乗った乗った！",Zerkin,,Zerkin,,Zerkin
なるほど、このあたりは初めてだな,Gurdolin,,Gurdolin,,Gurdolin
"よし、ここから島の中心を目指すぞ
あの、うすら明るい場所が目標だ",Gurdolin,,Gurdolin,,Gurdolin
"ロイグと一緒に隊長の後を行きます
よろしくお願いします",Cecily,,Cecily,,Cecily
"くれぐれも気をつけて
このあたりはフィンダムの辺境だ",Loeg,,Loeg,,Loeg
わたしも馴染みのある場所ではないからね,Loeg,,Loeg,,Loeg
"黒騎士、来ますかね？
来ますよね？",Elliot,,Elliot,,Elliot
"セシリーたちはわたしにまかせて
隊長は、どんどん先行っちゃって！",Lise,,Lise,,Lise
"ああ、こんな事になるなんて――
隊長、セシリー、大丈夫ですよね！？　",Elliot,,Elliot,,Elliot
"きっと助かりますよね！？
ねえ、そう言って下さい、隊長！！",Elliot,,Elliot,,Elliot
"セシリーのことはわたしに任せて
隊長さんは、今後のことを考えてくださいな",Pamela,,Pamela,,Pamela
"セシリーは大丈夫だよ――
ねえ、そう言って？",Mayleaf,,Mayleaf,,Mayleaf
"わたしは幸い軽傷だから心配はいらないよ
しかしセシリーは――",Loeg,,Loeg,,Loeg
ああ、わたしのせいかもしれないな,Loeg,,Loeg,,Loeg
"こうなってみると――
島への訪問は軽率だったということに
なるかもしれませんね",Elliot,,Elliot,,Elliot
隊長――,Lise,,Lise,,Lise
"黒騎士を倒すのはやっぱり
今のわたしたちじゃ無理だよ",Lise,,Lise,,Lise
（弱々しい呼吸の音が聞こえる）,Cecily,,Cecily,,Cecily
"反省はほどほどにしておかねえと
何もできなくなるぜ",Gurdolin,,Gurdolin,,Gurdolin
僕たちはセシリーを失ったわけじゃない,Klaus,,Klaus,,Klaus
"――そうだろ？
回復後のこと、次のことを考えなくちゃ",Klaus,,Klaus,,Klaus
黒き騎士とて不死身ではない,The White Dragon,,The White Dragon,,The White Dragon
"セシリーの容態は楽観できないそうだ
しかし――",Joseph,,Joseph,,Joseph
"これで黒騎士が目的を果たしたのなら
我々には平穏が訪れるのではないか――",Joseph,,Joseph,,Joseph
"レスタニアの安全が叶うのではないかと
思わずにはいられないのだ",Joseph,,Joseph,,Joseph
すまない――我ながら嘆かわしい限りだ,Joseph,,Joseph,,Joseph
