old,new,speaker,english,speaker,english,speaker
"お前には、これから夜のメガドで一緒に
<COL ff2600>《諜報活動》</COL>へ出かけてもらう",,Mephis,,Mephis,,Mephis
"諜報とは――簡単に言えば
尋問で使える<COL ff2600>《証拠》</COL>なんかの情報を入手するため
メガドの街を探索するんだ",,Mephis,,Mephis,,Mephis
"時には人の欲しい物を納品したり
邪魔な奴らを力で片付けたりする必要もあるだろう",,Mephis,,Mephis,,Mephis
"ヤツを落とすための《証拠》は
この《諜報活動》でしか入手することができない
――非常に重要な任務だ",,Mephis,,Mephis,,Mephis
"今回は、俺が誘導する――
《諜報活動》がどのような任務なのか
説明する必要があるからな",,Mephis,,Mephis,,Mephis
"次回の諜報活動からは
自由に探索してもらうつもりだ
――覚えておいてくれ",,Mephis,,Mephis,,Mephis
"夜のメガドは、お前が知っているメガドより
ずっと危険だ――
準備を怠るなよ",,Mephis,,Mephis,,Mephis
"――俺の準備はいつでも万端だ
出発する時に、また声をかけてくれ",,Mephis,,Mephis,,Mephis
"さぁ、準備ができたのなら
《諜報活動》に出発するか？",,Mephis,,Mephis,,Mephis
はい,Yes,Mephis,,Mephis,,Mephis
いいえ,No,Mephis,,Mephis,,Mephis
どうした？　諜報活動を続けよう,,Mephis,,Mephis,,Mephis
おい覚者、夜のメガドには気をつけろ,,Mephis,,Mephis,,Mephis
"夜のメガドは昼と違い、ナヴィドの息がかかった
憲兵がウヨウヨいやがるからな
見つかりでもしてみろ
捕まえようと襲いかかってくるぞ",,Mephis,,Mephis,,Mephis
"それから、探索も慎重に行け
うまく忍べば、路地裏なんかで
コソコソしている奴らの危ない話を
聞いたりできるかもしれんぞ",,Mephis,,Mephis,,Mephis
"とにかく、昼間のメガドと違って
何が起きるかわからないから――
常に気を抜くなよ",,Mephis,,Mephis,,Mephis
"くそ、憲兵が見張ってやがる
　　　　　今はこの先に行けないな――",,Mephis,,Mephis,,Mephis
憲兵だと――チッ、顔を見られるなよ,,Mephis,,Mephis,,Mephis
"犬程度なら楽勝だな
　　　　　さっさと追い払っちまおう",,Mephis,,Mephis,,Mephis
仕方ない、落し物を見つけてやろう,,Mephis,,Mephis,,Mephis
"あぁ、もう――
<NPC 698>ったら人使いが荒いんだから",,Lady of the Night,,Lady of the Night,,Lady of the Night
"メフィスゥ――
あんたまだレジスタンスなんてモンを
やってんのかと思ったら――
まさか、 "メガドの英雄" を味方につけたのかい？",,Johoya,,Johoya,,Johoya
"英雄サン、あんたもお人よしだねェ――
ま、あんたがそっち側につくってんなら
<NPC 681>を倒すなんて絵空事も
俄然現実味を帯びてくるってもんさね",,Johoya,,Johoya,,Johoya
"ところで、顔を見せに来たって訳じゃないんだろ
――仕事の話かい？",,Johoya,,Johoya,,Johoya
――――,,Johoya,,Johoya,,Johoya
"――――
――ふぅん、なるほどね
<NPC 691>とかいうゴロツキの素性が知りたいと",,Johoya,,Johoya,,Johoya
"ゴロツキどもに詳しい奴なら知ってるよ
この辺を締めてるそいつなら、<NPC 691>とやらに
心当たりがあるかもしれないねェ",,Johoya,,Johoya,,Johoya
"あたしの情報は高くつくよ――と言いたいところだが
今回は覚者さんに免じてサービスしたげるよ
簡単なお使いさえ済ませてくれればいい",,Johoya,,Johoya,,Johoya
"あんたの地図に３ヵ所、印をつけておいた
<COL ff2600>３つのうち、好きなものを１つ選んで
こなしてきてもらいたい</COL>",,Johoya,,Johoya,,Johoya
"それぞれの場所にあたしの助手がいるから
そいつらから詳しい話を聞くんだね
――それじゃ、頼んだよ",,Johoya,,Johoya,,Johoya
"その女はジョウホウヤと呼ばれていて
　　　　　情報を集めるプロだ――挨拶して損は無い",,Mephis,,Mephis,,Mephis
まずは恩を売っておくとしようか――,,Mephis,,Mephis,,Mephis
"新しい《証拠》を入手したぞ！
　　　　　ジョウホウヤに一応礼をしに行こう",,Mephis,,Mephis,,Mephis
"<NPC 691>とか言うゴロツキの正体が
知りたいんだろう？
だったら、あたしに声をかけたのは正解だったね
覚者さん、あんたに免じてサービスしとくよ",,Johoya,,Johoya,,Johoya
"あんたの地図に３ヵ所、印をつけておいた
<COL ff2600>３つのうち、好きなものを１つ選んで
こなしてきてもらいたい</COL>",,Johoya,,Johoya,,Johoya
"それぞれの場所にあたしの助手がいるから
そいつらから詳しい話を聞くんだね
簡単なお使いだが――引き換えに情報を渡すよ",,Johoya,,Johoya,,Johoya
"頼みたいことは３つある――
だけど、そのうちの１つを選んで
こなしてきてくれればいいからね",,Johoya,,Johoya,,Johoya
"あんたの地図に３ヵ所印をつけておいた――
それぞれの場所に助手を派遣してるから
詳しくは彼らに聞くんだよ",,Johoya,,Johoya,,Johoya
"働かざる者食うべからず――
情報が欲しけりゃ
ちゃっちゃと終わらせてきな",,Johoya,,Johoya,,Johoya
１つ終わったらあたしに報告しにきなよ,,Johoya,,Johoya,,Johoya
"やってきてくれたようだね
じゃ、約束だ",,Johoya,,Johoya,,Johoya
"確か、捕まえた<NPC 691>って不審者の
正体が知りたいんだったね――
それなら、この先の細い路地にいつもいる
<NPC 693>に聞いてみるといい",,Johoya,,Johoya,,Johoya
"そいつはなんでも、メガドの
夜の住民の顔を全員覚えているって噂だ
――真偽は定かじゃないがね",,Johoya,,Johoya,,Johoya
"しかも、人柄もしっかりしてて
"夜のメガドの顔役になる" とか大口叩いてんだとさ
――なんでゴロツキなんてやってんのかね？",,Johoya,,Johoya,,Johoya
"とにかく、その<NPC 693>に
会ってみるといいよ",,Johoya,,Johoya,,Johoya
"なぁに――
あら、<NPC 698>からの紹介なの？",,Lady of the Night,,Lady of the Night,,Lady of the Night
"手伝ってくれるなら助かるわ
ちょうど困っていたところなの――",,Lady of the Night,,Lady of the Night,,Lady of the Night
"この先にある広場に用事があるんだけどね
憲兵がたむろしていて困っていたのよ
いついなくなるかも分からないし――",,Lady of the Night,,Lady of the Night,,Lady of the Night
