old,speaker,english,speaker,english,speaker
さあ、フィンダムへ行ってやりなさい,Joseph,,Joseph,,Joseph
"ガルドリンの安否が気になるが――
部下たちも指示を待っているのではないか？",Joseph,,Joseph,,Joseph
フィンダムでは竜までが変調をきたしている――,Klaus,,Klaus,,Klaus
"これはもう、フィンダムをフィンダムたらしめている
均衡が崩れているということだから
原因を見極めるのは難しいかもしれないなあ",Klaus,,Klaus,,Klaus
"わたしたち、ここじゃ右も左もわからないから
セシリーの意見に従うのが一番かもね",Lise,,Lise,,Lise
隊長！,Cecily,,Cecily,,Cecily
ガルドリンとロイグを探しに行きましょう,Cecily,,Cecily,,Cecily
"先の廃村から、さらに北へ行ったところに
ダナという村があります",Cecily,,Cecily,,Cecily
"そこで保護されているかもしれないし――
何か情報があるかもしれません",Cecily,,Cecily,,Cecily
"ダナ村の人たちは少し気むずかしいのですが
けして悪い人たちではありません",Cecily,,Cecily,,Cecily
"どんなに腹立たしいことがあっても
それだけは忘れないでくださいね",Cecily,,Cecily,,Cecily
"わたしとエリオットは、村以外を探すよ
そのあたりで倒れてるかもしれないしね",Lise,,Lise,,Lise
"フィンダムの旅は始まったばかり
これくらいのことは起こりますよ",Elliot,,Elliot,,Elliot
今度は俺が、あの人を助ける番です,Elliot,,Elliot,,Elliot
また異国の客か――,Pisarr,,Pisarr,,Pisarr
"気をつけろ
この村の連中――すぐ怒りやがる",Gurdolin,,Gurdolin,,Gurdolin
客人はまず我らの族長ピサルと話してもらう,Blair,,Blair,,Blair
――不思議な服だな,Gavan,,Gavan,,Gavan
"我らのダナ村は戦士の村
おかしな真似をすると、全身に槍が突き刺さる
それを忘れるなよ",Cana,,Cana,,Cana
"ダナの村では古くから、信頼が必要とされる際
それに見合う、証を示さねばならないのです",Cecily,,Cecily,,Cecily
"証についてですが――
この村のエリアマスターであるラザネイルなら
何か手掛かりを教えてくれるかも知れません",Cecily,,Cecily,,Cecily
"ラザネイルはこの村の中心となる建物
セントラムにいるはずです",Cecily,,Cecily,,Cecily
"なんだか知らねえが、この石頭どもの
言うとおりにしてくれ",Gurdolin,,Gurdolin,,Gurdolin
"おまえたちの正しさ、身の証が示されるまでは
全てを信じることなど、とても叶わぬことよ",Pisarr,,Pisarr,,Pisarr
我らが族長ピサルの指示に従うより道はない,Blair,,Blair,,Blair
――それがおまえたちの戦服なのか？,Gavan,,Gavan,,Gavan
"我らのダナ村は戦士の村
おかしな真似をすると、全身に槍が突き刺さる
それを忘れるなよ",Cana,,Cana,,Cana
"古来より伝わる方法とかで
身の証が立つなんて単純な世界だね",Lise,,Lise,,Lise
"まずはなんにせよ、俺たちのこと
信じて貰うしかないですね",Elliot,,Elliot,,Elliot
"ガルドリンも囚われのままですし
今、我々が、最優先すべき事案です",Elliot,,Elliot,,Elliot
"セシリーの友達だね
もう、礎の解放は済んだのかい？",Razanailt,,Razanailt,,Razanailt
"あたしはね、セシリーがちっちゃい頃から
彼女のチャンバラの相手をしてやってたんだ",Razanailt,,Razanailt,,Razanailt
"この村の連中は考えがちょっと古臭いけれど
悪い奴はいない
だから恨まないでやってくれ",Razanailt,,Razanailt,,Razanailt
"ああ、身の証のことだけれど、それに詳しい奴を
紹介するよ、いいって任しときな",Razanailt,,Razanailt,,Razanailt
"そいつは精霊を呼び込む槍の名手でね
今は村を出て、この先にある丘の上に
住居を構えているよ",Razanailt,,Razanailt,,Razanailt
"アデルドナハって男さ
槍について、この男の右に出るものはないね",Razanailt,,Razanailt,,Razanailt
"なに、あんたなら無事、身の証を立てれると
思ってるよ",Razanailt,,Razanailt,,Razanailt
"それとは別で、あんたには相談したいことが
色々あるんだ、良かったら聞いてくれるかい？",Razanailt,,Razanailt,,Razanailt
"身の証を示すために、アデルドナハのもとへ
お願いします",Cecily,,Cecily,,Cecily
"ほう――貴様か
ラザネイルの使いが伝えてきた者とは",Adair Donnchadh,,Adair Donnchadh,,Adair Donnchadh
"身の証を立てたいそうだな、一向に構わん
如何なる者でも止めはしない
自身を証明するための試練なのだからな",Adair Donnchadh,,Adair Donnchadh,,Adair Donnchadh
"ここより西にある"ダナウィンの挑堂"に
向かうが良い",Adair Donnchadh,,Adair Donnchadh,,Adair Donnchadh
"貴様が証に足る器を備えていれば
挑堂にて襲いかかる試練に、打ち勝つことが
できるだろう",Adair Donnchadh,,Adair Donnchadh,,Adair Donnchadh
ほう――あの魔物を倒したのか！？,Adair Donnchadh,,Adair Donnchadh,,Adair Donnchadh
"ならばこれより先、おまえたちの言葉は
真実の響きを持つことになるだろう
心して、語るがいい",Adair Donnchadh,,Adair Donnchadh,,Adair Donnchadh
"疑いは晴れた
数々の無礼を許してくれ
我々の心は少々疲れ、荒んでいたようだ",Pisarr,,Pisarr,,Pisarr
"我々は竜を崇め"芯なる樹"を守ってきた
その"芯なる樹"が、ある日病気になったのだ",Pisarr,,Pisarr,,Pisarr
"そしてセシリー、おまえが消えてほどなく
竜も気が触れてしまった",Pisarr,,Pisarr,,Pisarr
""芯なる樹"が放つ淀んだ竜力は
我らの竜、ウィルミアをも侵したのだ",Pisarr,,Pisarr,,Pisarr
"同時に、竜力は大地を巡り
多くの魔物を侵食魔へと変えてしまった",Pisarr,,Pisarr,,Pisarr
"行き違いがあったが、許して欲しい
よくぞ戻ったと言わせてくれ",Pisarr,,Pisarr,,Pisarr
""芯なる樹"の治療のため、この瞬間も
どこかで奮闘しているおまえの父――
ガラダも安心することだろうよ",Pisarr,,Pisarr,,Pisarr
"我らの幾多の無礼を許し
ガラダとその娘セシリー
そして竜とフィンダムと我々に力を貸してほしい",Pisarr,,Pisarr,,Pisarr
"やっぱり思った通りだよ
あんたならやれると分かってた",Razanailt,,Razanailt,,Razanailt
"あんたがこの村に来たことは
あたしは"きっかけ"だと思ってるんだ",Razanailt,,Razanailt,,Razanailt
"この村が、そしてフィンダムが、もっとずっと
良い方向に舵を切るための"きっかけ"なんだってさ",Razanailt,,Razanailt,,Razanailt
