old,speaker,english,speaker,english,speaker
"いよいよこの時が来た
ついに滅びの渦がメルゴダの深淵の空に現れた",The White Dragon,,The White Dragon,,The White Dragon
暗黒の世界と我がレスタニアを繋ぐ門だ,The White Dragon,,The White Dragon,,The White Dragon
"黒竜が渦をくぐり抜ける前に倒さなければ
我々の理は破壊され、世界は滅ぶだろう",The White Dragon,,The White Dragon,,The White Dragon
我が最後の力をおまえに託す,The White Dragon,,The White Dragon,,The White Dragon
行け、我が覚者よ,The White Dragon,,The White Dragon,,The White Dragon
"生ある限り戦いは続く
よって――",The White Dragon,,The White Dragon,,The White Dragon
"これをおまえの最後の戦いにしてはならぬ
いざ――メルゴダの深淵へ",The White Dragon,,The White Dragon,,The White Dragon
"ジョゼフのじいさんめ、妙に穏やかな顔を
しやがって――",Gurdolin,,Gurdolin,,Gurdolin
"ありゃあ覚悟を決めた顔だ
ふん――
俺たちを信じろってなあ？",Gurdolin,,Gurdolin,,Gurdolin
"隊長、いよいよこの時が来た――
そう思っていいんだよね？
ついに黒竜との決戦だよね？",Lise,,Lise,,Lise
ああ、震えちゃうなあ,Lise,,Lise,,Lise
"俺はね、あちこちに渦が現れるようになってから
ずっと考えてるんです",Elliot,,Elliot,,Elliot
"レオ統率が、この世界にはたくさんの
理があるって言ってからずっと――",Elliot,,Elliot,,Elliot
"俺、何も知らないんだな――って
だから、負けてそのまま死んじゃうなんて
絶対にできませんよ",Elliot,,Elliot,,Elliot
"ついにだね
最後の滅びの渦がメルゴダの深淵に現れてから
すぐさまテオドール様の元へ行ってきたんだ",Klaus,,Klaus,,Klaus
"君のために、僕が出来る準備は
すべてしておいたつもりだよ",Klaus,,Klaus,,Klaus
"これまで幾多の危機を乗り越えてきた
我がレスタニアだが――",Joseph,,Joseph,,Joseph
"取り分け深刻な危機を回避できたのは
おまえのおかげだ",Joseph,,Joseph,,Joseph
"メルゴダの深淵は、メルゴダ護政区の奥深く
だが、黒剣を探し出して破壊せねば護政区には
近づけんことは既に承知の通りだ",Joseph,,Joseph,,Joseph
"テオドールから使いが参ってな
黒剣は亡都メルゴダで発見されたそうだ",Joseph,,Joseph,,Joseph
"メルゴダでの黒剣の発見は、クラウスが
いちはやく動いてくれたお陰らしい",Joseph,,Joseph,,Joseph
"クラウスから詳細を聞いた後、亡都メルゴダで待つ
テオドールの元へ向かってくれ",Joseph,,Joseph,,Joseph
"今回も頼りにさせてもらうぞ
いや、おまえのことだ
もはや重荷とさえ感じていないかもしれんな",Joseph,,Joseph,,Joseph
"クラウスの奴め、なんだかんだでもう
立派にわたしを追い越しておるわ",Joseph,,Joseph,,Joseph
"黒剣の場所は、テオドール様と共に
もう目星は付けてある",Klaus,,Klaus,,Klaus
"そして、渦が現れたメルゴダの深淵がある護政区は
すでに闇の中だ",Klaus,,Klaus,,Klaus
"テオドール様の元へ行く前に
メルゴダ護政区の近くへ行って、渦の様子も
見ておいた方が良い",Klaus,,Klaus,,Klaus
"渦は、地図のこの場所ならよく観察できると思う
僕にできることは悔しいけどここまで",Klaus,,Klaus,,Klaus
"お願いだ、滅びの渦を退けて
帰ってくると約束して",Klaus,,Klaus,,Klaus
必ずだよ――,Klaus,,Klaus,,Klaus
必ず帰ってきて欲しい――,Klaus,,Klaus,,Klaus
"ジョゼフ様とふたりで思い出話なんて
ゾッとするからね！",Klaus,,Klaus,,Klaus
"あれか！
これまでの渦とは何かが違うな",Gurdolin,,Gurdolin,,Gurdolin
おい、急ぎテオドールのところへ向かうぞ！,Gurdolin,,Gurdolin,,Gurdolin
とっととかかるぞ！,Gurdolin,,Gurdolin,,Gurdolin
"大きい――
あの渦の向こうには、黒竜がいるんだね",Lise,,Lise,,Lise
"あの渦を通り、黒竜がこの世界に到達する
そういうことですよね！　俺たち急がないと！",Elliot,,Elliot,,Elliot
"メルゴダの深淵に現れた、あの黒い渦――
そして、ここ亡都メルゴダの地面に突き立てられた
黒剣の意味はジョゼフ殿の使者から聞いた",Theodor,,Theodor,,Theodor
"禍の始まりの地、ディアマンテスの所業から
既にこの日が来る運命となっていたのだろう",Theodor,,Theodor,,Theodor
"君にはいつも大きなものばかり背負わせてしまうが
それも同じく宿命だと思って受け入れてくれ",Theodor,,Theodor,,Theodor
"さて――問題の黒剣の場所だが
クラウスが、メルゴダの錬金術師の中心となり
調べ上げてくれた",Theodor,,Theodor,,Theodor
"今は、いくばくかの仲間が黒剣を破壊しようと
動いているが、わたしたちの数では
黒剣に集う魔物たちを、完全に追い払う事が
出来ないでいる",Theodor,,Theodor,,Theodor
"力を貸して欲しい
黒剣は全部で２箇所
全ての剣を破壊しなくてはならない",Theodor,,Theodor,,Theodor
"亡都メルゴダの行く末は、君と共にある
よろしく頼む",Theodor,,Theodor,,Theodor
"思えば――
この切り離されたメルゴダをレスタニアに
引き戻してくれたのは君だったな",Theodor,,Theodor,,Theodor
"運命――宿命――いや、理というべきか
我々にそれを取り戻してくれたのは
あの日の君だ
もう一度、頼らせてくれ",Theodor,,Theodor,,Theodor
加勢かたじけない、地上の覚者よ,Beatrix,,Beatrix,,Beatrix
"黒剣は破壊出来ようとも、もはやあの渦を
消し去る術は、あなたに頼るしかありません",Beatrix,,Beatrix,,Beatrix
"クラウスが示した次の黒剣のある場所は
この先です",Beatrix,,Beatrix,,Beatrix
メルゴダと私達の未来を、あなたに託します,Beatrix,,Beatrix,,Beatrix
"あなたから不思議な力を感じます
あなたを見守り、願う、たくさんの祈りのような――",Beatrix,,Beatrix,,Beatrix
すべての竜があなたと共にあらんことを,Beatrix,,Beatrix,,Beatrix
テオドール様が次の場所に向かわれた,Iosef,,Iosef,,Iosef
"ここと同じく、辺りは闇の魔物で溢れている
急いで欲しい",Iosef,,Iosef,,Iosef
"これで、亡都メルゴダに突き立てられた黒剣は
すべて破壊できた",Theodor,,Theodor,,Theodor
"この地からの竜力の吸い上げは止まり
闇に閉ざされたメルゴダ護政区を救う算段が
立てれるはずだ",Theodor,,Theodor,,Theodor
"君の仲間がすでに、メルゴダ護政区の
入口へ向かっている",Theodor,,Theodor,,Theodor
"さあ、残りの魔物はわたしたちに任せてくれ
仲間の元へ行くと良い",Theodor,,Theodor,,Theodor
"このわたしにも、魔物と戦う力が
まだ残っていようとはな",Theodor,,Theodor,,Theodor
"しかし、これで終わりだ
クラウスには、錬金術師が戦う必要のない
新たな未来を築いてもらうつもりだからな",Theodor,,Theodor,,Theodor
隊長、黒剣は全部破壊できたみたいだね,Lise,,Lise,,Lise
"ゲートの発見は、わたしたちに任せて
隊長は、急ぎ神殿に戻って準備してきて",Lise,,Lise,,Lise
"わたしたちは、隊長の動きに合わせて
ここで闇の流れを見張ってるからね",Lise,,Lise,,Lise
"レオが何か考えてんなら
そろそろ動きがあってもおかしくねえ",Gurdolin,,Gurdolin,,Gurdolin
"まあ、何をしてこようが、あいつは俺たちの敵だ
こっちも本気で行くぜ",Gurdolin,,Gurdolin,,Gurdolin
"レオ統率が、どんな世界を望もうとも
世界が無くなってしまえば元も子もないですよね",Elliot,,Elliot,,Elliot
"ましてや理を壊すだなんて
レスタニアを守ってきたのは俺たちの隊長なんです
それだけは事実ですから",Elliot,,Elliot,,Elliot
"亡都メルゴダに突き立てられた黒剣も
全て破壊できたようだな",Travers,,Travers,,Travers
"すでに白竜様により、メルゴダ護政区を包む
闇の結界は解かれている",Travers,,Travers,,Travers
"もはや騎士団に残された力も僅かだ――
しかし、最後のひとりになったとしても
我らは決してあきらめはしない",Travers,,Travers,,Travers
"こんな時だが、貴君と初めて出会った
テル村でのガルドリンとの一件が思い出されるよ",Travers,,Travers,,Travers
"貴君のあきらめの悪さも、あの時以来変わらないな
俺も見習わせてもらおう",Travers,,Travers,,Travers
"さあ、貴君はメルゴダ護政区をこれ以上
闇化させないように防ぎつつ、その時が来る準備を
整えてくれ",Travers,,Travers,,Travers
"メルゴダ護政区を、これ以上、闇に呑ませては
ならない
さあ、ミッションを受けてくれ",Travers,,Travers,,Travers
突入の準備が整ったようだな,Travers,,Travers,,Travers
"メルゴダ護政区の前で待つ
リズから連絡が来ている",Travers,,Travers,,Travers
"貴君たちの武運を祈ろう
さあ、行ってくれ",Travers,,Travers,,Travers
"メルゴダ護政区を取り戻すには、またとない日だ！
さあ、行くんだ",Travers,,Travers,,Travers
隊長、ゲートの場所がわかったよ,Lise,,Lise,,Lise
"ゲートは、メルゴダ護政区に入り
まっすぐに進んだその先――",Lise,,Lise,,Lise
