old,speaker
敵との戦闘で一度も死亡状態になりませんでした,The White Dragon
依頼者からの報酬が多くなります,The White Dragon
"この辺りを荒らす者がいるとの報せを受けている
オークではないようだが
盗賊の類か、それとも魔物か――",Vanessa
"普段であれば、とうに片付けているところだが
今、私はヘマをした部下の尻拭いで忙しい
すまないが、討伐を頼まれてくれないか？",Vanessa
"――そうだ、今回は一度も膝をつくことなく
不倒での勝利を目指してみろ
そうすれば報酬に色を付けよう",Vanessa
"少しはやる気が出たか？
では、討伐を終えたら
私のところへ集合するように",Vanessa
"我々は一人で何事かを成すわけではない
お互いに活かしあっている以上、部下の失敗を
私が取り戻してやることも時には必要だ
――討伐はお前に頼んだぞ",Vanessa
"一度も膝をつくことなく
不倒での勝利をおさめれば
報酬に色を付けよう",Vanessa
"ふふ、やる気が出たようだな
では、討伐を終えたら
私のところへ集合するように",Vanessa
"期待を越えた成果を上げてきたな――
本当に面白いやつだ",Vanessa
"ふふ――どこまで成長するのか
また共に戦う日が楽しみだ",Vanessa
"お前のために素晴らしい礼の品を用意しておいた
受け取ってくれ",Vanessa
"ああ――
もどってきたか",Vanessa
"ご苦労だった
少し気を緩めたか？　おまえらしくない",Vanessa
"見返りの品――準備はしてある
たいした品ではないが受け取るがいい",Vanessa
パーティメンバーが死亡状態になりました,The White Dragon
依頼者からの報酬が少なくなります,The White Dragon
