old,speaker,english,speaker,english,speaker
また頭の痛い事態になっているわ,Clarissa,,Clarissa,,Clarissa
"なんでも奇妙な魔物が出たとか――
隊士たちが躍起になって討伐に出るんだけど
負傷者が増える一方よ",Clarissa,,Clarissa,,Clarissa
"このままじゃ、ここは負傷者でパンクするわ
あなたの力でどうにかならない？",Clarissa,,Clarissa,,Clarissa
"あなたまで倒れては元も子もないから
体調管理には気を付けて討伐に向かって",Clarissa,,Clarissa,,Clarissa
"それと、討伐が終わったら
一度ここに集まって、戦闘時の様子を聞かせて
例のヤツが討伐されたってことを
今寝込んでいる人たちにも知らせたいから",Clarissa,,Clarissa,,Clarissa
"あなたまで倒れては元も子もないわ
いい？　上手く立ちまわるのよ",Clarissa,,Clarissa,,Clarissa
"それと、討伐が終わったら
一度ここに集まって、戦闘時の様子を聞かせて
例のヤツが討伐されたってことを
今寝込んでいる人たちにも知らせたいから",Clarissa,,Clarissa,,Clarissa
"どうやら例の強敵を倒したようね
きっと負傷者たちが悔しがるわ",Clarissa,,Clarissa,,Clarissa
"素晴らしいお礼の品を用意しておいたわ
忘れずに受け取って",Clarissa,,Clarissa,,Clarissa
"あなたなら軽くこなしてくると思ったんだけど――
どうも辛い戦いだったみたいね
今日は体調が優れなかったのかしら",Clarissa,,Clarissa,,Clarissa
"粗品だけど、これは引き受けてくれたお礼よ
どうも調子が悪いみたいだから
一度ゆっくりと休んでみなさい",Clarissa,,Clarissa,,Clarissa
敵との戦闘で一度も死亡状態になりませんでした,The White Dragon,,The White Dragon,,The White Dragon
依頼者からの報酬が多くなります,The White Dragon,,The White Dragon,,The White Dragon
パーティメンバーが死亡状態になりました,The White Dragon,,The White Dragon,,The White Dragon
依頼者からの報酬が下がります,The White Dragon,,The White Dragon,,The White Dragon
