old,speaker
"はいはい、いらっしゃいませ覚者様
いやぁ、戦のせいで品薄なんですが
今は特に品数が少なくてですね",Elsen
"実は、新しい装備を研究するとかなんとかで
《<QDEL NAME 0 3>》を
一気に買い上げられちまいまして",Elsen
"汎用的な素材ですから、二次的に
いろいろ支障が出ちまってまして――
――あ、覚者様もしかして
《<QDEL NAME 0 3>》が余ってたりなんかは？",Elsen
"もしよろしければ――＜<QDEL NUM 0 3>＞つほど
分けていただいちゃくれませんでしょうか
何卒、ご協力お願いします",Elsen
"実は、新しい装備を研究するとかなんとかで
《<QDEL NAME 0 3>》を
一気に買い上げられちまいまして",Elsen
"覚者様、もし余ってましたら＜<QDEL NUM 0 3>＞つほど
分けていただいちゃくれませんでしょうか
需要の多いものですから
できるだけ、切らしたままにしたくないんです",Elsen
"おやまぁ、本当に分けてくださるとは！
全く、感謝してもしきれねぇです――
――そうだ",Elsen
"小耳に挟んだ噂なんですがね
最近解放された＜<STG 1023>＞
ご存知ですか？",Elsen
"あそこで、随分と戦い甲斐のある強者が
巣食っているとか――
調査に行った軍人さんから聞いた話です
間違いないでしょうね",Elsen
"もしかすると、何か珍しいものでも
持ってるかもしれませんよ
良かったら、行ってみちゃどうです？",Elsen
"小耳に挟んだ噂なんですがね
最近解放された＜<STG 1023>＞
ご存知ですか？",Elsen
"あそこで、随分と戦い甲斐のある強者が
巣食っているとか――
この話が、覚者様のお役に立てれば
嬉しいんですがね",Elsen
"金も力も、きっと覚者様の方が
たくさん持っている事でしょうから――
我々民草は、こういうことで少しでも
覚者様を応援できれば、と思っとります",Elsen
"あれまぁ、本当に行ってきなさったのかい
しかも、倒してきちまったんですか
全く恐ろしいお人ですなぁ――",Elsen
"そいつが少しでも、覚者様のご活躍の
助けになってくれるといいんですがねぇ",Elsen
