old,speaker
"――ちょっと相談にのってもらえるかい？
実はさっきデューイから報告があったんだけど
深刻な事態が起こってるみたいでね",Razanailt
"影の魔物たちが、この村に向かって
侵攻してきてるらしいんだ",Razanailt
"もちろん村の者たちは勇敢な戦士ばかりだけど
妖しき魔物たちに対峙した経験のある者はごく僅か
――正直に言って、不利な戦いになりそうでね",Razanailt
"戦士の村ダナを管理する者として
よそ者に望みを託すのは気が引けるけど――
あんたの実績を信頼して、頼ませてくれない？",Razanailt
"《<STG 827>》方面に侵攻してきた魔物と
その本隊を、根城ごと壊滅させてきてほしいんだ
――あんたなら、できるだろう？",Razanailt
"《<STG 827>》方面に侵攻してきた魔物と
その本隊を、根城ごと壊滅させてきてほしいんだ
あんたに勝る戦士は、今のダナにはいないから――",Razanailt
"先日の水路侵攻との関わりを指摘する者もいるけど
真相ははっきりとは分からないのさ",Razanailt
"しかし、だとすれば――
なおさら、あんたに決着をつけてもらうことが
皆の納得のいく幕引きに繋がると思うよ",Razanailt
"ありがとう――
村の者皆があんたに大きな借りを作ったね",Razanailt
"未だ認めようとしない者もいるかも知れないけど――
あたしがよっく言い聞かせておくよ
あんたの武勇をさ",Razanailt
