old,speaker
"全く、よそ者が急激に増えたせいで
この村の物資不足は深刻だ――",Nave
"おい、貴様は――あぁ、そうか
ボーデシアが言っていた墓荒らしか
まったく、いくら実力があるといっても
全ての者を災いから護れるわけでもあるまいに",Nave
"――この村に滞在しているからには
物資も消費しているのだろう？
少しは、剣を揮うばかりでなく
物資問題に貢献しようという気持ちは起きぬか",Nave
"《<ITEM 15923>》が＜4＞個足りない――
もし持ってきてくれれば、貴様の大好きな
強者の情報をくれてやろう",Nave
"《<ITEM 15923>》が＜4＞個足りない――
もし持ってきてくれれば、貴様の大好きな
強者の情報をくれてやろう",Nave
"遺跡まで行けばたやすく入手できるものではあるが
――この村で暮らす者に頼むわけにはいかない
よそ者が呪いをかぶって
代わりに調達してくれると助かるのだが",Nave
"ほう――頼んだとおり、持ってきたとはな
なるほど、噂通りの人物という訳か",Nave
"考えなしに遺跡に近付くことは許し難いが
このキンガルに貢献しようという姿勢は認めよう
ならば――見返りの話だな",Nave
"《<STG 865>》 に、
とにかく巨大な影の魔物がいるらしい
オイングスでも恐ろしくて語れないほどだそうだ
貴様らは、そういう相手が好みなのだろう？",Nave
"これで、借りは返したぞ
あとは好きにするがいい",Nave
"なんだ、もう一度だけ言うぞ
《<STG 865>》に
とにかく巨大な影の魔物がいるらしい",Nave
"狩りの獲物を深追いして
遺跡に近付いた馬鹿者からの情報だ
もっとも、そいつは病んでこの世を去ったから
確かめることはできないが――",Nave
"――なんだ、倒したと？
そうか――",Nave
"別に驚きはしない、貴様の実力の噂は
嫌というほど耳に入ってくるからな
――だがまぁ
これで、あいつも浮かばれることだろう",Nave
