old,new,english,speaker
"次の作戦は――こっちでいくか
いやいや、逆にあっちの方が――","The next strategy is...shall we go this way... No, the other way around is better...",,Sonel
"ボクは、よく独り言を言ってるらしいんだけど
みんなが言うほどの実感がなくってね","I often seem to be talking to myself, but I don't really feel it as much as everyone says.",,Sonel
"普段から、まわりに誰かいるかとかは
特に気にしてはいないけど
ボクにとっては自然なことさ",I usually don't pay much attention to whether someone is around me or not. It's just natural for me.,,Sonel
――これは、独り言じゃないよね？,"This isn't just talking to myself, right?",,Sonel
"展望城に自分の部屋はないのかって？
ああ、それなら以前
一度作ってもらったことがあってね","Lookout Castle, isn't there a room for me there?
Ah, well, it's because I had one made before",,Sonel
"でも、城内って広くて複雑でさ
部屋に戻るたびに迷うのに飽きてしまって
気が付いたら場所を忘れてたんだよ","But the castle is so big and complicated.
I got tired of getting lost every time I went back to my room and realized I'd forgotten where I was.",,Sonel
"今覚えてる場所は――
城の入り口と、王宮層と
あとはシチューのある食堂だけさ！","The only places I remember now are--
the castle entrance, the royal layer,
and the cafeteria with the stew!",,Sonel
ボクは、作戦というものは"生き物"だと思ってる,I think that a strategy is like a living creature.,,Sonel
"いくら事前に完璧に計画したつもりでも
その場の状況でいくらだって変わるし
思い通りに行く方が珍しいくらいさ","No matter how perfectly you plan it in advance, it can change at any moment, and it's rare that things go the way you want them to.",,Sonel
"まぁ、そこが面白いところなんだけどね
何でも思った通りになるなんて
つまんないだろ？","Well, that's the interesting part about it, you know? It's boring for everything to just go as you think.",,Sonel
準備はいいかい？それじゃ行こう,Are you ready? Let's go.,,Sonel
準備はいいかい？　それじゃ行こう,Are you ready?　Let's go.,,Sonel
きっと、何かあるはずさ,There must be something for sure.,,Sonel
きっと、何かあるはずさ,There must be something for sure.,,Sonel
ふんふん、なるほどね,Hmmm... I see.,,Sonel
いや、待てよ？,"No, wait, could you?",,Sonel
いや、待てよ？,"No, wait, could you?",,Sonel
"そうか！　そういうことか！
やはり僕は、天才だね！","Ah, I see! So that's how it is! As I thought, I am a genius!",,Sonel
"おかしいなぁ――
今日はちょっと調子が悪いらしい！","Hmm, that's strange... It seems like I'm feeling a little unwell today!",,Sonel
"おかしいなぁ――
今日はちょっと調子が悪いらしい！","Hmm, that's strange... It seems like I'm feeling a little unwell today!",,Sonel
ほら、僕の思った通りだろう？,"See, it's just as I thought, isn't it?",,Sonel
"はっはっは！
たまにはこんなこともあるさ！",Hahaha! Sometimes things like this happen!,,Sonel
"はっはっは！
たまにはこんなこともあるさ！",Hahaha! Sometimes things like this happen!,,Sonel
あー、キミキミ,"Oh, you, you.",,Sonel
あー、キミキミ,"Oh, you, you.",,Sonel
ちょっといいかな？　隊長,Can I have a word with you?　Captain.,,Sonel
ちょっといいかな？　隊長,Can I have a word with you?　Captain.,,Sonel
おかしいなぁ――,"Hmm, something is strange.",,Sonel
やはり僕は、天才だね！,"I am a genius, after all!",,Sonel
それじゃあ行こう！,Let's go then!,,Sonel
ここにはもう何もなさそうだ,There doesn't seem to be anything here anymore.,,Sonel
さて、帰るとしよう！,"Now, let's go home!",,Sonel
ああ、もう――だめだ――,"Oh, no—it's no use—",,Sonel
アハハハ！,Ahahaha!,,Sonel
アハハハ！,Ahahaha!,,Sonel
んんっ！？,Huh?!,,Sonel
んんっ！？,Huh?!,,Sonel
えぇっと――,Um...,,Sonel
はぁ～,Ha～,,Sonel
はぁ～,Ha～,,Sonel
あれ――,That—,,Sonel
"ここにはもう何もなさそうだ
僕の勘がそう囁いているのでね
さて、帰るとしよう！","There doesn't seem to be anything else here. That's what my instincts are whispering to me, you know. Well, let's go home!",,Sonel
"やったね！
僕らがいれば敵無しなんじゃないか！？","Great job! If we're together, we have no enemies, don't we?!",,Sonel
"あー、ごめん
今ちょっと考えなきゃいけないことが
あってね、忙しいんだ","Oh, sorry. There's something I need to think about right now. I'm busy.",,Sonel
"ありがとう！　助かったよ！
よしよしこれで――",Thank you! I'm saved! Good job—,,Sonel
"もう終わったの？
さすが、頼りになるね！","Is it already over? As expected, you're dependable!",,Sonel
さて、何をする？,"Now, what to do?",,Sonel
さて、何をする？,"Now, what to do?",,Sonel
やあ,Hey,,Sonel
やあ,Hey,,Sonel
よく来たね,Nice to see you,,Sonel
よく来たね,Nice to see you,,Sonel
はあはあ、久しぶりの戦は体に応えるなぁ,"Ha ha! It's been a while since the last battle, it's taking a toll on my body",,Sonel
ちょっと待った、少し休憩させてくれ,"Wait a moment, please let me take a short break.",,Sonel
あれ、体が重いぞ、こんなはずじゃあ,"Oh, my body feels heavy. This is not how it should be.",,Sonel
や、やっぱり僕は室内で策を練ってる方が――,"I think I'd rather be indoors, planning...",,Sonel
少しは、動けるようになってきたぞ――,I've become a little more mobile.,,Sonel
ああ、でもまだ苦しい、ちょっと休憩,"Ah, but I'm still hurting, I need a little break.",,Sonel
キミから見て、今の僕ってどうかな？,How do I look now from your point of view?,,Sonel
もうちょっと頑張れそうな気も――ううん,I think I can do a little more -- no.,,Sonel
あははは、どうだい僕の動き、軽やかだろう？,"Ha-ha-ha, how's my movement, light, isn't it?",,Sonel
風のように走り、雷のように刺す！,"Running like the wind, piercing like thunder!",,Sonel
なに、前はちょっと腕が鈍ってただけさ！,"No, I was just a little rusty before!",,Sonel
ふふ、戦える参謀官っていいよね,"Hehe, having a capable staff officer who can fight is nice, isn't it?",,Sonel
え、見つかった！？,"Wait, it was found!?",,Sonel
さすが隊長だ！,"As expected, Captain!",,Sonel
