old,,english,speaker
"今回の砦防衛の報酬はどうだった？
次もぜひ力を貸してくれ！","How was the reward for defending the fort this time?
Please lend your strength again next time!",,Alan
"グリッテン砦防衛の功績に対し報酬が出ているぞ
保管ボックスより受け取ってくれ","A reward is available for your achievements in defending Fort Gritten
Please collect from the storage box",,Alan
"こたびの協力に感謝する
戦果を称え、特別なアビリティが
送られることになったぞ
さぁ、受け取ってくれ！","Thank you for your cooperation.
In honor of your success, a special ability will be
sent to you.
Please take it!",,Alan
"ヴァネッサ副隊長は美しいだけではないぞ！
あの人は類まれなる剣の使い手でもある","Vice Captain Vanessa is not only beautiful!
She's also an exceptional swordswoman.",,Alan
"剣の腕を磨きたければ、それなりの
武功を示して弟子入り志願するんだな","If you want to improve your swordsmanship, you'll have to show a certain
amount of military merit and volunteer to be an apprentice.",,Alan
"参加表明は嬉しいが、どうやらお前は
すでに他のミッションへの参加予定があるようだ
先にそちらを達成するか、取り消し連絡を
してからあらためて来てくれ","Glad to hear you're in, but it looks like you already have plans to participate in
another mission:
accomplish that one first, or contact
to cancel, and come back later.",,Alan
"俺はグリッテン砦の連絡員だ
砦で緊急事態が起こった時は
俺から連絡する","I'm the liaison at Fort Gritten.
If there's an emergency at the fort,
I'll call you.",,Alan
"ヴァネッサ副隊長は本当に
人遣いが荒くてなぁ
だが、ふふふ、それがいい！","Vice Captain Vanessa is really
rough on people.
But, hmmm, that's good!",,Alan
"オークどもめ、性懲りもなく
砦を攻めようとは
しかも奴らは臭くてかなわんしなぁ","Orcs, you never learn
to attack a fort
and they stink too much!",,Alan
"今回のグリッテン砦防衛戦は終了した
――ん？　お前あてに預かっている報酬はないようだ
ぜひまた力を貸してくれ！","This defense of Fort Gritten is over.
-- Hmm?　There seems to be no reward entrusted to you.
Please lend me your help again!",,Alan
よう、俺に何か用か？,"Lord, do you have any business with me?",,Alan
よう、大変なことになったな,"Lord, it has become quite a situation.",,Alan
"大人しく滅びを待つつもりはない
もとより白竜さまに捧げた命だ
惜しいとは思わん","I have no intention of waiting to perish meekly.
I originally dedicated my life to the White Dragon.
I don't think it's too much to ask.",,Alan
お前の部下たちの様子はどうだ？,How are your subordinates doing?,,Alan
"それにしても、お前も大きくなったよなぁ
ひよっこの頃から見てきてるんだ
感慨深くもなる","But still, you've grown up too.
I've been watching you since you were a chick.
I'm deeply moved.",,Alan
