old,,english,speaker
あら覚者さま、ご機嫌いかがですか？,"Master Arisen, how are you feeling today?",,Pamela
メイリーフにご用でしょうか？,Do you have some business with Mayleaf?,,Pamela
任務の成功をお祈りしてますわ,I'm praying for the success of the mission.,,Pamela
覚者さま、何かご用でしょうか？,"Master Arisen, do you have any business with me?",,Pamela
"本当におつかれさまでした
また、うちに来てくださいね",Thank you so much for your hard work. Please come visit us again.,,Pamela
"あなたさえ良ければ住んでくれても
かまいませんよ","If you're okay with it, you can even live here.",,Pamela
"神殿に目玉が現れたと聞いてから
いつかこんなことが起こるのではないかと
怖れていましたよ","Ever since I heard about the eyeballs appearing in the temple,
 I've been afraid that one day something like this would happen!",,Pamela
白竜様の容態はどうですか？,How is The White Dragon's condition?,,Pamela
"白竜様が回復すれば何もかも
元どおりと聞いていますが――","I hear that once The White Dragon recovers, everything will
be back to normal--",,Pamela
"ミシアルが現れたと聞いています
わたしも会いたかったですよ","Mysial has appeared, I heard. I wanted to meet her, too.",,Pamela
"わたしとメイリーフとでは
時間の感じ方も、心の動きの深さも
ぜんぜん違うのでしょうね","I suppose Mayleaf and I experience time quite differently, and the depth of our emotions varies greatly.",,Pamela
"覚者さまでしたか
どうか、メイリーフにも一言お願いします",Are you an Arisen? Please give a word to Mayleaf as well.,,Pamela
"顔には出しませんが
メイリーフもひどく怯えているのです
あの《滅びの渦》について、です","I won't show it on my face, but Mayleaf is also terribly scared. It's about the 'Vortex of Ruin,' you see.",,Pamela
"メイリーフはすでに"一族"を失っています
これ以上恐ろしい思いをさせたくはないのに――",Mayleaf has already lost her 'family' and I don't want to make her suffer anymore—,,Pamela
"任務の成功を
心よりお祈りしておりますわ",I wish you a successful mission.,,Pamela
