old,,english,speaker
"顔色が、すぐれぬようですね
どうかご自愛を","You don't look well.
Please take care of yourself.",,Mysial
白竜様の言葉こそ、導（しるべ）の光――,The words of the White Dragon are indeed the guiding light.,,Mysial
"迷った時は、耳をすませてください
白竜様の教えがあなたを導くでしょう","When in doubt, listen, and let the teachings of The White Dragon guide you!",,Mysial
"心の水面が平らかならば
本来、誰にでも竜の心は伝わるのです","If the surface of the heart is calm, then the true essence of the dragon's heart can be understood by anyone.",,Mysial
"いまは少し――心持ちが乱れています
お待ちを――","I'm a little... distracted at the moment.
Please be patient.",,Mysial
"あなたは覚者です
苦難の道は――避けられません",You are an Arisen. The path of hardship cannot be avoided.,,Mysial
"人は弱きもの――それゆえ
その力を紡ぎ、束ねんとするのです",Humans are weak ―― that is why we weave together and gather our strength.,,Mysial
"信じましょう
白竜様の大いなる加護を","Let us believe in 
the great blessings of the White Dragon.",,Mysial
"争いのない世を望みながらも、我らの手は
戦の血で汚れていく――虚しきことです","We hope for a world without strife, but our hands are stained with the blood of
war - a vain thing!",,Mysial
"語るべき何か――伝えるべき何か――
大切な言葉はいつも白竜様が教えてくれます
そう――わたし自身の言葉ではないのです","Something to tell — something to convey...
The important words are always taught by The White Dragon.
Yes — it is not my own words.",,Mysial
こんにちは、覚者さん,"Hello, Arisen",,Mysial
"おかえりなさい
時に、皆さんとのご挨拶がまだでは？","Welcome back. By the way, have I greeted everyone yet?",,Mysial
白竜様が回復される日までともに頑張りましょう,"Until the day The White Dragon is restored, let's do our best together",,Mysial
"自由に振る舞う覚者が増えていますが
白竜様あっての覚者であることだけは
心に留めておいてください","There are more Arisen behaving freely, but please always keep in mind that it is thanks to The White Dragon that they exist.",,Mysial
"騎士団と覚者の揉め事に
巻き込まれてしまったと聞きました
大丈夫でしたか？",I heard that you got involved in a dispute between the Knights order and the Arisen. Are you okay?,,Mysial
"いがみ合いが元気の源だという人もいるようですが
わたしにはまったく理解できません――","Some people seem to think that bickering is the source of energy.
I don't understand it at all--I've never understood it.",,Mysial
"アルヴァーには会えましたか？
早く契約までいけると良いですね","Did you get to meet Alvar?
I hope you can get to the contract soon.",,Mysial
"わたしは契約のお手伝いをすることに
なっていますので、その時を楽しみにして
待っていますね","I'm supposed to help with the contract
, so I'm looking forward to that time
",,Mysial
"お手伝いできてうれしく思っています
これで押しも押されもせぬ立派な覚者ですね","I'm happy to help
Now you're a well-known Arisen!",,Mysial
"覚者になってまだ日が浅いのに
《ブラッドオーブ》を持ち帰るなんて――","Even though it has only been a short time since becoming an Arisen, I can't believe you brought back a ""Blood Orb""",,Mysial
"白竜様がこっそりご加護をくださったのかも
しれませんね","Maybe the White Dragon has secretly given us a blessing
",,Mysial
"オークの臭いがするなどと騒いだりして
ごめんなさい
あの臭いが恐ろしくてならないのです","I'm sorry I made such a fuss about the smell of orcs.
I'm sorry...
I'm afraid of that smell.",,Mysial
"メイリーフの素性を知ったのですか？
あの一族は、今や、このレスタニアの宝石です","Have you learned of Mayleaf's true identity?
That family is now the jewel of this Lestania.",,Mysial
"魔物たちの標的になっても不思議では
ありません
どうか、気にしてあげてくださいね","No wonder they were the target of demons.
Please, please, please take care of them!",,Mysial
"白竜様の回復は一進一退――
特に石化の症状は油断がなりません","The White Dragon's recovery has been a step in the right direction--
The petrification symptoms can be especially tricky!",,Mysial
《ブラッドオーブ》がもっと手に入れば――,If only I could get more Blood Orbs.,,Mysial
"イリスの様子はやはり変ですね
わたしが話したがっていると伝えてくれますか？","Iris is still acting weird.
Can you tell her I want to talk to her?",,Mysial
"レオが白竜様を見つめていました
思い詰めているようでしたが――","Leo was staring at The White Dragon
He seemed to be pondering--",,Mysial
"大変な戦いだったと聞いています
断ち切られた人生も多かったと――","I hear it was a tough fight,
and a lot of lives were cut short--",,Mysial
"でも、白竜様に捧げられた命は
けして無駄にはなりません",But the lives dedicated to the White Dragon will not be in vain.,,Mysial
"白竜様が空を飛ぶお姿――
いつか見たいものですね","I hope to see the White Dragon flying in the sky--
one day!",,Mysial
"エルフの仲間が面倒を見るということであれば
その方がメイリーフにとっては良いことなのかも
しれませんね――","If it means that the elf's friends will be taken care of,
it might be better for Mayleaf.
Maybe--",,Mysial
イリスは――心配ですね,Iris--I'm worried.,,Mysial
今後もこのようなことが起こるのでしょうか――,Will this continue to happen in the future--?,,Mysial
"下の街の皆さんが安心して暮らせるように
どうかよろしくお願いしますね","I hope everyone in the city below can live in peace.
Please do help us to do so.",,Mysial
"持ち去ったエルフの命――
敵はいったいどうするつもりでしょう","The life of an elf taken away...
What will the enemy do?",,Mysial
"強く、澄み切った命でした
彼の命のあり方は素晴らしい","It was a strong, clear life.
The way he lived his life was amazing.",,Mysial
――感謝しなくてはなりませんね,I have to say--thank you for that.,,Mysial
"白竜様の回復にはまだ時間がかかるようです
これからもわたしたちでお守りしなくては――","It will take some time for The White Dragon to recover.
We must continue to protect him--",,Mysial
無理をきいてくれてありがとうございました,Thank you for taking on the impossible.,,Mysial
"少し、甘えてしまったかもしれません
これからは気をつけますね","I may have spoiled it a little
I'll be careful from now on.",,Mysial
イリスのことを聞きましたが――,I heard about Iris--,,Mysial
"もう、昔のようには戻れないのですか？
あなたはどんな印象を受けましたか？","Can we go back to the way things used to be?
What impression did you get?",,Mysial
敵はディアマンテス――,The enemy is Diamantes--,,Mysial
"オークの時のようにうまく想像できませんが
でも、白竜様が強い憎しみの気を放っている――
それだけはわかるのです","I can't envision it as well as I did with the orcs.
But The White Dragon is radiating a strong aura of hatred--
that much I know!",,Mysial
