old,,english,speaker
なにかお話ししてくださいな,Please tell me something.,,Mayleaf
うふふ――ご機嫌いかがですか？,How are you feeling?,,Mayleaf
内緒話は、ジョゼフおじさまに叱られます,Uncle Joseph will scold us for talking in private.,,Mayleaf
"覚者様は考えたことがありますか？
この世界がどうやって出来たのか――",Have the Arisen ever thought about it? How was this world made?,,Mayleaf
"白竜だけがこの世界の
すべてを知っている――
早くお話しを聞きたいですね","Only the White Dragon knows everything in this world--
I want to hear the story quickly.",,Mayleaf
覚者になるって、どんな気分ですか？,What does it feel like to become an Arisen?,,Mayleaf
"戦争って、どんな時代にもありますね
嫌いな人の方が多いはずなのに","War exists in any era, huh? Even though there should be more people who hate it.",,Mayleaf
"みんなでお歌をうたえば戦いがなくなる――
パメラがそう言うんだけど
きっと、そんなに簡単ではないですよね","If we all sing a song together, there will be no more fighting--
Pamela says so.
I bet it's not that easy!",,Mayleaf
"時々、わけもなく悲しくなるの
ううん――わけはあるけど――
話しても誰も戻ってこないから","Sometimes I feel sad for no reason.
No, I mean, I have my reasons, but...
I talk about it, and no one ever comes back.",,Mayleaf
"白竜も、人間も、覚者も――魔物だって
同じように生きているんだよね","Both the White Dragon and humans, as well as the Arisen, and even enemies, all live in the same way.",,Mayleaf
"お友達はいつかいなくなるもの――
それでも、ほしいと思ってしまうの","Friends are things that eventually disappear ――
But still, you can't help but want them.",,Mayleaf
この風――あの森にも、吹いているのかな,"I wonder, this wind—Is it blowing in that forest, too?",,Mayleaf
"真っ直ぐに進む人は
大切なことを忘れがちです
覚者さん、気をつけてね","Those who proceed straight ahead,
Tend to forget important things.
Arisen one, be cautious.",,Mayleaf
時は――少し、意地悪です,Time is-- harsh.,,Mayleaf
あれ？　何して遊ぶ？　え？　お話し？,Oh? What should we play? Draw? A story?,,Mayleaf
こんにちは、メイリーフです,"Hello, I'm Mayleaf",,Mayleaf
"あ、覚えていてくれましたか？
だとしたら、うれしいです！","Oh, you remember me?
If so, I'm glad!",,Mayleaf
"あのね――迷惑かけちゃったけど
仲良くしてね？","Hey, I'm sorry for causing you trouble, but let's get along, okay?",,Mayleaf
"わたしはイリスとも仲良しなんだ
だから、イリスが戻ってわたしもうれしいの","I'm good friends with Iris
so I'm glad she's back.",,Mayleaf
"レオが恐い顔をしていたの――
ちょっとびっくりしちゃった","Leo had a scary look on his face--
I was a little surprised.",,Mayleaf
白竜様、元気になーれ！,"Who, don't bully—Peco— I won't do bad things.",,Mayleaf
"わたしはもう絶対にひとりでは神殿から
出ないからね",I will never leave the Temple alone again!,,Mayleaf
"あなたにもパメラにもジョゼフ様にも
心配をかけちゃって――","To both you and Pamela and Master Joseph,
I apologize for causing you worry...",,Mayleaf
"だからこれからは、必ず、誰かと一緒に――
もちろん、みんなが知ってる誰かと一緒に
お出かけすることにして――","So from now on, I'll be sure to go out with someone--
of course, someone we all know--
and--",,Mayleaf
"しかも、知らない場所へは行かないって
約束するよ！",And I promise that I won't go to places I don't know!,,Mayleaf
"キースヒルト――無事だよね？
ちゃんと逃げるよね？","Kieshildt--you're safe, right?
You're going to escape, aren't you?",,Mayleaf
キースヒルト兄様をお願いします,Please take care of Kieshildt.,,Mayleaf
"――つらいよ
こんなにつらいなんて――","――This is painful. 
How can it be this painful――",,Mayleaf
"わたしのせいなのかな――
わたしが悪かったのかな――","Is it my fault--
Was I wrong--?",,Mayleaf
"わたしはこれからキースヒルトのぶんまで
生きるから――","I'm going to live on, for Kieshildt.",,Mayleaf
"ううん、死んでしまった人、全員のぶん
わたしは生きるの――そう決めたの","No, for all those who have died. I'm going to live - I've decided.",,Mayleaf
"どこにも行かないで？
誰にもいなくなってほしくないの",Don't go anywhere. I don't want anyone to disappear.,,Mayleaf
"ミシアルとこのあたりを歩いたって本当？
どうしてうちに寄ってくれなかったの！？","Mysial, is it true that you walked around this area? Why didn't you come visit me?",,Mayleaf
"何か怖いことが起こりそうな――
そんな気がするよ？",I feel like something scary is about to happen—,,Mayleaf
"空気がビリビリ震えているの――
これは良くないことのシルシなの――",The air is tingling - This is the sign of something bad -,,Mayleaf
ねえねえ、イリスはどこにいるの？,"Hey, where is Iris?",,Mayleaf
