old,,english,speaker
"夜間は暗いので、ランタンは必須です！
それに洞窟とか、視界がきかないところも
多いそうですよ","It is dark at night, so a lantern is a must!
Also, there are many caves and other places where visibility is limited.
",,Ellen
ランタン火種、たくさん買ってくださいね！,Please purchase a lot of Lantern Kindling!,,Ellen
"道具の仕入れも、最近ちょっとずつ厳しく
なってきたみたいなんです","It seems that purchasing tools has been getting a little tougher
lately!",,Ellen
"良ければ《クエストボード》にある資材手配にも
ご協力お願いしますね","If you don't mind, I'd appreciate your cooperation in arranging materials on the 《Quest Board》 at
",,Ellen
"私、ここで働けて幸せだなって思います
だって、たくさんの覚者さまの
お役に立てますから！",I'm happy to work here because I can help many Arisen!,,Ellen
"回復の薬は十分お持ちですか？
体力の回復ができないと大変ですよ
魔法だけだと疲れが残ってしまいますよ","Do you have enough medicine for recovery?
It's very hard to recover your strength.
Magic alone will leave you exhausted.",,Ellen
"道具は旅の生命線です！
多めに買っていってくださいね","Tools are the lifeblood of your trip!
Please buy more!",,Ellen
"たくさん持って行ってくださいね
現地調達できないこともありますから！","Please take plenty with you.
It may not be possible to procure locally!",,Ellen
いらっしゃいませ、覚者さま！,"Welcome, Arisen!",,Ellen
あの、いらっしゃいませ、覚者さま,"Er, welcome, Arisen.",,Ellen
"その、私なんかがお聞きしていいのか
わからないんですけど
空の渦――あれはよくないものですよね","Well, I don't know if I'm the right person to ask
, but
the vortex in the sky--that's not a good thing, is it?",,Ellen
"レスタニアはどうなってしまうんでしょう
あの空の渦、すべてを吸い込んでしまいそう","What will happen to Lestania
That vortex in the sky, it seems to suck everything in!",,Ellen
"大変なことが起こってるんだって
胸がぎゅっと痛くなります","There's something terrible happening and it makes my heart ache
",,Ellen
