old,,english,speaker
"雑談は苦手でな
――悪いな",I'm not good at chit chat. -- sorry.,,Quintus
"言わなかったかな――
わたしは楽しい雑談相手ではない",Did I not say it? - I'm not a fun person to chat with.,,Quintus
人からは見下されるくらいが丁度良い――,Being looked down upon by others is just about right.,,Quintus
"わたしなりの哲学だが、理解者は少ない
おまえはどうだ？","My own philosophy, but few people understand it. What about you?",,Quintus
"わたしの両親は性格が昼と夜――空と海ほどに
性格が違う人たちだった",My parents were people whose personalities were as different as night and day— as different as the sky and the sea.,,Quintus
"わたしは母とうまが合ったが
はて昼だろうか夜だろうかと時々思うのだ",I get along with my mother but sometimes I wonder if we're just day and night.,,Quintus
"苦難が我々を結びつけたことは否定しない
苦難が我々を強くしたことも否定はできない",I do not deny that suffering has brought us together. I cannot deny that suffering has made us stronger.,,Quintus
"しかし――この状況に意味があるとすれば
それくらいだと思わないか？","However, if there is any meaning to this situation, wouldn't it be something like that?",,Quintus
ああ、用件を聞こうか,Let's hear what you have to say.,,Quintus
"用がすんだら国へ帰れ
今の我々には監視すら負担になる","When you finish your task, you can go back to your country. It's too much work for us now to even keep an eye on you.",,Quintus
"風が吹いてきた――
これは追い風だ――ああ、感じるぞ",The words of Master White Dragon—I cannot let even a single word pass me by.,,Quintus
"将軍が戻ってから流れが変わったな
そういう人なんだよ、あの人は",The flow has changed since the general returned. That's the kind of person he is.,,Quintus
"ジリアンはうまく立ち回っているだろうか
交渉上手というわけではないからな――","I wonder if Gillian is standing up to it well.
She's not exactly a great negotiator.",,Quintus
"王子が盗賊の世話になるとはね
将軍も心中穏やかではないだろうな","I can't believe the prince is in the care of bandits.
I'm sure the general is not at peace with that.",,Quintus
"盗賊たちの受け入れ準備をした方が
よいのだろうか――",Should we prepare to receive the bandits?,,Quintus
どうだ？　少しは陣が明るくなったか？,Well? Has the situation in the camp improved a bit?,,Quintus
"ネド王子は、自分の身は自分で守ると
頑なだがそうはいかない","Prince Nedo said he would protect himself.
He's stubborn, but it doesn't work that way.",,Quintus
あんたたちも力を貸してくれ,Please lend me your strength as well,,Quintus
"このティネスの守りを固めるべきか
それとも強固な砦を求めて
遠征すべきか――","Should we fortify the defenses of Fort Thines, or should we go on an expedition searching for a stronger fortress-?",,Quintus
ふむ、将軍と相談してみようか,"Hmm, let's consult with the general.",,Quintus
しばらく兵の増強は難しいだろう,It will be difficult to reinforce the troops for a while.,,Quintus
"となれば、今いる兵たちの配備を
工夫して難局を乗り切らなければな","Then, we'll have to get through the harsh situation by devising a way to deploy the troops we have now.",,Quintus
１人、３人と兵が増えていく,"The number of soldiers is increasing, one by one, and three by three.",,Quintus
"日々、少しずつではあるがネド王子を慕って
民たちが集まってくるんだ","Every day, little by little, the people gather around Prince Nedo.",,Quintus
"イェルハルドがいるから抜かりはないと
思うが陽動部隊の連中はちゃんと食事を
とっているだろうか","I'm sure Gerhard is there to make sure that everything is taken care of, but I wonder if those guys in the diversionary unit are getting a proper meal.",,Quintus
"イェルハルドがいるから抜かりはないと
思うが陽動部隊の連中はちゃんと食事を
とっているだろうか","I'm sure Gerhard is there to make sure that everything is taken care of, but I wonder if those guys in the diversionary unit are getting a proper meal.",,Quintus
"展望城は王家だけではなく
我々解放軍の面々にとっても思い入れのある
場所だ","The Lookout Castle is not only a place that is dear to the royal family, but also to all of us in the Liberation Army.",,Quintus
わたしは参加できないが――頼むぞ,"I can't participate, but I'm counting on you.",,Quintus
"わたしも城へ行きたいが
砦の差配も重要な任務だからな","I'd like to go to the castle, too, but
it's an important mission to man the fort.",,Quintus
"王都メガドの奪回は簡単ではないだろう
でも、今の解放軍ならやれる気がする","It won't be easy to reclaim the Royal Capital of Megado, but I feel like the Liberation Army can do it now.",,Quintus
"そっちの様子はどうだい？
ここの留守はまかせてくれよ","How's it going over there?
I'll take care of things here myself.",,Quintus
"最前線へ飛んで行きたいが
砦を空にするわけにはいかないのだ
王子と解放軍を頼んだぞ","I'd love to rush to the front lines, but we can't leave the fort empty.
Take care of the prince and the liberation army.",,Quintus
第一次王都奪回作戦は失敗したと聞く,I heard that the first attempt to retake the Royal Capital has failed.,,Quintus
"次の作戦には参加したいが持ち場を
離れるわけにはいかないからな","I want to participate in the next mission, but I can't leave my post.",,Quintus
顔を見に来てくれたのか？,Did you come to see me?,,Quintus
"うれしいね
みんなにも声をかけてやってくれ",That's great. Please speak to everyone and let them know.,,Quintus
"今はメガド奪回作戦の重要な局面のはず
さあ早く戻ってくれ",Now is an important moment in the plan to regain Megado. Please come back quickly.,,Quintus
"展望城に移らなくても良いのだろうか
わたしが必要ではないのだろうか",Is it okay not to move to Lookout Castle? Am I not needed?,,Quintus
"わたしの知る限り、ここには
ネド王子は来ていない","As far as I know, Prince Nedo is not here.",,Quintus
ここだけの話――,Just between you and me...,,Quintus
"周囲のおとなたちがネド王子を
甘やかしすぎたということはないだろうか
いや、ここだけの話だ","Could it be that the adults around have spoiled Prince Nedo too much?
No, this is just between us.",,Quintus
"いろいろな噂が聞こえてくるが
なに、心配はしていないさ","I hear a lot of rumors, but I'm not worried.",,Quintus
皆、やる時はやる人たちだからな,"Everyone, because they are the people who do it when they need to, right.",,Quintus
"君たちと出会った頃、わたしたちの心は
暗い海のようだったが――今はどうだ","When we met you, our hearts were like dark seas--but now?",,Quintus
"たとえ危機的な状況でも
明日を信じることができるよ","Even in times of crisis, you can have faith in tomorrow!",,Quintus
"この砦の強化案を考えているんだ
悪しき竜はいなくなってもオークどもは
相変わらずだからね","I am considering a plan to strengthen this fortress. Even though the evil dragon is gone, the orcs are still here.",,Quintus
