old,,english,speaker
ギャギャ！　ニンゲン、来タ！,"""GYA GYA! Humans have arrived!""",,Goblin
"ギギギ――、何シニキタ？
オマエ！　怪しイヤツ！",Gigigi— What have you done? You! You're suspicious!,,Goblin
ガぅるるるる――,Garu ru ru ru――,,Goblin
ウガ！！　気安ク話し掛けルナ！！,Uga!! Talk calmly!!,,Goblin
ココ、ホボリック！　ゴブリン族、王ノ城！,"Koko, Hobolic! Goblin tribe, King's Castle!",,Goblin
ギャ、ギャギャギャッ！？,"Gya, gya gyagyagya!?",,Goblin
腹減っタ――,I'm hungry――,,Goblin
"グワアアッ！　ニンゲン！！
襲っッテクル！？","Gwaaa! Human!!
Attack!?",,Goblin
"王、むらさきキラキラ集めテル
オマエもカ？","King, gathering shiny purple. Are you, too?",,Goblin
グワッ！？,Gwah!?,,Goblin
ギャッ！？　何ダ！！,Gya!? What's this!!,,Goblin
ウガッ！？,Ugh!?,,Goblin
ニンゲンダ！！,Human!!,,Goblin
ギギ――？,Gigi-?,,Goblin
