old,,english,speaker
"声がでかくてうるさかったり、反対に、小さくて
聞こえない時はそう言っておくれ","When my voice is loud and annoying, or on the contrary, when it's so quiet that you can't hear, let me know.",,Bertha
"こればっかりは習い性でね
盗賊は、ほら、いろんな状況で仕事をするからさ","It's all a habit.
Thieves, you see, work in all kinds of situations.",,Bertha
"あたしの名前は誰でも知ってるけど、顔を知っている
人間はそういないよ","Everyone knows my name, but not everyone knows my face.",,Bertha
"できればずっとそのままが良かったけど
まあ、そうも言ってられないね","If possible, I would have preferred to stay as it was, but well, I can't just keep saying that.",,Bertha
"あたしが投獄されたのは息子の意見を
無視したからなんだ
牢屋の中で、ずいぶん反省したよ","I was imprisoned because I ignored my son's opinion.
I felt so much remorse while I was in jail.",,Bertha
それで今の、聞き分けのいいあたしがいるのさ,That's why I'm such a good listener now.,,Bertha
婆さんだと思ってなめるんじゃないよ？,Don't think I'm just an old lady.,,Bertha
"そのへんの爺さんなら５人でかかってきても
目じゃないさ","Any old man out there, five of them could come at you and you wouldn't bat an eye.",,Bertha
あたしは権威ってのが大キライでね,I hate authority,,Bertha
"でも、気づいたら
あたしが盗賊界の権威みたいなものさ
ああ、たまらないよ","But then I realized, I'm like the authority in the bandit world.
Oh, I can't wait!",,Bertha
"だから、竜と王族には強くあってもらわないと
困るんだ","So, we need the dragons and royalty to stay strong.",,Bertha
"これを聞いたからってどうするわけでもないけど
レスタニアにもお宝はあるんだろう？","Not that I'm going to do anything about this, but you do have treasures in Lestania, don't you?",,Bertha
"大方、ゴブリンあたりが
ため込んでいるんじゃないかい？","Most likely, the goblins are hoarding them.",,Bertha
長く生きると、想像もしなかったことが起こるよ,"If you live long enough, unexpected things happen.",,Bertha
"悪しき竜のことはそりゃあ一大事だけど
あたしがメイロワと手を組むなんてねえ","The whole Evil Dragon thing is a big deal, but I can't believe I'm working with Meirova.",,Bertha
"あんたたちの装備には見たことのない材料が
使われているね――
落ち着いたら、ぜひ、レスタニアへ行ってみたいね","I've never seen these materials used in your equipment--
I'd love to visit Lestania when you get settled!",,Bertha
"言っておくけどね
あたしが盗むのは王家のお宝だけさ","Just so you know
I only steal royal treasures.",,Bertha
"でも義賊というわけじゃない
施しは好きじゃないからね","But that doesn't mean I'm a righteous bandit.
I don't like charity.",,Bertha
あたしの息子たちもどこかで戦っているんだろうね,I'm sure my sons are fighting somewhere too.,,Bertha
"まあ、無事でいてくれればそれでいいんだ
生きていれば、また盗賊稼業を楽しめるさ","Well, just stay safe and that's all that matters.
As long as you're alive, you can enjoy being a bandit again.",,Bertha
うん、あたしかい？,"Yeah, what about me?",,Bertha
"別にあたしを助けに来たわけじゃ
ないだろう？","You didn't come here to help me, did you?",,Bertha
"ああ、構いやしないよ
で、メイロワ将軍はなんだって？","Ah, I don't mind. So, what about General Meirova?",,Bertha
"あの爺さんが頭を下げれば
解放軍に協力しないことはない
伝えといてくれ","If that old man bows his head, there's nothing he won't do to help the Liberation Army.
Please relay this.",,Bertha
