old,,english,speaker
最早、話すことなどない,There is nothing to say anymore.,,Diamantes
"相互理解など凡夫の夢――
愚かなことよ","Mutual understanding is an ordinary man's dream--
It's foolishness.",,Diamantes
"悔はない
いまは決意あるのみ","No regrets.
Now we just have to be determined.",,Diamantes
動き始めたものは、止められない,"Once something starts moving, it cannot be stopped.",,Diamantes
これ以上、互いに何を得るというのだ,What more do we have to gain from each other?,,Diamantes
"覚者――
いびつな存在だ","Arisen - 
what a depressing existence.",,Diamantes
"錬金の術をもってしても時は戻せない
ならば――
過去を悔やむ時間など無駄だ","Even with the art of alchemy, time cannot be reversed. 
If that is the case――
Regretting the past is a waste of time.",,Diamantes
"戦うのであれば――
死を覚悟したまえ","If you fight--
be prepared to die.",,Diamantes
"ここを、全ての古きものの終の地としよう
そして新たに、世界を描き変えるのだ",Let this be the end of all that is old and let us redraw the world anew!,,Diamantes
"同意など求めぬ
ただ受け入れたまえ、この浄化を",I don't ask for your consent. Just accept this cleansing.,,Diamantes
ほう？　話したいというわけか,"Oh? So you want to talk, is that it?",,Diamantes
