old,,english,speaker
"リンウッドは木こりと狩人の村だ
森で採れる素材が必要なら
ミランダを当たるといい","Lynnwood is a village of lumberjacks and hunters.
If you need materials from the woods, hit
Miranda.",,Alkane
"ミスリウ森林の南にぽつんと一軒家が
あるんだがな、そこには女性魔術師が
暮らしてるんだ","There is a house
south of Mysree forest where a female magician
lives.",,Alkane
"エメラダさんっていうんだが
もし魔術師として弟子入りを希望するなら
白鹿亭のパトリシアに認められなきゃいけないぞ","Her name is Emelada.
If you want to be an apprentice sorceress,
you have to be approved by Patricia of the White Deer Pavilion.",,Alkane
"彼女の紹介した覚者しか、エメラダさんから
魔術は習えないらしいから","Because I heard that only the Arisen person she introduced me to can learn witchcraft from
Ms. Emerada.",,Alkane
《燐光虫の洞窟》には行ったか？,Have you been to Glowworm Cave?,,Alkane
"危険なところなんだが、奥はまるで
星空に迷い込んだかのように美しいらしい
俺も見てみたいもんだなぁ","It's a dangerous place, but I hear it's so beautiful in the back it's like
you're lost in a starry sky
I wish I could see it too!",,Alkane
やぁ、何か聞きたいことでも？,"Hello, is there something you want to ask?",,Alkane
"ミスリウの森には、悪さを働くエイプが
何匹かいるんだ","There are a few bad ape's
in the Misliw forest.",,Alkane
"それぞれ、唸り猿、裂き猿、豚喰い猿
ってあだ名がついててね
まぁ家畜は攫うわ狩人は襲うわ
やりたいほうだいでね","They were nicknamed roaring monkeys, ripping monkeys, and pig-eating monkeys
, respectively.
Well, they kidnap livestock and attack hunters
as much as they want.",,Alkane
"やつらの縄張りは、廃屋が目印だ
臭ったり気味悪いところは注意した方がいい","Their territory is marked by abandoned houses.
You should be careful where it smells or looks creepy.",,Alkane
