old,,english,speaker
"ああ、ごめん
今は特に話すことはないよ","Oh, sorry
I don't really have anything to tell you right now.",,Klaus
"君と雑談？
いいね！　よし、共通の話題を探そうよ","Having a little chat with you?
Great!　Okay, let's find something we have in common.",,Klaus
"すまないけど、少し考えたいことがあるんだ
後で話そうよ","Sorry, I just have a few things to think about.
We can talk later.",,Klaus
"おや、疲れたのかい？
覚者も無敵ってわけじゃないんだな","Oh, you're tired, aren't you?
I guess even the Arisen aren't invincible.",,Klaus
"適材適所って言うだろ？
そう、僕は武ではなく、知で攻めるのさ","You know what they say about the right person for the right job?
Yes, I attack with wisdom, not military prowess.",,Klaus
"常識にとらわれないこと
それが、平凡を非凡に変えるんだ","Thinking outside the box 
That's what transforms ordinary into extraordinary",,Klaus
"不安と期待が入り交じるこの気持ち――
説明が難しいね","This feeling of mixed anxiety and anticipation--
It's hard to explain.",,Klaus
"まだ読んでいない書物、まだ試していない実験――
心残りがあるうちは、死ねないよ","Books you haven't read yet, experiments you haven't tried yet--
You can't die while you have regrets.",,Klaus
"この世界は好きかい？
僕は好きだよ
知れば知るほど――もっと知りたくなる","Do you like this world?
I do.
The more you know-- the more you want to know.",,Klaus
"思い立ったら、すぐに行動！
待っていても発見は無いからね","When you have an idea, act on it immediately!
You won't find anything if you wait.",,Klaus
ん？　どうしたんだい？,Hmm?　What's wrong?,,Klaus
"やあ、新人さん
最初は誰彼かまわず顔を売っておくといいよ","Hello, new person. It's good to make yourself known to everyone at first, regardless of who they are.",,Klaus
"《ブラッドオーブ》のことは
常に気にしておくといいよ
見つけると確実に一目置かれるからね","It's good to always keep in mind about the 《Blood Orb》,
 because when you find it, you're sure to be admired.",,Klaus
"覚者と騎士団の反目に巻き込まれて
僕は処世術を学んだんだ","I learned the art of worldly wisdom
being caught up in the conflict between the Arisen and the knights.",,Klaus
"――と前向きに考えることにするよ
これも処世術と言えないこともないね","--I'm going to try to think positively
and this is another way to get by, I guess.",,Klaus
"――！？　ああ、ごめんごめん
ちょっと考え事をね","――!? Ah, sorry, sorry
I was just thinking about something",,Klaus
"ジョゼフ様の助手になって以来初めての
大仕事を仰せつかって、その計画をね――
ふふふ――","Since becoming Joseph's assistant, this is the first big job I've been entrusted with, and I am now tasked with the planning... hehehe...",,Klaus
空から降ってきた巨大な石碑――,A gigantic stone monument fell from the sky...,,Klaus
"まだ正体はわからないんだけど
どこかに落ちたらしいんだ
うわさか何か聞いてないかい？","I still do not know what it truly is, but
it seems to have fallen somewhere
Have you heard any rumors or something?",,Klaus
"反省しています――はい
ああ、君か――また叱られるのかと思ったよ","I'm reflecting on it--yes.
Oh, it's you--I thought I was going to be scolded again.",,Klaus
"いや、君にも心配かけたよね
迎えに来てくれてありがとう
本当に感謝しているよ","No, I caused you to worry too, didn't I?
Thank you for coming to pick me up.
I really appreciate it.",,Klaus
"ごめん！
アークの調査報告が最優先でね
あちこち気が回らないんだよ","Sorry!
The Ark's investigation report is the top priority.
I can't focus on other things.",,Klaus
"アーク調査の報告書がまだだというのに
古文書の解読まで――","Despite the fact that the report on the Ark investigation is not yet complete, up until the deciphering of the ancient documents--",,Klaus
"でも、君が持ち帰った古文書は面白そうで――
まずいな――ジョゼフ様に叱られるよ","But, the old document you took home seems interesting...
Uh-oh... I'm going to get scolded by Joseph, aren't I?",,Klaus
"イリスとは話したかい？
なんだか避けられているような気が
しないでもないんだけど――","Did you talk to Iris?
I can't help but feel like she's avoiding me.",,Klaus
"もしかしたら、僕が覚者の力に
なれるのかもしれないな――","Perhaps, I may be able to become a powerful Arisen..",,Klaus
"いささか――怖いね
でも、ほら、白竜様がお待ちだよ","It's a little scary―― but look, The White Dragon is waiting for you.",,Klaus
"どうだい？
覚者の生活には慣れたかな？","How about it?
Are you used to the life of an Arisen?",,Klaus
"ちょうど君が覚者になった頃からこれまでとは
少し違う事件が起こるようになってきた
オークの活動が活発になったり――
ほら、アークの出現もそうだね","Since you became an Arisen, there have been different incidents occurring from before until now. 
The Orcs have become more active, and, well, the appearance of the Ark, too.",,Klaus
"そして、白竜様の回復を促す新しい方法も
見つかったみたいだ
これからも、もっと色々なことが
起こりそうな気がするよ","And it seems that a new method to encourage the recovery of The White Dragon has been found.
I feel like more things are going to happen from now on.",,Klaus
"メイリーフを連れ出したフードの女って
やっぱり彼女だよな――","The woman in the hood who took Mayleaf out...
I knew it was her.",,Klaus
"ディアマンテス――
イリスは確かにそう言ってたよね？","Diamantes - 
Iris did say that, right?",,Klaus
"あははは――
こんなに神殿の近くが戦場になるなんて――
ああ、怖かった","Ahahaha――
Who would have thought that the area near the temple would turn into a battlefield――
Oh, how scary.",,Klaus
"さびしいね――
仲良くなれそうな気がしたんだけど――
いや、仲良かったよね――","It's lonely, isn't it...
I felt like we could become close...
No, we were close, right...",,Klaus
"命は白竜様の役に立ったとしても
キースヒルトが知っていた知識、知恵――
全部消えてしまった","Even if the life was useful to Master White Dragon,
the knowledge, the wisdom that Keith Hilt knew--
it's all gone.",,Klaus
"やっぱり僕は生きているキースヒルトと
もっと話したかったよ――","I knew I wanted to talk more with Keith Hilt.
I just wish I could have told you more--",,Klaus
"会議だなんて――
これは時間がかかるよ","A meeting? Oh, this is going to take some time.",,Klaus
"そんなことしている場合じゃないと思うけど
時間をもらえるのはありがたいことだから
僕は僕で独自に調べようと思っている","I don't think this is the time for that, but it's nice to have some time. I am thinking of researching on my own.",,Klaus
"まだ読み切れていない古文書もあるし
ここまで実際に体験したことを
評価し直す必要があるかもしれない","There are some ancient documents that have not yet been fully read, and I may need to reevaluate what I've actually done so far.",,Klaus
"僕も調査に行きたいんだよね――
でもここで騒ぐと余計に面倒な立場に
なってしまいそうだから我慢しているんだ","I want to go investigate too--
but I'm holding back because making a fuss here might put me in an even more troublesome position
",,Klaus
"おかしいよ――
第一のアークの調査は僕が担当したんだ","That's strange--
I was in charge of investigating the first Ark.",,Klaus
"今度の調査だって僕が行けば前回との
比較ができたのに――
意見も全然聞いてもらえないし――はぁ","If I were to go on this investigation, I would have been able to compare it to the last time -- 
But I don't get listened to at all -- sigh.",,Klaus
"僕は確かに錬金術師の末裔さ
でも、だからなんだと言うんだろうね","I am indeed a descendant of an alchemist,
but so what?",,Klaus
"僕のことはジョゼフ様が一番よく知っている
はずなのに――","You know me better than anyone, Joseph.
I should have known...",,Klaus
"気づいていたのに――
イリスは少し変わったなって
気づいていたんだ","I had noticed--
that Iris had changed a little
",,Klaus
"それなのに僕は――
悔やんでも悔やみきれないよ","And yet, I can't help but regret and regret.",,Klaus
"僕はね――もう後悔はしたくない
予兆には気づいていたのに――
遠慮する必要は何もなかったのに――","I don't--I don't want any more regrets.
I knew the signs were there.
There was no need to hesitate...",,Klaus
"もう友達をなくすのは絶対に嫌だから
思ったことは口にするつもりだよ","I absolutely don't want to lose any more friends, so I intend to speak my mind.",,Klaus
"ここでジッとしてはいられない
僕もメルゴダへ行く！　絶対行く！",I can't stay still here. I'm going to Mergoda! I'm definitely going!,,Klaus
"ディアマンテスに対抗する錬金術師が
ちゃんといたことがうれしくてね",I am happy that there was an alchemist who could oppose Diamantes.,,Klaus
"だから僕は、こっち側の人たちと神殿の
架け橋になろうと思うんだ",That's why I want to become a bridge between the people on this side and the temple.,,Klaus
"君も協力してくれるよね？
もう結構長い付き合いだもの――
僕に野心がないことなんてわかってるだろ？","You'll also help me, right?
We've been together for quite a long time, after all...
You know that I don't have any ambitions, don't you?",,Klaus
時は来た――だね,The time has come--right?,,Klaus
"ずっと考えているんだけど――
ディアマンテスは僕が跡を継ぎたがるって
本気で考えたのかな――","I keep thinking--
that Diamantes wants me to follow in his footsteps.
Did he really think--?",,Klaus
"だとしたら、哀れだね
出会ったばかりの僕しか後継者候補は
いないのか――ってさ","If that's the case, it's pitiful, isn't it?
Are there really no other candidates for the successor besides me, someone you just met?",,Klaus
"嵐の中を出かけていった騎士たちには
頭が下がるよ","To the knights who went out into the storm,
I salute you",,Klaus
"次は覚者の番だね
くれぐれも、気をつけて","Next is the turn of the Arisen,
Please be careful.",,Klaus
"悪いね
ついついレオのことを考えてしまうんだ
こんな時にどうして留守なんだってね","It's bad, isn't it?
I can't help but think about Leo.
Why is he absent at a time like this?",,Klaus
"他の人も思いは同じだと思うよ
つまり――
僕が言いたいのは、レオの後任は大変だけど
頑張ってくれってことさ","I think other people feel the same way.
In other words--
What I want to say is, it's tough to be Leo's successor,
but I hope you will do your best.",,Klaus
"問題は、君とガルドリンが行ったという
島の場所だね","The problem is the location of the
island you and Gurdolin say you went to.",,Klaus
"レスタニア中の海図がこの神殿に
集まることになっているんだ
船乗りたちと一緒に、その海図とにらめっこさ","The charts of all of Lestania are to be gathered here in this temple.
I'll be poring over them with the sailors.",,Klaus
"大海原に浮かぶ島を見つけるなんて
そう簡単じゃない",It's not easy to find an island floating in the open sea.,,Klaus
"覚悟はしていたけどね――
いやいや、挫けてなるものか！","I was prepared, you know――
No, no, I will not be deterred!",,Klaus
"島が見つかってホッとしているよ
肩の荷が下りたというかね
ここだけの話――
ジョゼフ様は僕を試しているね","I feel relieved that the island has been found.
It's like a burden has been lifted off my shoulders.
Just between you and me--
Master Joseph is testing me.",,Klaus
"将来の神官にふさわしいかどうか――
ノドから手が出るほど欲しい地位だったけど
今はどうかな――","Whether I am suitable to be a future priest--
Although I desired the position so much that I would give my right arm for it,
I wonder now, how about it--",,Klaus
"逐次攻略というか各個撃破というか
物事はひとつずつ解決するのが良策だと
主張する人もいるけどね――","Rather than calling it a step-by-step strategy, it's more like defeating each individual. Some people argue that it's best to solve things one by one, but I'm not sure that it's a good idea.",,Klaus
"僕は混乱の中で解決を模索するのが好きなんだ
つまり、この慌ただしさも僕の味方さ","I enjoy seeking solutions in the midst of confusion.
In other words, this busyness is also on my side.",,Klaus
"島の調査は引き続きやっているよ
いい報告ができればいいんだけど
少々魔物が多くてね","We are still conducting investigations on the island.
I hope we can make a good report,
but there are quite a few monsters.",,Klaus
"騎士団が時々掃討作戦を展開しているから
まあ、気長にね――
ああ気長！　僕たちの苦手なやつだよね
くう――","Because the Knights sometimes conduct sweeps
Well, be patient--
Oh, patience!　We're not very good at that.
(sigh)",,Klaus
