old,english,speaker
――ゴハァッ、ギ様のガオォ、忘れんぞォ！,,Leo
"骸の将を、討ち破ったぞ！
皆勝ちどきを上げよ！",,Leo
オオーー！！（リアクションボイス）,,Leo
オオーー！！（リアクションボイス）,,Leo
オオーー！！（リアクションボイス）,,Leo
"オークが――オークたちが
次から次へと城を出て行きます！",,Leo
"見せてもらったよ
凄いとは聞いていたけどまったくその通りだ",,Leo
"この国にもまだ希望が残っている
それが実感できたわ",,Leo
"隊長、皆さん――
ありがとうございます",,Gurdolin
"あとは陽動に出てた奴らが
生きてるといいがな――",,Leo
"エリオットとジリアンがいるんだもん
うまくやってるんじゃない？",,Leo
すぐに部隊を回収させましょう,,Leo
次に目指すのは、いよいよ王都メガドです,,Leo
"レスタニア勢の活躍で、ネド王子と解放軍は
展望城を取り戻すことに成功した",,Lise
"士気上がる人々の間から、砦から城へ
拠点を移すべきだという声があがり――",,Gurdolin
"ネド王子が承認すると同時に人々は
せわしげに働き始めた",,Elliot
"勝利への道はまだ半ばであることを知っていたが
以前と比べて人々の顔は明るい",,Leo
"ひとりひとりの胸の中に
しっかりと、希望が根付いていたのだ",,Gurdolin
王子の姿をした仮初めの希望ではなく,,Lise
"それぞれが思い描く、それぞれの未来の姿が
希望になったのだ",,Elliot
