old,english,speaker
マスター、今日は私から戦技の提案があるの,,0
"マスター、あなたにお仕えしてきたおかげで
あたしの意思疎通力が上がったわ！",,0
"マスター、あなたにお仕えしてきたおかげで
あたしの意思疎通力が上がったわ！",,0
マスター、これからもよろしくお願いしますね,,0
"マスター、なにか気が付かない？
うふふ――髪型を変えてみたの
ねぇ、どうかしら？",,0
"ふふ、嬉しいわ
もしあたしがずっとこの髪型でいる事をお望みなら
《美容院》に行く必要があるみたいよ――
ちゃんとセットしないと、長くは持たないの",,0
そう――残念だわ,,0
"マスター、あたし――
もっとあなた好みになるために、
<COL b92828><NAME ITEM><VAL> 個</COL>が必要だと思うの――
ね、いただけないかしら？",,0
"嬉しいわマスター！ ありがとう
もっともっと尽くすから、期待してくださいね",,0
"そう――
ううん、いいわ
気にしないで、言ってみただけですもの",,0
"マスター、決して無理して欲しい訳ではないのよ
だけど、<COL b92828><NAME ITEM></COL>が足りないみたいなの
<COL b92828><VAL> 個</COL>揃うまで、待っているわね",,0
"ねぇ、少しだけ外を散歩してきてもらえないかしら
帰ってきたマスターにお見せしたいものがあるの
――きっと驚くわ",,0
"あたしのお世話はもう要らない――
マスター、本当にそれでいいの？",,0
マスター、ご機嫌いかが？,,0
"マスター、今日も良い天気ね
気持ちはいいけれど――
外に出ると日に焼けちゃいそう",,0
"覚者がポーンよりも遥かにお強い場合
ポーンが得る経験量が増えるんですって
きっと、自らの主を早く守れるようになりたいからね",,0
"マスター、もう行くのね？
いいわ――あなたは私が必ず守る",,0
"お帰りなさい、マスター
先にご飯がいいかしら？
それともお風呂にします？",,0
"なあにマスター？
なんでも言いつけてね
あたしは必ず応えるわ",,0
"あなたとこうやって平和を楽しめるのも、
あたしが覚者に付き従うポーンだから――だなんて
なんだか皮肉ね、マスター",,0
"ポーンのことを哀れに思う人もいるようだけど――
マスターといられることが
あたしには一番の幸せだもの
羨ましがられてもいいくらい満たされてるわ",,0
"いいの？
こんな素敵な部屋に入れていただいて――
うふふ、ポーンにとっては最高の贅沢だわ",,0
"――あっ
な、なんです？マスター",,0
"はい、マスター
あたしはあなたのためにいるんだもの
好きなだけ話しかけて良いの――
ね、遠慮しないで",,0
"マスターのキモチ――
なんだか少し、分かってきた気がするだなんて
ふふ、うぬぼれかしらね",,0
"あら―――
今、マスターの事を考えていたの
ふふ、本当はいつだって
マスターのことばかり考えてるのよ",,0
"やだ――ふふふ
ダメよ、マスター",,0
"今日も戦いに出かけるの？
いえ――ただ、あたしはあなたが心配なのよ
少しは休んでくれると安心できるんだけど――",,0
"もう出発するのね！
ええ、すぐに準備するわ
――待っていてくださいね？",,0
"今日も行くのね――
無理はしないでくださいね",,0
"ええ、マスター
あたしはここにいますから、安心して",,0
