old,english,speaker
覚者さま、今日は自分から戦技のご提案があります,,0
"覚者さまにお仕えしてきたおかげで
意思疎通力が上がりました",,0
"覚者さま、あの、新しい表現方法を
思いつきました―――",,0
覚者さま、これからも――よろしくお願いします,,0
"覚者さま、髪型を変えてみたんです、けど
あの――変だったらごめんなさい！
ど、どうでしょう――",,0
"ほ、本当ですか――！　すごく嬉しいです！
あの、もし覚者さまが、こちらの髪型の方が
お好きだったら、《美容院》に行けば
ずっとこの髪型にできるそうです",,0
そ、そうですよね――ごめんなさい,,0
"覚者さま、<COL b92828><NAME ITEM><VAL> 個</COL>が欲しいです――
その――すごく綺麗だな、って思って",,0
"わぁ！　本当にこんな素敵なものがもらえるなんて
どうしよう――
お返しできるかはわからないけど
だけど――今まで以上に頑張ります！",,0
うう、わかりました――,,0
"覚者さま、あの――
<COL b92828><NAME ITEM></COL><COL b92828><VAL> 個</COL>には足りないかも――
お、お気持ちだけ受け取っておきます",,0
"覚者さまにお見せしたいものがあるんです――！
あの、外を散歩してきてもらえませんか
少しの間でいいんです",,0
"か、覚者さま――
自分、何か粗相をしてしまったでしょうか――
本当にパートナー解除、されるんですか？",,0
"あ、覚者さま
あの、ご機嫌は――や、やっぱりなんでもないです",,0
"うぅっ
日差しがまぶしいです――",,0
"覚者様の強さがポーンより大幅に上だと
ポーンが積める戦いの経験量が増えるそうです――
うう、足手まといになりたくないなぁ",,0
"は、はい、覚者さま
冒険ですか？　ううっ　
お、お供します――",,0
"覚者さま、お疲れ様です
――あ、あの！
ご、ご飯にしますか！　それともお風呂にしますか！
――うう、変でしたか――？",,0
"うわぁっ！
か、覚者さま！？
わ、わ、ごめんなさい！　びっくりしちゃって――",,0
"覚者さま――
この部屋にいると、なんだか安心します
自分はポーンなのに、不思議――こんな気持ち",,0
"あの、自分、覚者さまのポーンでよかったです
う、変なこと言ってごめんなさい――",,0
"こんな自分を、こんな素敵なお部屋に――
覚者さまの大切なお部屋に、入れてくださったこと
本当にうれしいです",,0
"――わあぁ！
何なんですか！？",,0
"わぁっ！？
――もう、覚者さま
ポーンを驚かせて楽しいですか？",,0
"なんだか、最近覚者さまの気持ちが
ちょっと分かるような――
ううん、不思議――心がぽかぽかしますね",,0
"わっ！？　覚者さま！？
もしかして――今覚者さまの事を考えていたの
ばれちゃってましたか？",,0
覚者さま、くすぐったいです――,,0
"今日も冒険ですか？
たまには、その――お部屋でごゆっくりされても――",,0
"もう出発ですか？
ちょ、ちょっと待って
すぐに支度しますから！
置いていかないでください！",,0
"今日もお出かけなんですか？
あの、たまには一日ゆっくりされても――
少しはお体を休めないと、です",,0
"はい、覚者さま
もしよかったら――ずっとお傍に、置いてくださいね",,0
"わわ、覚者さま？
覚者さまの手――暖かいですね",,0
"覚者さま――
ずっとここで待ってますから
忘れないでくださいね――",,0
"覚者さま、この前お庭にグリフィンが来ていました
まだ子供だったみたいで、見よう見まねであやしたら
とっても安心してくれたみたいで――ふふ
――可愛かったなあ、また来ないかな",,0
