old,english,speaker
覚者さま、今日はぼくが戦技のご提案をします！,,0
"覚者さまがお供させてくださったおかげで
ぼく、意思疎通力が上がりました！",,0
"覚者さまがお供させてくださったおかげで
ぼく、意思疎通力が上がりました！",,0
覚者さま、これからもよろしくお願いします！,,0
"覚者さま、覚者さま、見てください！
どうですか？　この髪型ー！",,0
"わぁい！　やったぁ！
ねぇ覚者さま、もしずっとこの髪型がいいのなら
《美容院》に行って髪型変更してもらいましょう！",,0
"えー！　なかなかイイと思ったんだけどなぁ
でも、覚者さまがそうおっしゃるなら
元に戻しておきますね――",,0
"覚者さま、あの、ぼく――
<COL b92828><NAME ITEM><VAL> 個</COL>欲しいです！
貰えたらもっともっと頑張りますから！
えっと、お部屋の掃除とか――",,0
"わぁーい！
ありがとうございます、覚者さま！",,0
"えぇー！　だめかぁ
じゃあ、我慢します！",,0
"覚者さま、嬉しいけど――
これじゃ、<COL b92828><NAME ITEM></COL>足りないよ
<COL b92828><VAL> 個</COL>貰えるまで
我慢して待ってますね",,0
"実は、覚者様に見せたいものがあるんです！
しばらく外を散歩してきてください！",,0
"覚者さま――
本当にぼくがお傍にいなくて――いいんですか？",,0
"覚者さま、今日の調子はいかがですか？
ぼくはとっても元気ですよ！",,0
"覚者さま、とっても良い天気です！
ね、外に行きましょうよ！",,0
"連れているポーンよりも覚者さまがすごく強いと
ポーンの経験量がたくさん増える――みたいです
ってことは、すぐ強くなれちゃいますね！　すごい！",,0
"覚者さま、お出かけですか？
わぁい、今日は何が見られるんだろう
たのしみだなぁ！",,0
"お帰りなさい、覚者さま！
ごはんにしますか？　おふろにしますか？
それとも――座ってのんびりしちゃいます？",,0
"はい！
何かご用ですか、覚者さま？",,0
"はぁ――外に出るのも楽しいけど
ずっとお部屋でのんびりしてるのもいいなぁ
安全なお部屋にずっといたいなんて――
ぼく、本当にポーンなのかな？",,0
"覚者さま、お耳を貸してください！
あのね――ぼく、覚者さまのポーンでよかったです！",,0
"ポーンは戦うための存在だって
そう思ってたけど――
ぼくをこんなすてきなお部屋に入れてくださって
ありがとうございます、覚者さま！",,0
"ふぁぁ――
ん、何ですかぁ？",,0
"えへへ――
呼ばれてみただけ！",,0
"ねぇねぇ、覚者さま
ぼく――ううん、なんでもないです！
覚者さまの笑顔を見たら、元気になっちゃいました！",,0
"あっ！　ちょうど今、次は覚者さまと
どこに行きたいかな、って考えてたんです",,0
あははは！　くすぐったいです覚者さま！,,0
"覚者さま、今日も冒険ですか？
ううん、冒険もいいんですけど――
たまにはお部屋でゆっくりしたいなぁ",,0
"あっ、覚者さま！　どこに行くんですか？
ぼくも連れて行ってくれますよね？
お留守番は嫌ですよ！",,0
"今日もお出かけですか？
この前みたいに怪我、しないでくださいね
ぼくと約束ですよ",,0
"はい、覚者様！
ぼくはここにいます",,0
"ふふふ、覚者さま！　くすぐったいです！
でも――覚者さまの手って、温かいですね",,0
"覚者さま、ぼくはずっとここにいますよ
慌てなくても、大丈夫ですからね",,0
"なんと昨日、お庭にグリフィンが来てたんです
仲良くなれたから、いーっぱい遊んじゃいました！
あやしてあげると安心するみたいですよ
覚者さまも試してみてください！",,0
"動物と仲良くなる方法ですか？ うーん――
お庭に向かって、何かしてみたらどうですか？
たとえば、エモートとか？
反応してくれるかはわからないけど――",,0
"一緒に冒険に行ったり
クラフトを任されたりすると
覚者さまのこと、もっともっと
わかるような気がします！",,0
"レスタニアンパペットがあれば
お留守番で寂しいとき、
一緒に遊んで待てるんだけどなぁ――",,0
"クラフトする時は
任せるポーンを間違えないでくださいね！
ぼくらポーンにも、得意なことと
苦手なことがありますから",,0
"神殿の外でも
戦技の切り替えができるそうですよ！
便利ですね！",,0
"覚者さまみたいに
気持ちを体で表現できるようになりたくて
いつもこっそり見てるんです！",,0
"ねぇ、覚者さま――気付いてないかもしれないけど
ぼくがたくさん色んなものを見られるのは
覚者さまのおかげだって、すっごく感謝してるんです",,0
"覚者さまも、隣にいるポーンが
かっこ悪かったら嫌ですよね？
だからぼく、見た目には結構気を付けてるんです",,0
"ねぇねぇ覚者さま！
《鍛錬の小部屋》、使ってますか？
えへへ――ぼくが覚者さまのために
毎日お掃除してるんですよー！",,0
さあ、行きましょう！,,0
お願い聞いてくれないんですか？,,0
早くいきましょう！,,0
"わーい！　ありがとうございます！
いつくださるんですか？！
もしかして、今ですか？　早く早くー",,0
"えー！
そうですか――しかたないですけど――
うぅ――覚者さまのケチ",,0
"わーい！　ぼくにくれるんですよね？
ありがとうございます！",,0
