old,english,speaker
くっ――ふっ（ふらつきのリアクション）,,Leo
おまえが弱かったらどうしようかと思っていた,,Leo
水竜の王からの伝言だ,,Leo
“我が竜力を、黒竜を倒す覚者に託す”――とな,,Leo
んっ――（水竜の王の竜力を譲る際のリアクション）,,Leo
白竜から授けられた竜力は同じ,,Leo
おまえは精霊竜、火竜から信頼を受け,,Leo
その竜の力は――おまえの中でひとつになる,,Leo
てめぇ――はなっからそのつもりだったな！？,,Gurdolin
おまえが弱ければ、俺が黒竜を倒すと決めていた,,Leo
"俺もまた、覚者であり
“覚者とは竜の敵と戦う者”だからな――",,Leo
すべての竜の力で、黒竜を倒せ,,Leo
"オオオッ――！！
（黒竜の道《ゲート》が開くリアクション）",,Leo
あれは！？,,Lise
おおっ！,,Gurdolin
ゲート――,,Elliot
この世界をおまえに託す,,Leo
"なっ
（リアクションボイス）",,Gurdolin
"あっ
（リアクションボイス）",,Lise
"うっ
（リアクションボイス）",,Elliot
おい、待てよ,,Gurdolin
まだ持って行けるものがあるだろう,,Gurdolin
今までありがとう、隊長,,Lise
これからも一緒がいいから――必ず帰ってきて！,,Lise
隊長――これ返してくださいね,,Elliot
俺たち待ってますから,,Elliot
俺は水竜から力を預かった,,Lise
