Jp,En,speaker,english,speaker,english,speaker
"白竜からの力を受け取った
この技がお前に扱えるかを見極めるのが
私の役割ということだな","My role is to determine whether you can
handle this power received from the White
Dragon.",Vanessa,,Vanessa,,Vanessa
"いいだろう
試練の場を用意する
そこで落ち合おう","Very well.
I shall prepare the trial grounds.
Let us meet there.",Vanessa,,Vanessa,,Vanessa
"試練の場を用意した
そこで落ち合おう
――どうした、行かないのか？","I have prepared the trial grounds.
Let us meet there.
—What’s wrong? Not going?",Vanessa,,Vanessa,,Vanessa
"よし、来たな！
今回は私も共に戦い、その中で
直に手ほどきしてやろう
――行くぞ！","Good, you've come! This time, I will fight
by your side and teach you directly.
Let's go!",Vanessa,,Vanessa,,Vanessa
"さぁ、お前の器を見せてもらおうか
様々な技を駆使し、敵をかく乱してやれ","Now, show me your potential!
Make use of your skills, and bewilder your foes!",Vanessa,,Vanessa,,Vanessa
"いたぞ、あそこだ
あの敵が最初の試練だ","There it is, over there.
That enemy is the first trial.",Vanessa,,Vanessa,,Vanessa
いいぞ、次は第二の試練の場所へ向かうぞ,"Good, now let's head to the second trial.",Vanessa,,Vanessa,,Vanessa
"気付いたな？
第二の試練だ","You noticed, didn't you?
This is the second trial.",Vanessa,,Vanessa,,Vanessa
よし、最後の試練へ向かうぞ！,"Alright, let’s head to the final trial!",Vanessa,,Vanessa,,Vanessa
"いよいよ最後の試練だ
心してかかれ！","At last, the final trial.
Face it with resolve!",Vanessa,,Vanessa,,Vanessa
"日々の研鑽ぶりが伝わってくる戦いぶりだった！
いいだろう、一度グリッテン砦に戻り
そこで正式に戦技を継承するとしよう","Your fighting style reflects daily refinement!
Very well, return to Gritten Fort, and there, 
I will formally pass down the combat art.",Vanessa,,Vanessa,,Vanessa
"予想以上に強くなったようだな
日々の研鑽が伝わってくる戦いぶりだった――","Seems you've grown stronger than expected.
Your daily training shone through in this fight.",Vanessa,,Vanessa,,Vanessa
"では、一度グリッテン砦へ戻り
そこで戦技を正式に継承しよう","Then, return to Gritten Fort,
and there, 
I will formally pass down the combat art.",Vanessa,,Vanessa,,Vanessa
"この戦技はお前自身が戦いの中で
つかみ取った新たな力だ","This skill is a new power you yourself
have seized in the midst of battle.",Vanessa,,Vanessa,,Vanessa
"今後も技を磨き、最高の剣士となった姿を
私に見せてみろ
お前にならそれも可能だろう","Keep honing your skills and show me the day
you become the greatest swordsman. I know
you have it in you.",Vanessa,,Vanessa,,Vanessa
前線で戦う者は不屈の闘志を常に持つことだ,"Those who fight on the front lines must 
always possess unyielding fortitude.",Vanessa,,Vanessa,,Vanessa
スキルの特性を理解することを怠るな,"Do not neglect to understand 
the traits of your skills.",Vanessa,,Vanessa,,Vanessa
防御と攻撃、どちらを行うべきか見極めろ,Determine whether to defend or attack.,Vanessa,,Vanessa,,Vanessa
攻撃を受ける瞬間にガードすることを忘れるな,"Do not forget to guard 
the moment you are attacked.",Vanessa,,Vanessa,,Vanessa
目的に合わせ、スキルだけでなくアビリティも考慮しろ,"Consider not only skills but also 
augments to suit the purpose.",Vanessa,,Vanessa,,Vanessa
ここをお前が守る前線と思え！,Consider this your frontline to defend!,Vanessa,,Vanessa,,Vanessa
集中的に攻撃する頃合いというものがある,Timing is key for focused attacks.,Vanessa,,Vanessa,,Vanessa
敵との間合いをよく考えろ,"Consider well the distance 
between you and the enemy.",Vanessa,,Vanessa,,Vanessa
敵がダウンしたら見逃すな,"When they're down, press the attack.",Vanessa,,Vanessa,,Vanessa
敵の動きを見極め、ガードするタイミングを把握しろ！,"Read the enemy’s movements and grasp
the timing to guard!",Vanessa,,Vanessa,,Vanessa
