"Jp","En"
"無くした物が見つかるまでは
私も心配でしょうがありません","Until the lost item is found,
I'll be worried sick."
"見つからないようでしたら
思い切って、他の店で買って
しまうのもありかもしれませんな","If it cannot be found,
perhaps you should consider
buying it from another shop."
"こんにちは、覚者さま
オーク戦争の影響なのか、物流が不安定で――
物価もどうなるか心配が絶えません","Greetings, Master Arisen.
The war with the Orcs disrupted our supply...
Prices keep fluctuating, it's making me worried."
"レオさまも心配されており
一度状況を調査してほしいとの事です
神殿内各区にいる商人さん達の状況把握と
困りごとの相談に乗って頂けませんか？","Leo is also concerned about the situation
and has requested a survey.
Could you check on the merchants in each district
of the Temple and hear their troubles?"
"さっそくですが《商店区》にいる
防具屋ファーガソンさんを訪ねてみてください","In the 《Shopping District,》
please visit Ser Ferguson at the Armor Shop."
"神殿にはいろんな区があります
《竜の礎》の《リムストーンへ転移》を利用すると
各区への移動が簡単ですよ","The Temple has many districts.
Using《Riftstone Warp》at the 《Dragon's Portcrystal》
makes traveling between them easy."
"ぜひ利用しながら相談に乗ってあげてください","Please use it to conduct the survey."
"【ヒント：ＮＰＣへのアイテム納品】","【Hint: Delivering Items to NPCs】"
"①指定のアイテムを入手","① Obtain the specified item."
"②指定アイテムを所持した状態で依頼者に会話","② Talk to the requester while
holding the specified item."
"③納品画面で指定アイテムを納品
※アイテムが保管ボックス内の場合、納品できません","③ Deliver the item in the delivery screen.
※Items in storage cannot be delivered."
"神殿にはいろんな区があります
《竜の礎》の《リムストーンへ転移》を利用すると
各区への移動が簡単ですよ","The Temple has many districts.
Using《Riftstone Warp》at the 《Dragon's Portcrystal》
makes traveling between them easy."
"ぜひ利用しながら相談に乗ってあげてください","Please use it to conduct the survey."
"ようこそ覚者さま
この《商店区》は様々な武具や道具の
取引ができますよ","Welcome, Master Arisen.
The 《Shopping District》 here
offers various armaments and tools for trade."
"しかし、最近は戦闘も激しさを増し
準備不足で大怪我をして戻って来られる
覚者さまも多くなりましてね","But with the battles out there getting fiercer,
more and more under-equipped Arisen
are returning with serious injuries."
"あなたも、レベルが上がったからといって
無暗に強敵に挑むのは危険ですよ
レベルに見合った装備や道具を揃えないと
手強い魔物には太刀打ちできませんから","You too, even as your level rises,
recklessly challenging strong foes is dangerous.
Without proper gear and items,
you cannot stand against tough monsters."
"だからこそ、こまめな装備売買と準備を
おすすめしているのですが
この状況下、いつ在庫が切れても
おかしくない状況です","That's why it's important to purchase
equipment and provisions reguarly.
But with how things are now,
we could run out of stock at any moment."
"ああ、そうだ
同じ区で素材屋をやってるキトリッジも
困ってるようなので、一度話を聞いてみて
くれないでしょうか","Ah, yes. Kittredge, the material vendor
in this district, seems troubled too.
Could you speak with him?"
"覚者様も、レベルが上がったからといって
無暗に強敵に挑むのは危険ですよ
レベルに見合った装備や道具を揃えないと
手強い魔物には太刀打ちできませんから","Ser Arisen, even if your level rises,
recklessly challenging strong foes is
dangerous. Without proper gear and items,
you cannot stand against tough monsters."
"定期的に装備やアイテムを
整えて、万全の状態にしておくことを
おすすめしますよ","I recommend regularly maintaining
your equipment and items
to stay fully prepared."
"同じ区で素材屋をやってるキトリッジも
何か困ってるようでしたので
一度話を聞いてやってください","Kittredge, the material vendor here,
seems troubled too. Could you
speak with him?"
"こんにちは　覚者さん
ここ素材屋ではいろいろな素材を
扱っていますよ","Hello, Ser Arisen. This shop
deals in various raw materials for crafting."
"最近は覚者さんも増えて活気がでたのは
いいのですが、オーク戦争のせいで
取引が不安定だったりもしましてね","It's a good thing that more Arisen have been
turning up lately, things have been livelier.
but the War with the Orcs has disrupted trade."
"ちょうど今も、素材を発注された
覚者さんが死んでしまわれたらしく
この品物をどう処理していいか困ってまして――","Sadly, an Arisen who ordered
materials has lost their life, leaving me
unsure how to handle these goods..."
"ああ！
でも覚者の方は、白竜様のご加護があれば
復活できるのでしたよね、そういえば！","Ah! But Arisen can revive with
the Lord White Dragon's Divine Protection, right?"
"覚者さんから、復活力神官のあの方――
《中央広場》のオフィリアさんに相談して
くれませんか、この件を――","Could you consult Ophelia,
the revival priestess in the 《Central Square》
about this matter?"
"今後の商売相手を守ると思って
どうかよろしくお頼みします","Consider this a way to protect your future
business partners."
"どうです？
例の死んだ覚者さんの件は","How did it go? The matter about
the deceased Arisen?"
"復活力神官のあの方――
《中央広場》のオフィリアさんへの相談
よろしく頼みましたよ！","I asked you to consult Ophelia,
the revival priestess in the 《Central Square》
I leave it in your hands!"
"なんなりと、新しき覚者様
ご用でしょうか？
私の名はオフィリア","What brings you, my new Arisen friend?
I am Ophelia."
"ログインにて貴方様が神殿を訪れるたび
白竜様に代わり《復活力》と証たるスタンプを
与える役割を仰せつかった
神官にございます","Each time you visit the temple upon login,
I bestow 《Revival Power》 and the daily login stamp
on behalf of the Lord White Dragon,
as an ordained priestess."
"――なるほど
キトリッジの悩みの件は承知いたしました
その亡くなった覚者様には、私の方から復活力を
授けて助けておきましょう","-I see. I understand Kittredge's concern.
I shall grant 《Revival Power》 to that deceased
Arisen and save them."
"ところで新しき覚者様、貴方様にも
《復活力》について詳しく説明させていただきます
これはとても大切なことでございますので","Now, Ser Arisen, let me explain
《Revival Power》 in detail.
This is very important."
"全ての覚者様には、冒険の途中傷つき倒れたとしても
三たび立ち上がる力――《復活力》の加護が
白竜様から公平に与えられています","All Arisen are granted the 《Revival Power》
by the Lord White Dragon, the power to
rise again three times when wounded or fallen."
"復活力を使いきってしまった時は、私の元を
訪ねて下さい、新たな加護を授与いたしましょう
復活力を失うと、貴方様のお体は《弱化》により
衰弱してしまいます","When you exhaust your 《Revival Power》,
visit me to receive a new blessing. Without
it, your body will weaken from Debilitation."
"ご加護は必ずや、覚者様の大きな助けとなりましょう
私の元には定期的に訪れて下さいませ
ただし付与できる復活力は、１度に３つまでです
どうかお忘れなきよう","This blessing will surely aid you greatly.
Visit me regularly, though I can only grant
three Revivals at a time. Please remember this."
