old,,speaker
【ヒント：エリア封鎖解放】,[Hint: Area Blockade Released],Leo
ハイデル関所が開放され、ダウ渓谷とハイデル平原の往来が可能になりました,"The Hidell Checkpoint has been opened, allowing 
passage between the Dowe Valley and the 
Hidell Plains.",Leo
"ドリード城内部は複雑だ
先行している騎士をマーカーで追い、情報を得ていくといい！命の器は地下にあるようだ","The interior of Dreed Castle is complex. 
It would be good to follow the knights who are 
ahead of you with markers and gather information! 
The Vessel of Life seems to be located underground.",White Knight
一瞬でいい――,Just for a moment—,Leo
"俺たちが白竜の力を
継承できる程度でかまわない――","It's okay if we can inherit
just a fraction of the White Dragon's power—",Leo
"それほどに白竜を目覚めさせるには
どうしたらよいのか――","What should we do to awaken the White Dragon
to such an extent?",Leo
"ジョゼフはアークのことで頭がいっぱいだ
相談したら《ブラッドオーブ》を探せと言われた
おれが抱える焦りが伝わらないんだ","Joseph is preoccupied with the Ark.
When I consulted him, 
he told me to find the ""Blood Orb.""
He doesn't seem to sense the urgency I feel.",Leo
"竜の覚醒――
方法は自分たちで探すしかないのか","Awakening the Dragon--
We'll just have to find a way to do it ourselves.",Leo
"レオが深刻な顔をして
わたしを見ているのです",Leo is looking at me with a serious expression.,Mysial
何かありましたか？,Did something happen?,Mysial
白竜様の覚醒はいつか――,"When will the awakening of 
Lord White Dragon occur?",Mysial
"わたしには、時が来たら
としかお答えできません",I can only answer when the time comes.,Mysial
"わたしの仕事は
白竜様の意志を伝えること――","My job is to convey
the will of Lord White Dragon.",Mysial
"人々の願いの
代弁者ではないのです",I am not the spokesperson for people's desires.,Mysial
"白竜の目を覚ます――
ふん、レオの差し金か","Waking the white dragon--
Hmm, Leo sent you.",Joseph
"あの眠りで竜力が回復するのだ
その邪魔をするつもりか？","That sleep restores Dragon Force.
Are you going to interrupt that?",Joseph
賛成しかねるな,I cannot agree with that.,Joseph
何より、すべがなかろう,"Above all, there's no way to do it.",Joseph
