Jp,En,speaker
"白竜が君に、錬金の新たな力を
授けようとしたって――？
にわかには信じがたいが――
いや、そういうことなのだな――わかったよ","The White Dragon sought to bestow upon you
a new power of alchemy, you say? Hard to
believe at first, but... I see. 
Understood.",Theodor
"しかし、君がさらなる力を
手にするにふさわしい器かどうか
私に見極めさせてもらうよ
果てなき錬金術の追及は、時に人を狂わせるからね","However, I must ascertain whether you are
a worthy vessel for greater power. The
endless pursuit of alchemy can drive one mad.",Theodor
"試練の場を用意するから
そこで落ち合うことにしよう","I shall prepare a trial ground. Let us
meet there.",Theodor
"君が力を手にするにふさわしい器かどうか
見極めさせてもらうよ
試練の場を用意するから
そこで落ち合うことにしよう","I must ascertain if you are a worthy
vessel for greater power. I shall prepare
a trial ground. Let us meet there.",Theodor
"おや、思ったより早かったね
それでは行くとしようか――試練の旅へ","Oh, you’re earlier than expected. Then
let us depart—on a journey of trials.",Theodor
君の紡ぐ論理、見極めさせてもらうよ,Let me discern the order you weave.,Theodor
まずは軽くいこうか、あれが最初の試練だ,Let’s start lightly. That is the first trial.,Theodor
"ふむ、中々いいね
次は第二の試練へ向かおう","Hmm, not bad at all. 
Now, onward to the second trial.",Theodor
よし、第二の試練だ,"Very well, the second trial begins.",Theodor
次が最後――今までが基礎だとしたら次は応用だ,"Next is the last—
if the previous ones were theory, 
this is application.",Theodor
"さて、これが最後の試練だ
君が研鑽してきたものの本質を見せてもらおう","Now, this is the final trial. 
Show me the essence of what you’ve honed.",Theodor
"ふむ、いいだろう――
これで試練を終わりにしよう
一度わたしの工房に戻ってから
新たな技を継承しようか","Hmm, very well— the trial is concluded.
Return to my workshop, and I shall pass
down new techniques.",Theodor
"これで試練は終わりだよ
――よくぞここまで研鑽したね","The trials end here. 
You’ve honed yourself well to reach this point.",Theodor
"さて、一度わたしの工房に戻ってから
正式に新たな技を継承しようか","Now, let us return to my workshop and
formally pass down the new techniques.",Theodor
"錬金術を操る君の姿を見届けさせてもらった
術に狂わされることもなく、論理に忠実な
安定した戦い方だったよ
君になら、さらなる技を継承しても大丈夫だろう","I’ve witnessed your mastery of alchemy.
You never let the art sway you, staying true
to order. Your fighting style was steady.
You’re ready to inherit greater techniques.",Theodor
"錬金術という人の論理による人のための
学問と、竜の理との共存――
君のような存在が、新たな世界を切り開いて
くれるのかもしれない","The coexistence of human order—alchemy—
and the dragon’s order... Perhaps one like
you will carve a new world.",Theodor
高い移動力は錬金術を支える足場のようなものだ,"High mobility serves as the foundation
that supports alchemy.",Theodor
意志によって自在に力の流れを、論理を操るんだ,We manipulate the flow of power and order at will.,Theodor
戦いにおいて、エリクシルの使い分けは重要だよ,"In battle, proper use of Elixirs is important.",Theodor
論理の理解と転化、そして組み換え――これが錬金術だ,"Understanding, transforming, and
rearranging order—that is alchemy.",Theodor
君の紡ぐ論理は、友を助けることもできるだろう,The order you weave may also aid allies.,Theodor
錬成物質は固めて付着させた方が効果的だ,"For best results, solidify and 
bind the alchemical matter.",Theodor
論理によって状態異常を操るんだ,Control ailments using calculated methods.,Theodor
仲間が共にある時は、積極的に彼らの力を押し上げなさい,"When allies are present, actively
amplify their strength.",Theodor
錬成物質を付着させることで敵の気を引く、これも戦術だ,"Using alchemical compounds to 
distract the enemy is also a tactic.",Theodor
どのエリクシルを用いるか、吟味しているかな？,Are you deliberating which elixir to use?,Theodor
