Jp,En,speaker,english,speaker,english,speaker
"よお！　聞いてるぜ
相当な腕ききハンターになってきた
そうじゃないか！","Hey! I hear you've become
one hell of a Hunter, am I right?",Renton,,Renton,,Renton
"――そこで、ハンター道を
さらに究めたいっていうなら
ぜひあんたに紹介したい人がいるんだ","Anyway, if you want to further master
the way of the Hunter, there's someone
I'd like to introduce you to.",Renton,,Renton,,Renton
"《ミスリウ森林深部》の小屋で
自給自足の暮らしをしてる
伝説のマタギ、イヴァンって人さ","A legendary hunter named Ivan, 
living self-sufficiently in a cabin 
nestled deep in Mysree Grove.",Renton,,Renton,,Renton
"訓練官としてあんたに依頼だ
ハンターのジョブマスター
イヴァンに会ってくれ","As the training officer, I have a request for you.
Meet with Ivan, the Hunter Job Master.",Renton,,Renton,,Renton
"その人から技術を学べば絶対に
もっとすごい射手になるはずだよ
だから、必ず会ってくれよな！","Learning from him is sure to make you
an even more incredible archer.
So, you absolutely have to meet him!",Renton,,Renton,,Renton
そこから先はあんた次第だけどさ,"From there, it's up to you.",Renton,,Renton,,Renton
"どうだ？　ほら、あの件――
《ミスリウ森林深部》のイヴァンに会うんだぞ","How's it going? Look, about that thing--
You're going to meet Ivan in the Mysree Grove.",Renton,,Renton,,Renton
"あんたがレスタニア最強弓の
ハンターになったら
俺も訓練官として大手柄だぜ！　へへッ","Once you're the number one Hunter
in all of Lestania, everyone will know of
my training prowess! Heheh.",Renton,,Renton,,Renton
"――ん？
ああ、お前弓、使うのか","...Hm?
Aah, bow...
You want to know how?",Ivan,,Ivan,,Ivan
"お前に弓教える、悪くない
オレに《ジョブマスター》尋ねろ
こたえてやる","Teach you the bow, fine. Good.
Ask me, Job Master,
I answer.",Ivan,,Ivan,,Ivan
