MsgJp,MsgEn,speaker,english,speaker,english,speaker
<COL ff7575><KCT ATTACK1></COL>でマジックボール、魔法弾で敵を攻撃よ！詠唱が終わればいつでも発動できるわ,"Attack with Magick Bolts using <COL ff7575><KCT ATTACK1></COL>! 
Usable instantly once
chanting completes!",Sorcerer,,Sorcerer,,Sorcerer
<COL ff7575><KCT ATTACK2></COL>でマジックトラップ！詠唱が終わればいつでも発動できるわ,"Cast Magick Trap with <COL ff7575><KCT ATTACK2></COL>! 
Usable instantly once
chanting completes!",Sorcerer,,Sorcerer,,Sorcerer
マジックボールなどを詠唱し、詠唱完了状態で<PADM>ボタン<KEYM>クリックやキー</KEYM>を押したまま移動してみるの,"While chanting Magic Ball,
hold the <PADM>button<KEYM>key</KEYM> 
to move post-cast!",Sorcerer,,Sorcerer,,Sorcerer
距離をとり、発動タイミングを見極めて。どの魔法でも使えるわ,"Maintain range and judge
the perfect moment. Works
for all spells!",Sorcerer,,Sorcerer,,Sorcerer
マジックトラップなどを詠唱中に<COL ff7575><KCT LOCK_MODE></COL>でロックオフ状態になるわ,"Magick Trap and similar spells will
enter a lock-off state by using <COL ff7575><KCT LOCK_MODE></COL>
when casting.",Sorcerer,,Sorcerer,,Sorcerer
ロックオフ状態から<COL ff7575><PADM><KEYN R_STICK><KEYM>マウス操作</KEYM></COL>で好きなところに魔法を放って！,"From free-aim, cast magic wherever you 
want using <COL ff7575><PADM><KEYN R_STICK><KEYM>mouse</KEYM></COL>!",Sorcerer,,Sorcerer,,Sorcerer
マジックトラップなど魔法陣が発動する魔法を詠唱中に、<COL ff7575><KCT CHANGE_MODE></COL>でスペリングよ,"While casting magic like Magick Trap, 
press <COL ff7575><KCT CHANGE_MODE></COL> to start Chanting.",Sorcerer,,Sorcerer,,Sorcerer
陣にある緑のポイントを<COL ff7575><PADM><KEYN R_STICK><KEYM>マウス移動</KEYM></COL>でなぞり、術を練るほど強力になるの,Trace the green points with <COL ff7575><PADM><KEYN R_STICK><KEYM>mouse</KEYM></COL> to power up the spell.,Sorcerer,,Sorcerer,,Sorcerer
詠唱完了後も、<COL ff7575><PADM>ボタン<KEYM>クリックやキー</KEYM></COL>を押し続けている間はスペリング可能よ,"You can keep chanting even after casting finishes,
as long as you hold down the <COL ff7575><PADM>button<KEYM>or Key</KEYM></COL>",Sorcerer,,Sorcerer,,Sorcerer
よし、では祠の奥へ向かい大型敵と対峙よ！大型敵の<COL ff7575>＜怒り状態＞</COL>に注意して！,"Alright! Head deeper into
the shrine and face the
large enemy! Beware its
<COL ff7575>enraged state</COL>!",Sorcerer,,Sorcerer,,Sorcerer
そして<COL ff7575><KCT TOUCH></COL>で敵にしがみついて！,Now use <COL ff7575><KCT TOUCH></COL> to climb onto it!,Sorcerer,,Sorcerer,,Sorcerer
その状態で<COL ff7575><KCT ATTACK1></COL>でマジッククラッカーよ,"While clinging, use <COL ff7575><KCT ATTACK1></COL> for Magick Cracker.",Sorcerer,,Sorcerer,,Sorcerer
取りつけたマジッククラッカーを攻撃するの！足元にしがみつけば狙いやすいわ,"Hit the Magic Cracker!
Stay near its feet for
precise attacks!",Sorcerer,,Sorcerer,,Sorcerer
では大型敵の<COL ff7575>＜怒り状態＞</COL>に注意してヤツを仕留めるのよ！,"Be wary of the large enemy's <COL ff7575>enraged state</COL>
and take it out!",Sorcerer,,Sorcerer,,Sorcerer
揺さぶり、疲れさせてチャンスを作って！,"Shake it, wear it down, create openings!",Sorcerer,,Sorcerer,,Sorcerer
試練完了、よくやったわね！奥にある＜魔攻の証＞を受け取り、神殿のレンテンに報告しなさい,"Trial complete! Take the <Sorcerer's Mark> 
and report to Renton at the temple.",Sorcerer,,Sorcerer,,Sorcerer
"おめでとう、覚者さん
これにて戦術試練は完了よ","Congratulations, Arisen.
The tactical trial is now complete.",Sorcerer,,Sorcerer,,Sorcerer
"今覚えたソーサラーの戦い方を
振り返りたい時は、《チュートリアルガイド》の
《ジョブの操作と役割》からソーサラーの戦法や
戦術的役割を確認してね","To review the Sorcerer's combat style
you just learned, check 《Tutorial》→
《Job Roles》for tactics and duties.",Sorcerer,,Sorcerer,,Sorcerer
"魔術はスペリングと発動タイミングにより、
同じ魔力の術師でも魔法威力に大きな差がでるの
テクニックを磨き、精進するといいわ","Magic power varies greatly
through spelling and timing - even
among equal mages. Hone your
technique through practice!",Sorcerer,,Sorcerer,,Sorcerer
"よぉ！　よく来たな
今回はソーサラーの基礎試練だ
またしっかりこなして覚えてきてくれよ","Hey! Good to see you.
This time it's the Sorcerer's
basic trial. Make sure you
complete and learn it well.",Renton,,Renton,,Renton
"言うまでもないかもしれないけど
挑むのは一人だ
ポーンや仲間の手助けはなしな","It may go without saying, but you
must challenge it alone. 
No help from Pawns or companions",Renton,,Renton,,Renton
"受ける準備ができたら《修練の祠》に
向かってくれよ
神殿を出て左手の崖沿いに進み
崖上にある祠の中に騎士団員がいるからさ","When ready, head to the
Training Chapel. Exit the
temple, follow the left
cliffside - a knight awaits
inside the cliff-top shrine.",Renton,,Renton,,Renton
"今回の試練、うまくいったか？
ソーサラーなんてすごいよなぁ！
訓練案内してる俺も、実は全然知らないんだけど","Did the trial go well?
Sorcerers are amazing, right?
I'm guiding your training,
but honestly, I don't know much!",Renton,,Renton,,Renton
