"Jp","En"
"白竜、力授けた
オレ、またお前のこと、試してやる","White Dragon gave me power.
I test you again."
"試練の場、来い","Trial grounds. Come."
"――試練の場に入るエリアランク
確認して向かえ","...Trial Grounds Area Rank.
Check it. Go."
"今回もオレ、お前、試してやる
試練の場、来い","Now, I test you.
To the trial grounds. Come."
"――試練の場に入るエリアランク
確認して向かえ","...Trial Grounds Area Rank.
Check it. Go."
"待ってた
オレ、共に戦う","Been waiting.
We fight together."
"この先、試練の敵いる","Trial is ahead. Target is there."
"お前、いいハンターなった
新しい技使える、大丈夫","You became good Hunter.
With new Arts, you'll do well."
"技の継承、俺の家でやる
家で待つ","Learn the Art at Lodge.
Meet you there."
"この技、強い弓
お前扱える、大丈夫","This strong bow move,
you can use, no problem."
"お前、いいハンターなった
狙えば狙うほど、正確に射られるようになる
もっと成長できる","You, you're good Hunter now.
Take aim, shoot true.
Grow endlessly."
"色んな矢、選んで使え
射ち方、試せ","Ye arrows. Many uses.
Try shooting 'em."
"あれ、最初の試練","That is Test One."
"よし、次、第二の試練","Good. 
Next, Test Two."
"第二の試練、射抜け","Test Two.
Get a bull's eye."
"いい調子、次で最後","Good pacing.
Last one."
"いた、最後の試練","Next, the Final Test."
"お前なら大丈夫
新しい技、使える
技の継承、俺の家でやる","You? Will do fine.
Inherit Arts at the Lodge."
"様々な矢、使いこなすのがハンター","Many arrows to master.
Good Hunter uses 'em all."
"回避して自分守る、大切なこと","Dodging, self-protection;
important."
"最適距離、覚えろ","Remember;
stay in optimal range."
"弱点狙う、大事","Most importantly;
target weaknesses."
"狙う、射る、それだけ","Aim and shoot.
That's it."
"敵の数、把握しろ","Count yer targets.
Stay wary."
"間合い、ちゃんと見てるか","Keeping an eye on yer range?"
"敵の状態に合わせた攻撃、ハンターなら当然","Adapt to the state of the target.
This is Hunter's way."
"狙った獲物、逃すな","Don't let your mark escape."
"弱点、狙え","Weaknesses.
Aim for them."
