"Jp","En"
"よっ、遅かったじゃないか！
――みなまで言うなって、アレだろ？
新たな戦技の継承だろ？","Whoa, about time!
""Don't spell it out"" - that deal, yeah?
This is about learning new combat skills, right?"
"白竜様からの力は受け取ってるからさ
ちゃーんと新たな技も編み出しといたぜ！
まかしとけって！","I’ve already received power from Lord White Dragon,
so I’ve come up with some brand-new moves too!
Got it covered!"
"さてと、それじゃ、あんたがこのテクを
使いこなせる器か確認させてもらわないとな
前回よりも腕を上げてないと辛いぜ？
じゃ、試練の場で待ってるからな！","Alright then, I gotta check if you're 
worthy of mastering this technique. 
If you haven't improved since last time, 
it'll be rough. I'll be waiting at the trial grounds!"
"あ、そういやあんた
試練の場に行くためのエリアランクは足りてるか？
一回確認しといた方がいいぜ――なんてな
へへっ、おせっかい焼いちまった","Come to think of it, do you have enough Area Rank
to go to the trial grounds? You should check it
out first—just sayin’. 
Heh, yeah, I’m bein’ nosy again."
"試練の場で待ってるからな！
――早く行った方がいいぜ
俺の足なら一瞬ってことは知ってるだろ？","I'll be waiting at the trial grounds! 
You'd better hurry. You know how fast 
my legs are, right?"
"そういやあんた
試練の場に行くためのエリアランクは足りてるか？
一回確認しといた方がいいぜ――なんてな
へへっ、おせっかい焼いちまった","Come to think of it, do you have enough Area Rank
to go to the trial grounds? You should check it
out first—just sayin’. 
Heh, yeah, I’m bein’ nosy."
"おっ！　思ったより早く着いたな！
そんじゃ、行きますかっと","Oh! You got here faster than I thought! 
Alright, let's get going."
"いいねぇいいねぇ！
やると思ってたんだよ、あんたなら！
期待通りの動きだったぜ！","Nice, nice! 
I knew you had it in you! 
You moved just like I expected!"
"じゃ、新たな戦技の継承は俺の家でやろうぜ
あんたも一服したいだろ？","My place for the new moves.
Need a break, don'tcha?"
"ハイ、じゃ、戦技継承――っと！
いやぁ、あんたイイ動きだったな
最近はロープのこと、第三の手みたいに感じるだろ？
シーカーとしてイイ線いってるってことだ！","Right, technique transfer - go!
Man, you had some good moves.
Lately, the rope feels like a third arm, right?
That means you're on the right track as a Seeker!"
"あんたならもっと速く
もっと高く飛べるようになるんじゃないかな
これからも高みを目指していこうぜ！","I bet you'll be able to fly faster
and higher from now on. 
Let's keep aiming for greater heights!"
"あんたの速さと高さ、バッチリ見てるからな！","I've been watching your speed and height—
spot on!"
"おっ、さっそく第一の試練だぜ！","Oh, here comes the first trial already!"
"おっ、やるな！　次次！","Oh, not bad! Next, next!"
"さあ、第二の試練のお出ましだ","Now, the second trial makes its appearance."
"次が最後の試練だ、気合入れていけよ！","Next is the final trial—
put your heart into it!"
"さーて、これが最終試練だ！
パーッといいとこ見せてくれよ！","Alright, this is the final trial! 
Show me your best moves!"
"いいねぇいいねぇ！
お前の器、見届けた――なんてな！
じゃ、新たな戦技の継承は俺の家でやろうぜ
あんたも一服したいだろ？","Sweet!
You've got talent - seriously!
My place for the new moves.
Need a break, don'tcha?"
"ん？　もしかして今、オレの速さに見とれてた？","Hmm? Were you mesmerized by my speed?"
"敵の攻撃なんか、跳び回ってれば当たらないって","If you keep jumping around, 
enemy attacks won't hit you."
"縦横無尽に登る！　走る！　これがシーカーだ！","Climb and run freely—
that's what a Seeker does!"
"これも自由のための投資ってやつだ！","Call it an investment in our freedom!"
"常に視野は広く持てよ！","Always keep your field of vision wide!"
"敵に攻撃する隙を与えるな！","Don't give enemies an opening to attack!"
"集中的に攻撃するタイミングってのがあるんだよ","There's a time to focus your attacks."
"戦いの場では、オレたち止まってられないよな！","In battle, we can't afford to stand still!"
"敵がダウンしたらチャンスだぜ","When an enemy's down, that's your chance."
"跳べ！　誰にも捕まえられないはずだ！","Jump! No one should be able to catch you!"
