"Jp","En","english","speaker"
"覚者殿はご存じでしょうか
――メガド住居層にある《<STG 1149>》
その奥にある扉が開いたという噂です","Master Arisen, have you heard?
They say a door within <STG 1149>
in the Megado residential district has opened.","","Youssef"
"《<STG 1149>》に入って右側にある扉です
これまでは開かずの間として扱われてきましたが
突然開くようになったのだとか","It's the door on the right after entering
<STG 1149>. 
Until now, it has been treated as a sealed chamber, 
but apparently it has suddenly opened.","","Youssef"
"中へ入った兵士が言うには
何も無かったとのことですが
――私が思うに、あの場の英霊が
覚者殿をお呼びになっているのではないでしょうか","The soldier who went inside reported
finding nothing there. But I suspect
the spirits at that site may have been
calling for Master Arisen.","","Youssef"
"《<STG 1149>》に入って右側にある扉です
これまでは開かずの間として扱われてきましたが
突然開くようになったのだとか――","It's the door on the right after entering
<STG 1149>. 
Until now, it has been treated as a sealed chamber, 
but apparently it has suddenly opened...","","Youssef"
"あの場の英霊がお呼びになるとすれば
それは覚者殿かと","If the spirits of that place were 
to summon someone,
it would be Master Arisen.","","Youssef"
"覚者よ、よくやった――
この身を巡る竜力が新たな高みに至った","Arisen, well hast thou performed――
The dragon's might that dwelleth in me
hath risen to newfound heights.","","The White Dragon"
"この国では感じたことのない竜力――
お主が白き竜に仕える覚者か","Draconic power I have never felt in this land...
You are Arisen, servant of the white dragon.","","Selim"
"この扉を開き、正にお主を待っていた――
手短に言うぞ、悪しき竜の干渉から
ウルテカ山岳の土地が持つ“記憶”を
守ってほしいのだ","I opened this door and was waiting just for you... 
I want you to protect the ""memory"" held by the 
land of Urteca Mountains from the 
interference of the Evil Dragon.","","Selim"
"お主も知っていることかと思うが
悪しき竜の竜力は各地を巡り
“土地の持つ記憶”を塗り替えつつある
これは絶対に食い止めなければならん！","You likely know this already, but the Evil
Dragon's Dragon Force is spreading across the 
land, rewriting ""memories held by the land."" 
We must put a stop to this at all costs!","","Selim"
"そこで《石碑の試練》に立ち向かい、それぞれの
石碑に秘められた竜力を解放することで
悪しき竜の干渉に抵抗できるよう
土地を力付けてもらいたいのだ","There, face the Trial of the Stone Monument,
and by unleashing the Dragon Force hidden
within each monument, 
resist the Evil Dragon's interference.
Empower the land.","","Selim"
"石碑の試練とは？","What is the Trial of the Stone Monument?","","Selim"
"戦う力について","About the power to fight.","","Selim"
"特に気になることは無い","Nothing.","","Selim"
"《石碑の試練》は、本来より強力な力を
得んとする挑戦者たちのために
用意されたものだ","The Trial of the Stone Monument is designed
for challengers seeking to obtain power
far greater than their current state.","","Selim"
"しかし、過去が塗り替えられるという事態だ
石碑の力を解放し、悪しき竜の干渉に
抵抗できるよう、土地に正しき竜力を
還元してやらねばならない","However, this means the past being rewritten.
To resist the interference of the Evil Dragon,
we must release the power of the monument
and restore the rightful Dragon Force to the land.","","Selim"
"みなまで言うな、わかっている――
お主も白竜に仕える者として
第一に優先するのは白竜のことだろう","No need to say more, I understand...
As one who serves the White Dragon,
you prioritize his will above all.","","Selim"
"この作戦への助力へは
相応の礼をもって対応しよう
つまり――お主も
さらなる力を手にするということだ","We shall repay your aid with fitting reward. 
That is to say... 
you too shall gain even greater power.","","Selim"
"お主が得た力はお主のもの
白竜への捧げものとするが良い","The power you have gained is yours.
Dedicate it to the White Dragon.","","Selim"
"おお――やはり、英霊は
覚者殿を呼ぶために開かずの扉を開かれたのですね
そして、覚者殿はその試練を見事乗り越えられた、と","Ah... 
So, the spirit did indeed open the sealed door
to summon Master Arisen. 
And Master Arisen has splendidly 
overcome the trial.","","Youssef"
"差し出がましいようですが
これは是非、覚者殿がお仕えになっている
白き竜へもご報告なさるべきでは――！","Forgive my presumption, but surely you should 
report this to the white dragon 
whom you serve―!","","Youssef"
"今回の件でエリアマスターからの評価も変わり
《期間解放スポット》が増えるのではないでしょうか
一度、＜エリアリスト＞の＜スポット情報＞を
ご確認ください","With this event, the Area Master's evaluation
may change, and the number of Periodically
Unlocked Spots could increase. Please check
the Area List and Spot Info once again.","","Youssef"
"差し出がましいようですが
此度の件は是非、覚者殿がお仕えになっている
白き竜へもご報告なさるべきでは――！","It may be presumptuous, but you should report
this event to the white dragon you serve—!","","Youssef"
"また、今回の件でエリアマスターからの評価も変わり
《期間解放スポット》が増えるのではないでしょうか
一度、＜エリアリスト＞の＜スポット情報＞を
ご確認ください","Also, with this event, the Area Master's evaluation
may change, and the number of Periodically
Unlocked Spots could increase. Please check
the Area List and Spot Info once again.","","Youssef"
