old,new,speaker,english,speaker,english,speaker
ギルスタンという名に聞き覚えはあるか？,Does the name Gilstan ring a bell?,Leo,,Leo,,Leo
"――その様子では知らないようだな
となれば、好都合だ
おまえに頼むことにしよう","――It seems you're unaware of them.
Well, that works out conveniently.
I'll entrust you with it.",Leo,,Leo,,Leo
"おれは《ブラッドオーブ》に頼らずに
白竜の石化を食い止める――
あるいは症状を改善する方法を探していた","I've been searching for a way to stop
the petrification of the White Dragon,
or at least improve its condition, 
without relying on the ""Blood Orb.""",Leo,,Leo,,Leo
"《ブラッドオーブ》は稀少なくせに
効果が大きいとは言い難いからな","Blood Orbs may be rare, but it's hard to say that 
its effects are significant.",Leo,,Leo,,Leo
"しかし、賛同者たちの協力にもかかわらず
これまで、まったくと言っていいほど
他の方法は見つかっていない","However, despite the cooperation of supporters, 
so far, there has been no other method found.",Leo,,Leo,,Leo
"それらしいウワサ話は幾つも聞いたが
確認してみると、いい加減なものばかりだった","I heard several plausible rumors,
but when I checked, they were all just baseless.",Leo,,Leo,,Leo
"そして今、新たな情報が入った
古文書を多数所持している者がいて
その文書には失われた知識が
幾つも記されているということだ","And now, new information has come in. 
There is someone who possesses numerous 
ancient documents, and it is said that these 
documents contain countless pieces of 
lost knowledge.",Leo,,Leo,,Leo
我々が求めている情報もあるかもしれない,There may also be information that we are seeking.,Leo,,Leo,,Leo
"持ち主の名はギルスタン
人間と覚者を忌み嫌う老ゴブリンだ
はるか東の洞窟に住んでいる","The name of the owner is Gilstan. He is an old 
Goblin who despises humans and Arisen. 
He lives in a cave far to the east.",Leo,,Leo,,Leo
"そこへ行って古文書を譲り受ける――
あるいは奪い取る――
方法はおまえに任せるから引き受けてくれ","Go there and accept the ancient document---
or snatch it away---
I'll leave the method up to you, 
so please accept the task.",Leo,,Leo,,Leo
"古文書の持ち主の名はギルスタン
遠い東の洞窟に住む老ゴブリンだ","The name of the owner of the ancient document is 
Gilstan.
He is an old Goblin who lives in a distant cave 
to the east.",Leo,,Leo,,Leo
なるべく、穏便にな,As peacefully as possible.,Leo,,Leo,,Leo
"残念ながらごくわずかではありますが
白竜様のうろこがまた石となってしまいました","Unfortunately, a few of the White Dragon's scales
have once again turned to stone.",Mysial,,Mysial,,Mysial
《ブラッドオーブ》さえあれば――,If only I had Blood Orbs...,Mysial,,Mysial,,Mysial
"もし時間があるなら魔物を倒して
《ブラッドオーブ》を持ち帰るんだ
あれは幾らあっても足りないということはない","If you have time, defeat the enemies and 
bring back the Blood Orbs.
You can never have enough of them.",Joseph,,Joseph,,Joseph
イリスはどこにいるんだろうね――,I wonder where Iris is--,Klaus,,Klaus,,Klaus
フン――人か――しかも覚者だな！,"Hmph—A human—And an Arisen, no less!",Gilstan,,Gilstan,,Gilstan
"まったく――
追い出しても倒しても、こりずに来やがル","Truly--

No matter how many times you drive them away or 
knock them down, they just keep coming back.",Gilstan,,Gilstan,,Gilstan
"ナんだ？　古文書？　ナんだそれは？
ああ、本か――あのよく燃えるヤツだな
それを欲しいというのか？","What is it?　Ancient documents?　What's that?
Oh, books--those flammable things.
You want some of those?",Gilstan,,Gilstan,,Gilstan
"ほう――へぇ――よし、わかったヨ
頼みをきいてくれたらアレをくれてやってもいい
外に魔物がいっぱい住みついて困ってるんダ
ヤツらを退治してくれ","Oh—Hmm—Alright, got it.
If you help me out, I'll give you that.
There are lots of monsters outside causing trouble.
Get rid of them for me.",Gilstan,,Gilstan,,Gilstan
そしたら、あれこれ、良くしてやるヨ,"Then, I'll do this and that to help you out.",Gilstan,,Gilstan,,Gilstan
"なんだ？　引き受けておいて何してル？
ゴブリンをなめるなヨ？","What? You accepted the task, 
so why aren't you doing anything?
Don't underestimate goblins, alright?",Gilstan,,Gilstan,,Gilstan
"ニンゲンニンゲン何シニ来タ！
ゴブリンノ王、ギルスタンノ城！
出テイケスグイケ！","Humans, humans, what have they come here for!
Goblin King, ruler of the fortress of Gilstan!
Leave now or face consequences!",Buggu,,Buggu,,Buggu
"ギギギー！　ムカツク、ツクー！
許サナイ謝ッテモダメ！","Gigigee! How irritating, so irritating!
I won't forgive you, 
no matter how much you apologize!",Zutan,,Zutan,,Zutan
"ナンダー！？　ナンダー！？
盗ンダラ許サナイゾ！
石コロヒトツデモ許サナイゾ！","What?! What?! 
I won't forgive you for stealing!
I won't forgive even a single pebble!",Baranja,,Baranja,,Baranja
"人間ノ浅ハカナトコロ――
自分達ガモットモ賢イコ思ッテルトコロ","Humans are shallow beings, 
thinking they are clever in everything.",Surabo,,Surabo,,Surabo
"他ノ種族ヲ愚カダト信ジテイル
話セバワカルノニ、スグ暴レル","They underestimate other races as fools,
and if you tell them, 
they immediately resort to violence.",Surabo,,Surabo,,Surabo
おっと！　魔物をやっつけたのか！？,Whoa! Did you defeat the monster!?,Gilstan,,Gilstan,,Gilstan
"へえ――おまえはヤルなあ
面倒だから仲良くしような
あれこれ、良くしてやるヨ","Oh, so you did it.
Since it's a hassle, let's get along.
I'll do this and that to help you out.",Gilstan,,Gilstan,,Gilstan
"ええと、あの古い本が欲しいんだったナ？
ほら、約束通り、やるヨ！
受け取ったら、とっとと帰ってくれ","Uh, you want that old book, right?
Here, I'll give it to you as promised!
Take it and get the hell out of here.",Gilstan,,Gilstan,,Gilstan
まだ何か用か？,Still need something?,Gilstan,,Gilstan,,Gilstan
"そうだ――
もし《ブラッドオーブ》があったら持って来い
いろんな珍しいモノと交換してやるヨ","Yes--
If you have any Blood Orbs, bring them to me.
I'll trade them for all sorts of unusual things.",Gilstan,,Gilstan,,Gilstan
"出テイケ！
用ガスンダラ出テイケスグイケ！","Leave!
I have no use for you, leave now!",Buggu,,Buggu,,Buggu
"ギギギー！　ムカツク、ツクー！
魔物ニ友ダチヤラレタヤラレタ！","Gigigee! So irritating, so irritating!
Befriended by monsters, you've become!",Zutan,,Zutan,,Zutan
"――何！？　退治シテクレタ！？
スゲー！　覚者スゲー！","What!? You defeated it!?
Amazing! The Arisen is amazing!",Zutan,,Zutan,,Zutan
"オマエ盗人ジャナイノカ！？
オデ、勘違イ――謝ラナイケド！","Are you not a thief!?
Sorry, I misunderstood—I won't apologize!",Baranja,,Baranja,,Baranja
"何ダ――、ほゥ約束守ッタカ
魔物ヲ倒したと言ウのダな","What—did you keep your promise?
You did say you defeated the monster.",Surabo,,Surabo,,Surabo
ソレは凄イナ、マタ王のタメ働ケ,"That's impressive, huh? 
You'll work for the king again.",Surabo,,Surabo,,Surabo
"ん？　どこへ行ってきたんだ？
少々魔物くさいが――","Hm? Where did you go?
You smell a bit like monsters—",Joseph,,Joseph,,Joseph
"白竜の輝くうろこが――
ほら、首のあたりがくすんでしまいました――","The shining scales of the white dragon--
See, they've dulled around the neck--",Mysial,,Mysial,,Mysial
"レオに身体を空けておけっていわれてるけど
何かあるのかな？
君があるモノを持ち帰るとかなんとか――","Leo told me to keep my distance.
Is something up?
You're supposed to bring something back or what?",Klaus,,Klaus,,Klaus
ギルスタンはどうだった？,How was Gilstan?,Leo,,Leo,,Leo
"――そうか――よくやった
では、その古文書を見せてくれ","――So, I see―― Well done.
Now, please show me that ancient document.",Leo,,Leo,,Leo
"ふん――まったく読めないな
おそらく、今は使われていない文字だ
いや、かつて使われていたのか否かも怪しい","Hmph... I can't read you at all. 
Probably old characters not used now. 
Or maybe never used, who knows.",Leo,,Leo,,Leo
"どうせこんなことだろうと
クラウスに声をかけてある
文書の解読は、あいつに任せよう","Anyway, let's call out to Klaus. 
Leave the deciphering of the document to him.",Leo,,Leo,,Leo
"とりあえず、ご苦労だったな
ゆっくり休んでくれ","For now, you've worked hard. 
Take a good rest.",Leo,,Leo,,Leo
準備できたら声を掛けてくれ,Give me a shout when you're ready.,Leo,,Leo,,Leo
"一緒にやりたいこと、相談したいこと――
頼みたいことが山ほどある","There are so many things I want to do with you, 
things I want to talk to you about-- 
so much I want to ask you for help with.",Leo,,Leo,,Leo
"【ヒント：魔物掃討について】
ギルスタンからの魔物掃討依頼は
難易度の高い依頼です
ホボリック洞穴を拠点に、
装備と戦技を整えて挑みましょう","【Hint: Monster Eradication】
Monster eradication requests from 
Gilstan are high-difficulty tasks. 

Prepare your equipment and skills at 
Hobolic Cave before attempting.",Leo,,Leo,,Leo
