"Jp","En","english","speaker"
"ああ――あの石コロが欲しいんだナ？
なら、取引きといこう
<STG 550>に<NPC 2004>を
向かわせるから、そこで聞け","Aah—you want dat shiny rock?
Then let’s make deal!
I send <NPC 2004> to <STG 550>,
go ask dere!","","Gilstan"
"取引きするんじゃないのカ？
<STG 550>に<NPC 2004>を
向かわせるから、あっちで聞くんだナ","We do trade, yes?
Me send <NPC 2004> to <STG 550> -
you go ask dere, ya?","","Gilstan"
"人間――取引すル、人間カ
エンブレムストーンが欲しけレバ
この先のオークたち、倒してコイ！
頼みとエンブレムストーン、交換ダ","Hu-man! Trade-trade?!
Want glowy Emblem Stone?
Slay ugly orcs first!
Then we swap-shiny!","","Surabo"
"カクゴはいいか？
さっそくタメすかどうかキメロ","You ready, squish-skin?!
Decide-die or run-cry NOW!","","Surabo"
"いつでもOKだ","It is OK whenever.","","Surabo"
"――少し考えさせてほしい","...I want to think a bit","","Surabo"
"王のノゾミ、聞くンだナ――ヨシヨシ
奥にいる敵、ミナたおせ！
途中で倒れタリ、ノロノロするのはダメダ","Listen-bow to King's wish! GOOD-GOOD!
Kill-kill ALL enemies in back-cave!
No slow-slow, no weak-fall! BAD-BAD!","","Surabo"
"失敗して出直ス時――
まァ、声かけるなら、ツキアッテヤル","If you fail-crumble…
heh, just yelp-help!
Me maybe share win-magic!","","Surabo"
"ワカッタ――
準備できタラ、声かけロ
チョットくらい、待ってヤル","Know-know!
Prepare-fast…
or me leave-sneak!
Tiny-wait only!","","Surabo"
"失敗して出直ス時――
まァ、声かけるなら、ツキアッテヤル","If you fail-crumble…
heh, just yelp-help!
Me maybe share win-magic!","","Surabo"
"奥にいる敵、ミナたおせ！
途中で倒れタリ、ノロノロするのはダメダ","Kill ALL enemies in back!
No slow-slow! No fall down mid-way!","","Surabo"
"オマエ、やるナ！
王にホウコクしとく
オマエも王にアイサツ忘れルナ","You! Good fight!
Me tells King about you!
You bow to King too!","","Surabo"
"おおっ！　首尾よくスピリットランサーの
エンブレムストーンを手に入れてきたみたいだな！
さっそく確かめてみようぜ","Ho! You've acquired
a Spirit Lancer Emblem Stone!
Shall we inspect it?","","Renton"
"他のジョブのエンブレムストーンも
手に入れたら、一度俺に見せてくれよ","Once you get Emblem Stones for other jobs,
show them to me, will you?","","Renton"
"ノロノロせず、イチバン奥のオークをタオセ――それが王のノゾミ","Be fast, defeat orc in back—
that king wish.","","Surabo"
"時間、カカリスギ――イソゲ！！","Time-waste too much—HURRY UP!!","","Surabo"
"オマエ失敗ダ、台無しダ――まァ、声かけるなら、もう一回ツキアッテヤル","Fail-fail! Mess-mess!
Beg pretty, maybe
me help... ONE time!","","Surabo"
"ヤッタ！　――オレのトコロ、モドッテこい！","Yahaha! 
—You come back to lair, ya!","","Surabo"
"オマエ、やるナ！
王にホウコクしとく
オマエも王にアイサツ忘れルナ","You! Good fight!
Me tells King about you!
You bow to King too!","","Surabo"
"取引き完了だナ！
石コロ１つで、邪魔なヤツらを追い払えタ――
お前はちょっと働いて、あの石コロを手に入れられタ
お互い、良かったよナ","Deal's done!
One little rock to chase those pests away—
You put in work and get your prize.
Good deal for both of us!","","Gilstan"
"石コロ――エンブレムストーンは他にもあるゾ
別のジョブのが欲しければ、ＬＶ．70になって
役に立てるようになってから――また来いヨ
取引きしてヤル","Shiny rock—Emblem Stone, we got more-ya!
Want different job-stone? Come back at Level 70,
when you strong-strong—then we trade-ya!
Promise good deal!","","Gilstan"
"石コロ――エンブレムストーンは他にもあるゾ
別のジョブのが欲しければ、ＬＶ．70になって
役に立てるようになってから――また来いヨ
取引きしてヤル","Shiny rock—Emblem Stone, we got more-ya!
Want different job-stone? Come back at Level 70,
when you strong-strong—then we trade-ya!
Promise good deal!","","Gilstan"
