"Jp","En"
"ああ、レンテンの話を聞いてきてくれたのか
実は――折り入って相談があるんだが
話を聞く気はないか？","Ah, have you heard about Renton? 
Actually—I have something I’d like to discuss. 
Would you hear me out?"
"あれは白竜神殿に戻ってくる道中でのことだ――
《死者の小窟》の近くを通りかかった時に
“見たこともない武器”を持った人物を見かけた","It happened on my way back to 
The White Dragon Temple—
while passing near the Small Cave Tombs, 
I saw someone carrying a weapon
I’ve never seen before."
"武器だけじゃない
“人間”と言っていいのかどうか
それすらも判断できないような不思議な人影だった","And it wasn’t just the weapon. 
I couldn’t even tell if it was ""human""... 
It was a mysterious figure, almost like a shadow."
"ただ、こんなことを言ったら
おかしなやつだと思われるだろうから
今この時、お前にしか話していない","But if I say something like this,
people will probably think I'm weird.
That's why I'm only telling you right now."
"だがな、あの時の人影と
“見たこともない武器”が
どうしても頭から離れないんだ
俺に代わって調べてきてはくれないか","Yet that mysterious figure,
and that unknown weapon -
they won't leave my mind.
Will you investigate in my stead?"
"俺が“見たことも無い武器”を
携えた人影を見たのは《死者の小窟》だ
そこに行けば、何か手がかりがあると思うんだが","I saw that figure with the unknown weapon 
at the Small Cave Tombs. 
Maybe if you go there, you’ll find a clue."
"工房の一角を任された以上
俺は神殿から離れるわけにはいかない
かといって、あの武器を忘れることもできない――
つまりだ、頼んだぞ","Being put in charge of part
of the workshop means I must
stay at the temple. But I
can't stop thinking about that
weapon - so I'm relying on you."
"ああ、無事に戻ったか
俺が言った人物は見つかったか？","Ah, you made it back safely.
Did you find the person I mentioned?"
"なに？
異国のジョブと、その武器を携えた霊だと？！
――にわかには信じられんが
あの雰囲気ではそれも納得せざるを得ないか","What's this?
A spirit bearing both a foreign combat style, 
and that weapon?!
-Though hard to swallow, that eerie
air makes it undeniable."
"ふむ――ううむ――まぁ、いい
そのジョブとやらを使いこなす時がきたら
武具の進化は俺に依頼するんだぞ
それまでに、新しい武器の知識を蓄えておこう","Hmm...well...alright then.
When you master that so-called job,
come to me for weapon upgrades.
I'll research new knowledge about arms until then."
"まさか霊だったとは思わなかったが
とりあえずは礼を言う
これで今晩から何にも悩まされず
快適に眠れそうだ","I never imagined it truly was a spirit... 
But thanks.
Now I can sleep soundly tonight without worry."
"気を抜くな、まだ敵はいるぞ","Don't let your guard down, 
there are still enemies around."
"お前、ただの兵士と言うわけではなさそうだな","You don’t seem to be just an ordinary soldier."
"なかなかやるな","You've got some skill."
"私を見ても驚かないのですね
――ほう、私を目撃した人間からの情報で
ここに来たと言うわけですか","You don't seem surprised to see me... 
Interesting. 
You were directed here by someone 
who'd previously seen me?"
"見ての通り、私は生きた人間ではありませぬ
世界のあちこちを彷徨っている
執念のようなものです
有体に言えば――“幽霊”です","As you can see, I’m not among the living. 
I wander the world—call it lingering will. 
To put it bluntly, I’m a ""ghost."""
"この武器が気になると？
――なるほど、この大陸には
《ハイセプター》というジョブは無いのですね","Curious about this weapon? 
I see... 
This continent has no job called High Scepter."
"私が見るに、貴方はどうやら
特別な資質をお持ちのようだ","Looking at you, I sense you have a special talent."
"その資質があれば、いつか《ハイセプター》として
剣を振るうことがあるかもしれませんね
――それでは、縁があればまた会いましょう","With those qualities, you may wield 
a sword as a High Scepter someday.
...Then, if fate allows, we'll meet again."
"《ハイセプター》の技を習得し、究めたいと？
であれば、私ではなく当代の
《ジョブマスター》を訪ねてみるとよろしい
きっと力になってくれるでしょう","You wish to learn High Scepter techniques? 
Then seek out the current Job Master—not me.
They will surely be of help to you."
"私は流浪の存在
縁があれば、またお会いすることでしょう
それでは、その日まで――","I drift where fate takes me. 
Till we meet again—whenever that may be."
"ああ、そうだ
実はあんたに伝言があったんだ","Ah, right. I have a message for you."
"クラフトルームのクレイグさんが
あんたに相談したいことがあるんだってさ
ちょっと行って話を聞いてくれないか？","Craig from the Craft Room has something to
discuss with you. Could you go hear him out?"
"クラフトルームのクレイグさんが
あんたに相談したいことがあるんだってさ
何だろうな？
ま、とりあえず伝言は伝えたぜ","Ser Craig from the Craft Room
wants to discuss something with you.
Wonder what it is?
Well, I passed on the message at least."
