Jp,En,speaker
"白竜からの力を受け取った
今回も、私がお前を見極めてやろう
この戦技を扱えるか否かを――","I have received power from the White Dragon.
This time as well, I shall test your worthiness—
whether you can wield this combat art or not.",Vanessa
"前回同様、試練の場を用意する
そこで落ち合おう","As before, I shall prepare the trial grounds.
Let us meet there.",Vanessa
"試練の場を用意した
そこで落ち合おう
――どうした、行かないのか？","I have prepared the trial grounds.
Let us meet there.
—What’s wrong? Not going?",Vanessa
"よし、来たな！
今回も私が共に戦い、その中で
直に手ほどきしてやろう
――行くぞ！","Good, you’ve come!
This time, I will fight alongside you and
directly instruct you in the midst of battle.
—Let’s go!",Vanessa
"さぁ、お前の器を見せてもらおうか
様々な技を駆使し、敵をかく乱してやれ","Now, show me your potential!
Make use of your skills, and bewilder your foes!",Vanessa
"いたぞ、あそこだ
あの敵が最初の試練だ","There it is, over there.
That enemy is the first trial.",Vanessa
いいぞ、次は第二の試練の場所へ向かうぞ,"Good, now let's head to the second trial.",Vanessa
"気付いたな？
第二の試練だ","You noticed, didn't you?
This is the second trial.",Vanessa
よし、最後の試練へ向かうぞ！,"Alright, let’s head to the final trial!",Vanessa
"いよいよ最後の試練だ
心してかかれ！","At last, the final trial.
Face it with resolve!",Vanessa
"日々の研鑽ぶりが伝わってくる戦いぶりだった！
いいだろう、一度グリッテン砦に戻り
そこで正式に戦技を継承するとしよう","Your fighting style reflects daily refinement!
Very well, return to Gritten Fort, and there, 
I will formally pass down the combat art.",Vanessa
"予想以上に強くなっているようだな
日々の研鑽が伝わってくる戦いぶりだった――","You’ve grown stronger than I expected.
Your fighting style reflects daily refinement—",Vanessa
"では、一度グリッテン砦へ戻り
そこで戦技を正式に継承しよう","Then, return to Gritten Fort,
and there, 
I will formally pass down the combat art.",Vanessa
"この戦技はお前自身が戦いの中で
つかみ取った新たな力だ","This skill is a new power you yourself
have seized in the midst of battle.",Vanessa
"今後も技を磨き、最高の剣士となった姿を
私に見せてみろ
お前にならきっと可能だろう
――楽しみにしている","Continue to refine your techniques, and
show me your form as a top swordsman.
I'm sure you are capable. I look forward to it.",Vanessa
前線で戦う者は不屈の闘志を常に持つことだ,"Those who fight on the front lines must 
always possess unyielding fortitude.",Vanessa
スキルの特性を理解することを怠るな,"Do not neglect to understand 
the traits of your skills.",Vanessa
防御と攻撃、どちらを行うべきか見極めろ,Determine whether to defend or attack.,Vanessa
攻撃を受ける瞬間にガードすることを忘れるな,"Do not forget to guard 
the moment you are attacked.",Vanessa
目的に合わせ、スキルだけでなくアビリティも考慮しろ,"Consider not only skills but also 
augments to suit the purpose.",Vanessa
ここをお前が守る前線と思え！,Consider this your frontline to defend!,Vanessa
集中的に攻撃する頃合いというものがある,Timing is key for focused attacks.,Vanessa
敵との間合いをよく考えろ,"Consider well the distance 
between you and the enemy.",Vanessa
敵がダウンしたら見逃すな,"When they're down, press the attack.",Vanessa
敵の動きを見極め、ガードするタイミングを把握しろ！,"Read the enemy’s movements and grasp
the timing to guard!",Vanessa
