Jp,En,english,speaker
"さらなるジョブの成長が可能になったようだな
そろそろ新しい成長要素である――
《プレイポイント》について教えよう","It seems you can take your Job's growth further.
Let me teach you about this new system,
《Play Points.》",,Archibald
"今後は、経験値を
“ジョブレベルの成長”のために
使うのではなく、《プレイポイント》として
獲得するように切り替えることが可能になるぞ","Now, you can switch from earning
Experience to 《Play Points》 instead,
it's another form of Job progression.",,Archibald
"そうだな――まずは《プレイポイント》の獲得から
“さらなるジョブの成長”までの流れを教えよう
一度試してみてくれ","Right...first, let me explain how gaining
《Play Points》 can further Job growth.
Let's try it now.",,Archibald
"さて、さっそくだが
《戦技補佐》画面から《ジョブ》を選択して
経験値からプレイポイントを獲得する
モードに切り替えてみろ","Now, go to the 《Arts Support》screen,
select a 《Vocation》, and switch the mode from
earning Experience to《Play Points.》",,Archibald
"さっそくだが――
《戦技補佐》画面から《ジョブ》を選択して
経験値からプレイポイントを獲得する
モードに切替を行ってみろ","Alright, head to the 《Arts Support》screen,
select a 《Vocation》, and switch the mode from
earning Experience to《Play Points.》",,Archibald
"プレイポイント獲得モードに切替できたようだな
――この切替えはいつでも可能だ
ジョブレベルが最大になって、経験値が取得
できなくなった時などに切り替えるといいだろう","Great, you've switched to earning 《Play Points.》
You can switch back any time you want.
Do this when your Job level is maxed
and you can't earn experience any more.",,Archibald
"では、次にプレイポイントを獲得してみるか
簡単に言うと、今まで通り――
つまり、敵を倒す事で獲得可能だ","Let's try earning some 《Play Points》 next.
Simply put, earning them works the same as
Experience you earn them by defeating enemies.",,Archibald
"ただし、経験値とは勝手が違うところが
あるから注意も必要だ","However, earning 《Play Points》 has some key
differences from earning Experience in some ways.",,Archibald
"というのも、《プレイポイント》が手に入るのは
中型・大型の敵を倒した時だけだ
延々とゴブリンを相手にしつづけても
得るものは無いぞ","You only get 《Play Points》 from defeating
medium or large enemies. Fighting goblins
forever won't get you anything.",,Archibald
"それからもう一つ
敵のレベルが自分より低くなると、入手できる
プレイポイントが減ってしまう
自分と大体同じレベルの敵を相手にするんだな","Also, if the enemy's level is lower than yours,
you'll earn fewer Play Points.
Try to fight enemies around your own level.",,Archibald
"今回は、《プレイポイント》が
手に入りやすい場所を教えてやろう
実際に獲得してみて初めて
わかることもあるかもしれん","Just this once, I'll tell you where to easily
get some 《Play Points.》 Although,
you might come up with a better
location after trying it yourself.",,Archibald
"――いまさらこんなことを言わなくても
いいだろうが、現地へ向かう時には
エリアランクが十分かどうか自分で判断して
向かってくれ","...This may go without saying,
but before you head there, check to see
if the area rank is suitable for you.",,Archibald
"経験値と違うのは、《プレイポイント》は
自分と同レベル帯の中型・大型の敵相手でないと
手に入りづらいという点だな","Unlike experience, 《Play Points》 are hard
to get unless you fight medium or
large enemies around your level.",,Archibald
"今回は、《プレイポイント》が入りやすい場所を
教えるから――そこに向かってみてくれ","Listen up, I'll tell you where to easily get
《Play Points》head there and try earning some.",,Archibald
"いまさらこんなことを言わなくてもいいだろうが
現地へ向かう時には、エリアランクが十分かどうか
自分で判断して行ってくれよ","I'm sure I don't need to say this,
but before you head there, check to see
if the area rank is suitable for you.",,Archibald
"《プレイポイント》獲得の流れは理解したようだな
――単純だが、経験値を獲得する時との違いだけは
意識しておくことだ","You seem to understand how to earn 《Play Points.》
Just remember the differences from experience.",,Archibald
"おっと、そうそう！
メインクエストをクリアした時には
どちらのモードを選んでいても
経験値が手に入るようになってるから安心してくれ","Oh, right! When you clear main quests,
you'll get experience no matter which
mode you're in, so don't worry.",,Archibald
"次に――獲得した《プレイポイント》を
どう使うかについては
レンテンに詳しく聞いてみるといいだろう","Next...ask Renton for details on how to use
the 《Play Points》 you've earned.",,Archibald
"獲得した《プレイポイント》を
どう使うかについては
レンテンに詳しく聞いてみるといいだろう","Ask Renton for details on how to use the
《Play Points》 you've earned.",,Archibald
"おっ、その面構え――
さらなるジョブの成長が可能になったんだな！
ここまで強くなるなんて、やるじゃないか","Hah! I recognize that look...
I see you've unlocked further Job growth!
You've gotten pretty strong, huh?",,Renton
"それじゃ
《プレイポイント》の使い方について
説明するとしようか","Alright then, let me explain how to use your
《Play Points.》",,Renton
"ま、説明するってほどでもないけど――
獲得した《プレイポイント》を使う事で
主に、各ジョブのさらなる成長に関わる要素を
手に入れられるんだ","Well, there's not much to explain really,
using 《Play Points》 lets you unlock elements
related to each job's further growth.",,Renton
"どんな要素を手に入れられるかは――
自分の目で《プレイポイントショップ》を
確認してみてのお楽しみだな！","What you can unlock? ...Well see for yourself in
the 《Play Point Shop!》 It'll be a surprise!",,Renton
"獲得した《プレイポイント》を使う事で
主に、各ジョブのさらなる成長に関わる要素を
手に入れられるんだ","Using 《Play Points》 lets you unlock elements
related to each Job's further growth.",,Renton
"どんな要素を手に入れられるかは――
自分の目で《プレイポイントショップ》を
確認してみてのお楽しみだな！","What you can unlock? ...Well see for yourself in
the 《Play Point Shop!》 It'll be a surprise!",,Renton
"ほらほら、早く確認してみようぜ？
いやぁ、俺が見てみたいだけじゃないって――","Come on, let's check it out already!
Heh, maybe I'm a bit excited to see it myself.",,Renton
"どうだ？
説明はこれでおしまいだけど――
お前くらいの歴戦の使い手なら良さがわかるだろ？","How was that? The explanation I mean...
Someone as experienced as you gets it, right?",,Renton
"あ、最後に！
《プレイポイント》の使い方は計画的にな","Ah, one last thing!
Spend your 《Play Points》 wisely.",,Renton
