Jp,En,speaker,english,speaker,english,speaker
"そうそう、覚者さん！
ちょっとお願いしたい事があるんだ","Ah, yes– honored Arisen!
I have a small matter I wish
to trouble you with.",Kibiza,,Kibiza,,Kibiza
"覚者の知り合いが神殿の《商店区》に
新設された《クラン拠点》へ向かったんだが
何の説明も聞かずに行っちゃってね","An Arisen acquaintance headed
to the newly built Clan Hall in the
temple’s Shopping District—but went
without hearing any explanations.",Kibiza,,Kibiza,,Kibiza
"たぶん門前払いにあって入れないと思うんだ
助けてやりたいんだが、わたしは見てのとおり――
ココの仕事が忙しくてさ","They’ll probably get turned away at
the gate. I’d help, but as you can see—
I’m swamped with work here.",Kibiza,,Kibiza,,Kibiza
"代わりに《クラン拠点》の使い方について
教えてやってくれないかな
何、そんなに難しいことじゃないよ！","Could you teach them how to use the
Clan Hall in my place? 
It's not that difficult, I promise!",Kibiza,,Kibiza,,Kibiza
"で――さっそくなんだが
《クラン拠点》について知る上で
《クランクエストボード》がここに
新設されたから確認してみておくれ","So, right to the point—
about the Clan Hall: 
a Clan Quest Board has been set up. 
Go check it out.",Kibiza,,Kibiza,,Kibiza
"《クラン拠点》について知る上で
まずは《クランクエストボード》がここに
新設されたから確認してみておくれ","To learn about the Clan Hall, first
check out the newly installed Clan
Quest Board.",Kibiza,,Kibiza,,Kibiza
"ボードの存在は確認できたようだね
――もし君がクランに入っていない場合は
どんなクエストがあるかわからなかったと思うけど
クランに入ればわかるようになるからさ！","Looks like you found the board.
If you're not in a clan, you wouldn't know
what quests are available, but once you join
a clan, you'll be able to see them all!",Kibiza,,Kibiza,,Kibiza
"さて、それじゃ説明するよ――
《クラン拠点》を利用するには
条件が３つあるんだ","Now, let me explain. There are three
conditions to use the Clan Hall.",Kibiza,,Kibiza,,Kibiza
"１つは、どこかのクランに所属すること――
２つめは、《クランレベル》を
一定以上に上げること――
最後に、クランマスターが利用申請を出すこと！","First, belong to a clan. Second,
raise your Clan Level past a certain
point. Lastly, the clan master must
submit an application!",Kibiza,,Kibiza,,Kibiza
"《クランレベル》を上げるためには
さっきの《クランクエストボード》に並ぶクエストを
こなしてポイントを稼ぐ必要があるのさ","To raise your Clan Level, you need to
complete quests listed on the Clan
Quest Board and earn points.",Kibiza,,Kibiza,,Kibiza
"あ、ちなみに
稼いだ《クランポイント》は
自分の《クランステータス》で確認できるよ","Oh, and you can check your earned Clan Points 
in your Clan Status.",Kibiza,,Kibiza,,Kibiza
"所属するクランの《クランレベル》が十分なのに
まだ《クラン拠点》に入れないようなら
クランマスターに早く申請を出すよう頼むことだね","If your clan's Clan Level is high enough
but you still can't enter the Clan Hall,
ask the master to submit an application.",Kibiza,,Kibiza,,Kibiza
"利用申請が通ると、晴れて
そのクランのメンバー全員が
自由に《クラン拠点》を
出入りできるようになるのさ","Once the request is approved, 
all members of that clan will be able to freely
come and go from the Clan Hall.",Kibiza,,Kibiza,,Kibiza
"うーん、ちょっと細かく説明しすぎたかな――
まぁ、足りないよりはいいだろう
説明は以上だ、彼に伝えてやってくれ
頼んだよ","Hmm, maybe I over-explained—
well, better too much than too little.
That’s all. Pass it on to him, will you?",Kibiza,,Kibiza,,Kibiza
"うーん――彼、さっきの説明でわかるかな
もしもわかっていないようなら
直接わたしのところまで連れてきてくれ","Hmm—will he grasp what I just said?
If he’s still confused, just
lead him back here to me.",Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier
"いや、ココに来てもらうよりも
クランのメンバーに聞いてもらった方が
早いかもしれないな","Actually, instead of coming here,
it might be quicker to ask one of
the clan members directly.",Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier
"ん？　何か用か？
――キビザからの使いだと？","Hm? You need something?
—A messenger from Kibiza?",Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier
"これはちょうどいい――
実は、この先にクラン拠点が新設されたんだが
施設の連中から資格がないと門前払いされたんだ！","This is perfect timing—
Actually, a new Clan Hall was built ahead, but the 
staff turned me away for lacking qualifications!",Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier
"確かにそそっかしいところはあるが
俺だって白竜に仕える覚者だ！
覚者なら自由に《クラン拠点》を
使えるんじゃないのか！？","Sure, I can be careless, but I serve the 
White Dragon as an Arisen!
Shouldn’t an Arisen be free to use the Clan Hall!?",Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier
"何――ふむふむ――
――そうだったのか！","What--
Hmm, I see...
--So that's how it is!",Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier
"俺が所属するクランの
《クランレベル》は十分なはず――
さっそく、クランマスターに
《クラン拠点》の利用申請をするよう頼みに行くか！","My clan’s Clan Level should be high
enough—I’ll go ask the clan master to
submit a usage request right away!",Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier
"伝言、ありがとよ！
そういえば、お前は《クラン拠点》を使ってるのか？
まだなら――早目に使い始めた方がいいぜ
何でも、色んな恩恵が受けられるらしいからな","Thanks for the message!
By the way, are you using the Clan Hall?
If not, you should start using it soon.
I hear you can get all kinds of benefits from it.",Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier,,Arisen Corps Regimental Soldier
