"Jp","En"
"よお！　聞いてるぜ
プリーストとして相当あんた
評判上がってるそうじゃないか！","Hey! I hear you're an amazing Priest.
Word is, your reputation's soaring!"
"――そこで、プリースト道を
さらに究めたいっていうなら
ぜひ紹介したい人がいるんだ","So, if you're to become a master Priest,
there's someone I'd like you to meet."
"《ポーン郷》のカミュさんさ
覚者なら一回くらい会ったことあるだろ？","Camus at the Pawn Cathedral.
You've probably met at least once,
being Arisen and all that, right?"
"訓練官としてあんたに依頼だ
プリーストのジョブマスター
カミュさんに会ってくれ","As the trainer, I have a request for you.
Meet Camus, the Priest Job Master."
"あの人から技術を学べば絶対に
もっとすごい癒し手になるはずだよ
だから、必ず会ってくれよな！","You'll become an amazing Healer
if you learn from 'em, for sure!
So go and meet up, you hear?!"
"そこから先はあんた次第だけどさ","From there, it's up to you."
"どうだ？　ほら、あの件――
《ポーン郷》のカミュさんに会うんだぞ","How's it going? Look, about that thing--
You're going to meet Camus in the Pawn Cathedral."
"あんたがレスタニアで
最高のプリーストになったら
俺も訓練官として大出世だぜ！　ハハッ","When you become the greatest Priest in Lestania,
I'll make it big as your trainer! Haha!"
"めずらしい、神殿からの紹介ですか
さらなる癒しの術を学びたいと――","How rare, a referral from the Temple?
An inquiry into the healing arts, I presume."
"わかりました
ではあなたのお力のほど
よく見させていただきましょう","Understood. Then, I shall observe
the extent of your abilities closely."
"あなたが学びたい時に
《ジョブマスター》の件と申し出なさい","Whenever you wish to learn,
mention the Job Master matter to me."
"さらなる癒しの道は
あなたの前にいつでも開けていますよ","The path to greater healing
shall ever lie open before thee."
