"Jp","En","english","speaker"
"北の地、《ウルテカ山岳》のエリアマスターとして
そして王家の墓の門番として
これまでを振り返っていたのですが――","I've been reflecting on my past...
As the Area Master of the northern Urteca Mountains,
and as Gatekeeper to The Royal Family Mausoleum.","","Bacias"
"どの事件においても、覚者様のお姿
そしてそのお力による鮮やかな逆転劇が
思い起こされるのです
――覚者様の《ウルテカ山岳》での思い出は
どのようなものなのですか？","In every case that comes to mind,
the image of you, Arisen, and the brilliant things
you've achieved with your power come to mind...
I wonder what kind of memories
the Arisen has of the《Urteca Mountains?》","","Bacias"
"この北の地と覚者様は、まるで試されるかのように
次々と戦いに巻き込まれました
覚者様が一つ語られるとするならば、それは――？
ぜひ、お聞かせいただけないでしょうか","You and this northern land were put to the test,
as you were drawn into battle after battle.
If you were to share one story, what would it be?
I would love to hear it.","","Bacias"
"エリアミッションでの戦い","Battles in Area Missions","","Bacias"
"《英霊眠りし道》の探索","Exploring the 《Epitaph Road》","","Bacias"
"ウォーミッションでの戦い","Battles in War Missions","","Bacias"
"聖域であるはずの火垂れ山に突如出現した
闇の魔法を操る謎のドラゴン――
全くの未知の存在、そして強大な力に
我々では歯が立たぬ相手でした","The mysterious dragon wielding dark magick
that suddenly appeared within the sacred grounds
of Firefall Mountain, an unknown entity of immense power
we surely could not have hoped to face alone...","","Bacias"
"それを討伐してくださったのは
もちろん――覚者様でしたね","The one who took it down...
'Twas none other than you, Arisen.","","Bacias"
"まだまだ先にたくさんの問題が
待ち受けていることは分かりつつ
あの時は、聖域が聖域として守られたことに
大いに安堵したものです","I knew many more trials lay ahead of us.
Back then, I felt great relief that the Sacred Grounds
had been left mostly untouched.","","Bacias"
"今まで開かずの間だった扉が
突如開いたという報せは私の耳にも届いておりました
――英霊自らが覚者様を
お呼びになったとのことでしたね","Word had reached me that the door to the
long-sealed chamber had suddenly opened...
That the spirits themselves had called for the Arisen.","","Bacias"
"覚者様の武勇は、今を生きる者だけでなく
過去この国を守った英霊にまで
響き渡ったということでしょう","Your valor reached not only those in the present,
but even the spirits who protected this land
in our storied past.","","Bacias"
"アッカーシェランに一時流れた悪しき竜の竜力――
残影が現れる度に、繰り返し討伐に出てくださった
大恩、片時も忘れることはありません","The lingering Dragon Force of the
Evil Dragon that ravaged Acre Selund...
You subjugated its remnants time and time again.
I will never forget this great debt I owe to thee.","","Bacias"
"ああ――覚者様
覚者様のお力添えによって
アッカーシェランの未来は
盤石なものとなりました","Ah... Ser, thanks to your aid,
Acre Selund's future has now been secured.","","Bacias"
"若く希望に満ちたネド王子、
お支えするにふさわしい気概を持った者たち
そして手を取り立ち上がり始めた民――","The young and hopeful Prince Nedo,
with the support of those with courageous spirit,
and the people who have begun to stand united...","","Bacias"
"アッカーシェランは不死鳥のように
再び新たな歴史の大空を舞うことでしょう","Acre Selund will soar through the skies of
history once more, like a phoenix reborn.","","Bacias"
