Jp,En,english,speaker
"ああ、覚者さま
お客様がいらっしゃっています
自室にお通ししてもよろしいですか？","Ah, Ser Arisen. A guest has arrived. 
Shall I show them to your chambers?",,Barton
面会しよう,Meet,,Barton
――少し待ってほしい,――Wait a minute.,,Barton
"お客様ならもう自室に向かわれましたよ
覚者さまをお待ちになっているはずです","The guest has already headed to your chambers. 
They should be waiting for you, Ser Arisen.",,Barton
"君がこの素敵な部屋の主だね
僕はエイダス――
お初にお目にかかるよ","You must be the master of this lovely room. 
I'm Aidas—pleased to meet you.",,Aidas
"今日は、テラスを造った君に
素敵な家族を連れて来たんだ！
きっと気に入ってくれるはずだよ","I brought a lovely family today
to see the terrace you built!
They'll definitely approve.",,Aidas
素敵な家族って？,"What ""lovely family""?",,Aidas
あなたは誰？,Who are you?,,Aidas
"フフフ――
よくぞ聞いてくれたね","Hehehe...
I'm glad you asked.",,Aidas
"君は、《マンドラゴラ》って知ってるかい？
一部の覚者がフィンダムから持ち帰ったことで
レスタニアの植物学会・動物学会を
大震撼させたあのキュートな根っこのことさ！","Do you know about Mandragoras? 
Some Arisen brought them back from Phindym, 
shocking the botanical and zoological societies 
of Lestania—those cute little roots!",,Aidas
"僕、あの子たちを研究しているんだけど
やっぱり一人じゃ限界があるだろう？
日当たり良くのびのびと育てられる環境――
そんな所を探していたら、君の噂を聞いたのさ","I study them, but alone, I can only do so much. 
I was looking for a sunny, spacious place to 
raise them—then I heard about you.",,Aidas
"だから、ぜひ君に育ててみてもらいたくて
今日は連れて来たんだよ！
ほら、ここに――","So, I wanted you to try raising them! 
That's why I brought them today. 
Look, here―",,Aidas
"――あれ
ちょっとちょっと、どこ行ったんだい！？","—Huh? Wait, where did they go!?",,Aidas
"――信じられないよ！
君、マンドラゴラを見なかった！？","—Unbelievable! 
You didn't see a Mandragora, did you?",,Aidas
"もしかして――
神殿の周りの動物を調べているときに
はぐれちゃったのかも","Perhaps... it got lost while I was investigating
the animals around the temple.",,Aidas
"ねぇ君、この辺りは詳しいんだろう？
悪いんだけど――探してきてくれよ！
きっとまだ、そう遠くへは行ってないはずだ","Hey, you know this area well, right? 
Could you—please go look for it? 
It can't have gone far.",,Aidas
"マンドラゴラは普段、地中に隠れているけど
周りの茂みなんかに痕跡を残すことが多いんだ
怪しい場所は片っ端から調べてみてね
驚いて出てくるはずだよ！","Mandragora usually hides underground,
but often leaves traces in nearby bushes.
Check every suspicious spot one by one.
They should pop out in surprise!",,Aidas
"え、僕のことかい――
僕は、プロフェッサー・エイダス
皆にはそう呼ばれているけど、ただのマニアさ","Me? I'm Professor Aidas. 
That's what they call me, 
but I'm just an enthusiast.",,Aidas
"とはいえ一応、元・動物学者でね
今はあるもの""に魅了されてもっぱらその研究をしているんだよ","That said, I was once a zoologist,
but now I'm fascinated by something else.
I'm exclusively working on researching that.",,Aidas
"それが《マンドラゴラ》！
植物なのに手足があって、人のように二足で歩き
猫のように愛嬌があって、木のように生えてくる――
なんて不思議で、奇妙で、可愛いんだ！","That's the Mandragora!
A plant with arms and legs, walking on two feet
like a human, charming as a cat, yet it sprouts
like a tree—how mysterious, strange, and adorable!",,Aidas
"とにかく、素敵なテラスを持ってる君に
ぜひ、マンドラゴラを育ててもらいたくて
今日は連れて来たんだよ！
ほら、ここに――","Anyway, I wanted you to raise Mandragoras, 
so I brought them today! Look, here—",,Aidas
"――あれ
ちょっとちょっと、どこ行ったんだい！？","—Huh? Wait, where did they go!?",,Aidas
"――信じられないよ！
君、マンドラゴラを見なかった！？","—Unbelievable! 
You didn't see a Mandragora, did you?",,Aidas
"もしかして――
神殿の周りの動物を調べているときに
はぐれちゃったのかも","Perhaps... it got lost while I was investigating
the animals around the temple.",,Aidas
"ねぇ君、この辺りは詳しいんだろう？
悪いんだけど――探してきてくれよ！
きっとまだ、そう遠くへは行ってないはずだ","Hey, you know this area well, right? 
Could you—please go look for it? 
It can't have gone far.",,Aidas
"マンドラゴラは普段、地中に隠れているけど
周りの茂みなんかに痕跡を残すことが多いんだ
怪しい場所は片っ端から調べてみてね
驚いて出てくるはずだよ！","Mandragora usually hides underground,
but often leaves traces in nearby bushes.
Check every suspicious spot one by one.
They should pop out in surprise!",,Aidas
"ギィ！　ギギギ！
ニギャギャー！","Gyi! Gigigi!
Nigyagya!",,Little Flower
（マンドラゴラは反抗的な態度を見せている）,(The mandragora shows defiance.),,Little Flower
"ニィ――ニィィ――
ニギギ？","Nyi... nyii...
nigigi?",,Little Flower
"（マンドラゴラは怯えている
　心を開くには安心させる必要がありそうだ）","(The Mandragora is scared. 
To win its trust, you must reassure it.)",,Little Flower
"うそ――本当に捕まえたの！？
しかも、もうずいぶんと懐いているみたいだよ
すごいね、君は！","No way—you really caught it!? 
And it already seems quite attached. Amazing!",,Aidas
"君を選んだ僕の目に
狂いはなかったんだね
お祝いに、<COL ff2600>≪マンドラゴラ用鉢植え≫</COL>を
プレゼントさせていただくよ！","My judgment in choosing you plainly wasn't wrong.
As a gift, here's a <COL ff2600>Mandragora Planter</COL>!",,Aidas
"それからこれ――<COL ff2600>《マンドラゴラ図鑑》</COL>
マンドラゴラくんが別種に進化したら
生態が記録されていく優れものさ！
まだ僕が知らない種もあるんだけど――","And this... the<COL ff2600>Mandragora Journal</COL>. 
It records their evolution! 
There are species even I don't know—",,Aidas
"さっそく育成を始めるなら
君のパートナーポーンと話してみるがいい
それじゃあ――マンドラゴラくんを
可愛がってあげてね！","If you want to start raising it right away, 
you should talk to your Partner Pawn. 
Well then, take good care of the Mandragora.",,Aidas
"ニィ――？
――ニィニィィー！","Nyeh...? 
...Nyeh-nyeh!",,Little Flower
"（マンドラゴラは不安そうだったが
　ついには心を決めたようだ）","(The Mandragora seemed uneasy, 
but finally appeared to make up their mind.)",,Little Flower
"ねぇ君、この辺りは詳しいよね？
悪いんだけど――探してきてくれよ！
きっとまだ、そう遠くへは行ってないはず","Hey, you know this area well, right? 
Could you please go look for it? 
It can't have gone far.",,Aidas
"マンドラゴラは普段、地中に隠れているけど
周りの茂みなんかに痕跡を残すことが多いんだ
怪しい場所は片っ端から調べてみて！
驚いて出てくるはずだよ！","Mandragora usually hides underground,
but often leaves traces in nearby bushes.
Check every suspicious spot one by one.
They should pop out in surprise!",,Aidas
"それからマンドラゴラって
本当はすごく寂しがり屋な、優しい益獣なんだ
だから様子を見て、穏やかに接すれば
きっと気持ちは通じるはずだよ！","Also, Mandragoras are actually very gentle, 
lonely creatures. If you approach them calmly, 
they'll understand!",,Aidas
"かしこまりました
――覚者さまも、どうぞお部屋へ","Understood. Ser Arisen, please head to your room.",,Barton
"かしこまりました
とはいえ――
上げてもらうまで帰らない、という口ぶりでしたぞ","Understood. However...
They said they wouldn't leave until
you gave them what they wanted.",,Barton
"覚者さま、改築したお部屋はいかがです
うちは動物厳禁ですが、植物くらいなら構いません
あのテラスで育ててみたらいかがです？","Master Arisen, how do you like the remodeled room?
While animals are strictly prohibited here,
plants are perfectly fine. Perhaps you could
grow some on that terrace?",,Barton
