Jp,En,english,speaker
"展望城は元々、南の地の蛮族に
睨みをきかせるために建造されたと
されておるのは皆が知るところ","It is common knowledge that Lookout Castle was
originally built to intimidate the southern
barbarians.",,Mustafa
"しかし、それだけを目的とするのなら
城を建造するに向いた土地は他にもあるのです
――先の王族方がどうして“この場所”に
建てるとお決めになったのか","However, if that were the sole purpose, there
were other suitable locations for a castle.
Why did the previous royal family choose ""this place""
to build it?",,Mustafa
"それは、この場がちょうど
“強い竜力が流れる特別な場”だからです","It is because this place happens to be a
""special site where strong draconic power flows.""",,Mustafa
"その竜力を守ろうとしたのか
あるいは利用しようとしたのかは
わしにはわかりませぬが――","Whether they sought to protect that draconic
power or harness it, I cannot say—",,Mustafa
"しかし、それにまつわる
伝承が数多く残っているのは
覚者様もご存じでしょう","But surely you are aware, Ser Arisen, that
many legends surrounding it remain.",,Mustafa
"覚者様が力を求められるのであれば――
《<STG 1143>》に向かわれた方が
よい頃でしょうな","If you seek power, Ser Arisen—now would be
the time to head to the <STG 1143>.",,Mustafa
"覚者様が力を求められるのであれば――
《<STG 1143>》に向かわれた方が
よい頃でしょうな","If you seek power, Ser Arisen—now would be
the time to head to the <STG 1143>.",,Mustafa
"あの――《英霊眠りし道》には
王家に尽くした英霊が祀られているんです
その英霊たちは、王家の危機に目覚めて
力を貸してくれるんだとか――","Ah... 
The ""Heroic Spirit Sleeping Path"" enshrines 
heroic spirits who served the royal family. 
It is said they awaken in times of
crisis to lend their power...",,Ira
"色んな伝承がありますけど――
一番有名なのは、中には不思議な石版があって
そこに書かれた試練を乗り越えないと
いけないっていう話ですね","There are many legends—but the most famous
speaks of a mysterious stone tablet within.
One must overcome the trials written upon it.",,Ira
"それだけじゃなく――
さらに奥には英霊の石像があって
それを触らないといけないっていう
続きもあったりしますけど","Not only that—further in, there are statues
of the heroic spirits. Some say you must
touch them as well.",,Ira
石版の試練とは？,What is the Trial of the Tablet?,,Ira
英霊の石像とは？,What is the Spirit Heroes Statue?,,Ira
"石版の試練は、ここを守るために
先人たちが用意した試練なんだそうです","The trials of the stone tablet were prepared
by our ancestors to protect this place.",,Ira
"英霊の間にある石版に触れることで
“試練の敵”があらわれて――
それに打ち勝たないといけないんだとか","By touching the stone slab among the 
heroic spirits, ""trial enemies"" appear, 
and one must overcome them.",,Ira
"ふふ、子供が好きそうな冒険話ですよね
――でも、信じている人も多いんですよ
私もちょっと――期待はしているくらいです","Heh, it sounds like a child’s tale of adventure...
but many believe it. 
I admit, I too am somewhat... hopeful.",,Ira
"英霊の石像ですか？
《英霊の間》の一番奥に置かれている
石像に触ると――","The statues of the heroic spirits? 
If you touch the one at the far end of 
the ""Realm of Heroic Spirits""—",,Ira
"限られた期間しか入ることができない
《入場制限スポット》に入れて
しかも、その中では強力な竜力を
得ることができるっていう話です","It is said you can enter a ""restricted area""
accessible only for a limited time. There,
you may obtain powerful draconic energy.",,Ira
"なんだかわくわくする話ですよね
アッカーシェランで育った人ならみんな
子どもの頃、この話にワクワクしていた記憶が
あるんじゃないでしょうか","Quite an exciting tale, isn’t it? Anyone
raised in Acre Selund likely remembers
the thrill of this story from childhood.",,Ira
"おお、なるほど――
無事、《英霊眠りし道》に
辿り着かれた様子","Ah, I see—you have safely reached the
""Heroic Spirit Sleeping Path.""",,Mustafa
"《入場制限スポット》が
どこにあるかは＜エリアリスト＞の
＜スポット情報＞を確認することです","To locate the ""restricted area,"" check the
""Spot Info"" in the ""Area List.""",,Mustafa
"アッカーシェランを流れる竜力の
一部を手にされたということは――
覚者様を守護する竜にも
よき影響があることでしょうな","The fact that you've obtained a portion of
the Dragon Force flowing through Acre Selund
should have a favorable influence on the
Dragon that protects Ser Arisen.",,Mustafa
"今一度、白き竜の元へ
戻ってみるのもよろしかろう","It may be wise to return once more to
the White Dragon.",,Mustafa
"今一度、白き竜の元へ
戻ってみるのもよろしかろう","It may be wise to return once more to
the White Dragon.",,Mustafa
"アッカーシェランを流れる竜力の
一部を手にされたということは――
覚者様を守護する竜にも
よき影響があることでしょうな","The fact that you've obtained a portion of
the Dragon Force flowing through Acre Selund
should have a favorable influence on the
Dragon that protects Ser Arisen.",,Mustafa
"覚者よ、よくやった――
この身を巡る竜力が新たな高みに至った","Arisen, well hast thou performed...
The dragon's might that dwelleth in me
hath risen to newfound heights.",,The White Dragon
