old,new,speaker,english,speaker,english,speaker
"いいか――
覚者の初陣には白竜の特別な加護がある","Listen carefully.
The Arisen are blessed by the White Dragon for
their first battle.",Leo,,Leo,,Leo
"だから、実力以上の戦いができるはずだ
思う存分暴れてくれ","Your strength will be far greater
than normal. Let loose and don't hold
anything back.",Leo,,Leo,,Leo
砦の守備隊は、ヴァネッサをはじめ精鋭ぞろい,"The fort's troops are Vanessa's
handpicked elite!",Iris,,Iris,,Iris
救援要請なんて、もしかして初めてかも？,"To even call for reinforcements...
Have they ever done that?",Iris,,Iris,,Iris
"ここまでオークに押し込まれることなど
この３００年、なかったことだ","For 300 years, the Orcs haven't
managed to advance this far... until now.",Leo,,Leo,,Leo
情勢はこの上なく深刻――さあ、急ぐぞ！,"'Tis more than a dire situation.
Now, advance!",Leo,,Leo,,Leo
武器、用意！　構えろ！,"Weapons ready!
Steel yourselves!",Leo,,Leo,,Leo
走れ～！,Forward!,Iris,,Iris,,Iris
"隙あらば掴みかかるんだ
デカイ敵はよじ登って戦え","Find an opportunity to grab them.
Climb onto larger foes and strike!",Leo,,Leo,,Leo
体力減ったら回復アイテム！　自己責任だぞ！,"Use a recovery item should you falter!
That's your responsibility!",Iris,,Iris,,Iris
ほら、砦へ急いで！,"Quickly, to the fortress!",Iris,,Iris,,Iris
立派立派、まだ生きてる！　やるねえ！,"Splendid, splendid! Still
alive! Alriiight!",Iris,,Iris,,Iris
あのね――わたしの心配より自分の心配！,"Hey now, your concerns are greater than mine!",Iris,,Iris,,Iris
ここはまだ演習のようなもの――さあ、砦へ急げ！,"'Tis just as we practiced!
Now, to the fort!",Leo,,Leo,,Leo
"バタバタしてるが、動きは悪くない
自信を持って戦え！","A bit gaudy, but your movements
are good. Fight with confidence!",Leo,,Leo,,Leo
さあ、砦へ突入だ！,さあ、砦へ突入だ！,Leo,,Leo,,Leo
おい、どこへいく！,"Hey, where are you going!",Leo,,Leo,,Leo
そっちじゃないぞ！,Not that way!,Leo,,Leo,,Leo
こっちへ来い！,Come this way!,Leo,,Leo,,Leo
おい、回復しておけ！,"Ser, mind your condition!",Leo,,Leo,,Leo
回復アイテムを使うんだ！,Make use of recovery items!,Leo,,Leo,,Leo
もっと体力に気を配れ！,Be mindful of your limits!,Leo,,Leo,,Leo
くそ――回復してくれ,Blast! I need healing!,Leo,,Leo,,Leo
すまん――自力回復できん,My apologies... I am unable to heal myself.,Leo,,Leo,,Leo
俺を見殺しにする気か！,You mean to let me die?!,Leo,,Leo,,Leo
そっちじゃないって！,Not over there!,Iris,,Iris,,Iris
ちゃんとついてきてよ！,Come along now!,Iris,,Iris,,Iris
どこいく気！？,Where are you off to!?,Iris,,Iris,,Iris
ほら、回復しなさい、回復！,"Ah, please aid! Heal me!",Iris,,Iris,,Iris
死にたいの？　いやなら回復！,"Do you wish me to die? If not, heal me!",Iris,,Iris,,Iris
回復しなさいってば！,Someone heal me already!,Iris,,Iris,,Iris
わたし、回復してほしいんだけど,I would appreciate some healing.,Iris,,Iris,,Iris
こっち見て――回復して――,Over here... help...,Iris,,Iris,,Iris
お願い――見捨てないで――,Please... don't abandon me...,Iris,,Iris,,Iris
"戦場の咆哮が聞こえるか？　
扉の先は、おそらく敵味方入り交じる混戦状態――","Hear the roar of the battleground?
'Tis a mix of both friend and foe clashing forces.",Leo,,Leo,,Leo
"さあ、やっちゃって！
今日のあんたには白竜の加護があるんだから！","Alright, charge!
The White Dragon will protect you!",Iris,,Iris,,Iris
さあ！　全てのオークどもを切り倒せ！,"Okay! Cut down every one of
these foul Orcs!",Leo,,Leo,,Leo
"ぷんぷん臭ってくるね
ああ、腹立つ！　許さないから！","What an intense odor.
Oh, I'm mad now! No mercy!",Iris,,Iris,,Iris
