"Jp","En","english","speaker"
"異国からいらした覚者様
あなたはこのエリアにおける
全ての苦難を振り払い
王家と民に、希望を与えて下さいました――","O Arisen who journeyed from afar: You have
dispelled all suffering from this land,
granting hope to both royalty
and commoners alike.","","Nayajiku"
"ここまで、あっという間に駆け抜けたようにも
長く地道な歩みだったようにも感じます
覚者様――少しお話してもよろしいでしょうか？","Our journey seemed fleeting yet also like a
long, steady march.
Ser Arisen—shall we speak for a bit?","","Nayajiku"
"このフェルヤナ荒原での日々――
覚者様のお心にもっとも強く
残っているのはどのようなことでしょう？","Of all the days spent in the Feryana Wilderness,
what memory lingers strongest in your heart,
Ser Arisen?","","Nayajiku"
"エリアミッションでの戦い","Battles in area missions","","Nayajiku"
"《英霊眠りし道》の探索","Exploring the Path of Slumbering Heroes","","Nayajiku"
"展望城の奪還","The recapture of Lookout Castle","","Nayajiku"
"ウォーミッションでの戦い","Battles in war missions","","Nayajiku"
"古くからこの地に巣食うイービルアイ――
目を覚ましたかの魔物を、覚者様は
ふたたび闇へと葬ってくださいました
そう、フェルヤナの地はあなたによって救われました","The ancient Evil Eye that infested this land—
that awakened fiend was 
returned to darkness by you, Ser Arisen. 
Truly, you have saved the Feryana region.","","Nayajiku"
"英霊は覚者様にその力を貸すために現れました
それはあなたの戦いにおける強さだけではなく
お人柄の高潔さ、信念を認めてのことだったでしょう
――ええ、あなたでなければならなかったのです！","The Heroic Spirits appeared to lend you their power.
They recognized not just your strength in battle,
but also your noble character and conviction.
—Yes, it had to be you!","","Nayajiku"
"ええ、ええ！　この《展望城》の奪還は
わたくしの、いえアッカーシェランの民にとって
悲願ともいえるものでした
ご覧ください、ここに集う皆の姿を――","Yes, yes! The retaking of Lookout Castle
was a heartfelt wish of mine, and of all the people
of Acre Selund. Behold, everyone gathered here...","","Nayajiku"
"ウォーミッション――繰り返される魔軍との
衝突は、苛烈にして困難でした
その戦いを勝利へと導いた覚者様の戦功を
誰が忘れることができましょうか！","War Missions—the relentless clashes with the
Demon Army were fierce and grueling. Who could
ever forget the battle achievements of Ser Arisen,
who led us to victory in those conflicts!","","Nayajiku"
"あなたの名はこの展望城の歴史に刻まれ
永く語り継がれることになるでしょう
民を代表し、この地に伝わる栄誉の証を
お渡しします！","Your name shall be etched into the history of 
Lookout Castle, passed down through generations 
forevermore. 
On behalf of the people, I present you with the 
mark of honor handed down in these lands!","","Nayajiku"
