Jp,En,speaker,english,speaker,english,speaker
"ほうほう！　なるほどな！
竜の与えし力により生まれた
新たなる技を欲するかッ！","Hoh hoh! I see! You seek new techniques
born from the dragon's bestowed power!",Oliver,,Oliver,,Oliver
"ぬおおおおお！　おぬしの大剣が
おぬしの筋肉が、強者の高みへと昇りたがっている！
感じるぞ、その熱意をッ！","Nuuuoooooh! Your greatsword and your
muscles yearn to ascend to the heights of
the strong! I can feel your passion!",Oliver,,Oliver,,Oliver
"このオリバー、その心意気に応じ
共に戦場を駆けておぬしを導こうぞッ！
試練の場に来るがよいッ！","This Oliver shall answer your resolve
and guide you through the battlefield!
Come to the trial grounds!",Oliver,,Oliver,,Oliver
"試練の場の＜<STG 587>＞だが
<AREA 9>のエリアランクが
十分でなければ入ることすらできんぞ！
おぬしはすでに試されておるのだッ！","<STG 587> is the trial grounds,
but if your <AREA 9> area rank isn't
high enough, you won't even be able
to enter! This too is a test!",Oliver,,Oliver,,Oliver
"このオリバー、その心意気に応じ
共に戦場を駆けておぬしを導こうぞッ！
試練の場に来るがよいッ！
遠慮することはない、さぁッ！","This Oliver shall answer your resolve
and guide you through the battlefield!
Come to the trial grounds!
Do not hesitate, now!",Oliver,,Oliver,,Oliver
"試練の場の＜<STG 587>＞だが
<AREA 9>のエリアランクが
十分でなければ入ることすらできんぞ！
おぬしはすでに試されておるのだッ！","<STG 587> is the trial grounds,
but if your <AREA 9> area rank isn't
high enough, you won't even be able
to enter! This too is a test!",Oliver,,Oliver,,Oliver
"おおお、来たかッ！
共に参らん、頂きへと向かう試練の道をッ！","Oooh, you've come! Let us tread the path
of trials leading to the summit together!",Oliver,,Oliver,,Oliver
さぁさぁ！　叩き潰し、砕き散らして進まんッ！,"Come now, come now! 
Crush, shatter, and smash your way forward!",Oliver,,Oliver,,Oliver
さて、死合おうぞ！！,"Now, we shall fight with our lives on the line!!",Oliver,,Oliver,,Oliver
むむ――歯ごたえ不足ッ！　さらなる敵の元へいざゆかん！,"Hmm... Not enough bite! 
Now, onward to the next enemy!",Oliver,,Oliver,,Oliver
第二の試練！　剛剣を振るうのだッ！,"The second trial!
Swing your mighty sword!",Oliver,,Oliver,,Oliver
次が最後の試練ぞッ！　期待が高まるだろう！,"This is the last trial! 
The anticipation is building!",Oliver,,Oliver,,Oliver
括目して見よッ！　あやつが最後の試練ッ！,"Widen your eyes and behold! 
That one is the final trial!",Oliver,,Oliver,,Oliver
"うむ、うむうむうむ！！
あの奥義を使うにふさわしき眼光よ！
よしッ！　我が逗留先に戻り
新たなる戦技を継承しようではないか！","Hmm, hmm hmm hmm!!
Such piercing eyes worthy of using that
secret technique! Very well! Let us return
to my dwelling and bestow a new combat
skill!",Oliver,,Oliver,,Oliver
"うむ、うむうむうむ！！
あの奥義を使うにふさわしき眼光よ！
このオリバーが認めし剣士の業を感じるわッ！","Hmm, hmm hmm hmm!!
That gaze is worthy of using that secret technique!
I sense the work of a swordsman Oliver himself
acknowledges!",Oliver,,Oliver,,Oliver
"よしッ！　我が逗留先に戻り
新たなる戦技を継承しようではないか！","Very well! Let us return to my abode
and bestow new combat skills!",Oliver,,Oliver,,Oliver
"全てを打ち砕く力の豪流たるウォリアーの剣
この戦技でさらに冴え渡ろう！
継承するがよいッ！
真の強者への覇道を邁進するのだッ！","The sword of the Warrior, a torrent of
power that shatters all! With this combat
skill, let your edge grow keener! Inherit
it! March forth on the path to true
strength!",Oliver,,Oliver,,Oliver
フハハハハッ！　戦場を駆けるこの喜びッ！,"Fuhahahaha! 
The joy of charging across the battlefield!",Oliver,,Oliver,,Oliver
剣士に盾など不要！　痛みも闘志の糧とするのだッ！,"A swordsman needs no shield! Let pain
fuel your fighting spirit!",Oliver,,Oliver,,Oliver
最強の強者を目指し、死合う！　これぞ本分！,"Strive to become the strongest warrior,
and fight to the death! This is our true calling!",Oliver,,Oliver,,Oliver
おぬし、よい顔をしているぞッ！,That's the face of a champion!,Oliver,,Oliver,,Oliver
ウォリアーなれば、目の前の敵にぶつかり叩き潰すが本懐！,"A Warrior's purpose is to clash with and
crush the enemy before them!",Oliver,,Oliver,,Oliver
敵の攻撃タイミングを見極めッ！　身構えろッ！,Gauge the enemy's attack timing! Brace yourself!,Oliver,,Oliver,,Oliver
食らいつき、薙ぎ払い、打ち砕くッ！,"Bite down, cleave through, and smash them apart!",Oliver,,Oliver,,Oliver
痛いか！？　その怒りを大剣に込めて振り下ろすのだッ！,"Does it hurt?! Channel that anger into
your greatsword and strike!",Oliver,,Oliver,,Oliver
振りかぶり、叩き下ろせッ！,Swing high and bring it down!,Oliver,,Oliver,,Oliver
受けた痛みは倍返しだッ！　敵を叩き潰せッ！！,Return the pain twofold! Crush the enemy!!,Oliver,,Oliver,,Oliver
