"Jp","En","english","speaker"
"覚者よ
突然の訪問となったが驚かないでほしい","Arisen, forgive my sudden visit -
I mean no disturbance coming here.","","Alvar"
"貴君のポーンより、「ポーン郷の地下から
今まで感じたことのない力を感じる」
――という報告を得たのだ","Your pawn reported sensing an unprecedented power
from beneath the Pawn Cathedral.","","Alvar"
"これを調べるには、主である貴君自身が
再び《異界の狭間》へと赴く必要があろう
この件について興味があるのならば
詳細を話すが――","To investigate this, you, the Master, must return
to the The Rift. If this interests you,
I shall explain further.","","Alvar"
"それでは詳細を説明しよう
貴君は《異界の狭間》へ赴き、そこで
貴君のポーンが感じた“力”が何たるかを
探らねばならない","Then let me explain the details.
You must venture into The Rift and
investigate what kind of ""power""
your Pawn has sensed.","","Alvar"
"《異界の狭間》といっても、貴君が今までに
足を踏み入れた場とは性質が異なる
――少々特殊な空間であるということだ
ポーン郷の地下から赴くことはできない","This Rift differs from those you've
visited before—it is a unique space. You cannot
access it from the Pawn Cathedral's depths.","","Alvar"
"私が直接案内しよう
準備が整い次第、再び声をかけてくれ","I shall guide you personally. 
Speak to me again once you are prepared.","","Alvar"
"これより《異界の狭間》へ向かう
この先で合流した際、何をするのかは
追って説明する","We now head to the Rift. 
I will explain our purpose upon reuniting there.","","Alvar"
"覚悟はできているか？","Are you ready?","","Alvar"
"はい","Yes","","Alvar"
"いいえ","No","","Alvar"
"それではこれより
貴君のポーンより報告のあった
“今まで感じたことのない力”を
探しに行く","We shall now search for the unprecedented power
your pawn reported sensing.","","Alvar"
"道は貴君自身が切り開き進むがいい
私はその後ろをついていく
――心配せずとも、目的の場所は地図に示している","You must forge the path ahead. I will follow.
Do not worry—
the destination is marked on your map.","","Alvar"
"目的のものは無事に見つかったようだ
それが何なのかを説明したいところだが
――ここでは落ち着けないかもしれないな
貴君の自室に戻ってからにするか","It seems you have safely found 
what we were looking for. 
I would explain its nature, but this place is 
ill-suited for such a discussion. 
Let us return to your quarters.","","Alvar"
"先ほど《異界の狭間》にて手にした物
それは《閃きの果実》という
ポーンがその主のため、さらなる活躍をと
強く願った時に現れる力の結晶――","The object obtained in the Rift is
a Fruit of Inspiration—
a crystallization of power that manifests when 
a pawn fervently wishes to
better serve its master.","","Alvar"
"その果実を与えることで
貴君のポーンは新たな力を得て
さらなる働きを見せることだろう","By bestowing this fruit unto them, 
your pawn will gain new abilities and 
perform even greater deeds.","","Alvar"
"――本来、ポーンは自らの意思や
その将来を想った願いを持つ存在ではない
しかし、主との結び付きがごくまれに
ポーンにそのような考えと新たな力をもたらすようだ","Normally, pawns lack personal will or aspirations
for their future. Yet, rare bonds with their masters
can grant them such thoughts and new powers.","","Alvar"
"貴君のポーンは良き主を得た
そういうことなのだろう","Your pawns have found a worthy master.
That is how it should be.","","Alvar"
