old,new,speaker,english,speaker,english,speaker
"【ヒント：新たなメインクエストについて】
新たな<COL ff7575>メインクエスト＜和解の使者＞</COL>が受注可能になりました
謁見の間にいるレオに話しかけて受注しましょう","[Tip: About New Main Quests]
New <COL ff7575>Main Quest (Envoy of Reconciliation)</COL>
Gain new orders by speaking to Leo, who is in
the Audience Chamber.",Leo,,Leo,,Leo
"まず《謁見の間》へ行くこと
そのあとでまた会おう
少し話そうぜ","First go to the ""Audience Chamber"". We'll talk again
when we meet later on.",Fabio,,Fabio,,Fabio
"画面右上のミニマップを見て、赤いマーカーが示す
《謁見の間》へ向かいましょう","Look at the minimap on the top-right of
the screen, and head for the ""Audience Chamber""
indicated by the red marker.",Fabio,,Fabio,,Fabio
マップを拡大すると見やすくなります,"Expanding the map out makes it easier
to see everything.",Fabio,,Fabio,,Fabio
【ヒント：ミニマップのサイズ変更】,[Tip: Resizing the Minimap],Fabio,,Fabio,,Fabio
<COL ff7575><KCT UI_MINIMAP>を押しながら<KCT UI_MINIMAP_SCALING></COL>でサイズ変更,"<COL ff7575>While holding <KCT UI_MINIMAP>, change minmap
size by pressing <KCT UI_MINIMAP_SCALING></COL>",Fabio,,Fabio,,Fabio
ついてきな――謁見の間の前まで案内してやるよ,"Follow me. I'll show you around
the Audience Chamber.",Fabio,,Fabio,,Fabio
この神殿は白竜の守護のもと――神官によって統治されてるんだ,"This temple is under the
protection of the White Dragon, and governed
by the priests.",Fabio,,Fabio,,Fabio
砦戦はどうだった？レオとイリスに相当いわれたようだな,"How went the battle? It seems
it went fairly well according to Leo and Iris.",Fabio,,Fabio,,Fabio
一人前の覚者になるためには――まだまだ戦い方を知る必要があるぜ,"In order to become an Arisen,
you still need to know how to properly fight.",Fabio,,Fabio,,Fabio
今のジョブが自分に合ってないと思うなら<COL ff7575>いつでも他のジョブに転職</COL>も可能だ,"If you feel your current
vocation does not suit you, <COL ff7575>it is possible to change
to another vocation at any time.</COL>",Fabio,,Fabio,,Fabio
<COL ff7575>装備を強くしたりスキルの使い方</COL>などいろいろ教える事があるが――まずは白竜に挨拶が先だ,"There are many things to be
taught, such as <COL ff7575>enhancing equipment and
properly utilizing skills.</COL>
Before that however, it is time to greet the
former White Dragon.",Fabio,,Fabio,,Fabio
<COL ff7575>他の覚者と一緒に冒険に出る</COL>――これもお前がもう少し一人前になってからだ,"<COL ff7575>Go out and adventure with
other Arisen</COL>, even if you feel you can handle
things on your own.",Fabio,,Fabio,,Fabio
あと自分の容姿が気に入らないようなら<COL ff7575>＜商店区＞にある美容院</COL>にいくといいぜ,"If you're unsatisfied with your
appearance, seek out the hairdresser
<COL ff7575>located in the Shopping District's beauty salon.</COL>",Fabio,,Fabio,,Fabio
ついたぞ――この先が謁見の間だ,"We've arrived. Beyond this
point lies the Audience Chamber.",Fabio,,Fabio,,Fabio
"今さら自己紹介でもないが
俺は覚者の統率――まとめ役のレオだ","Albeit a bit late for an introduction,
I am Leo, leader of the Arisen.",Leo,,Leo,,Leo
"俺が重要だと考えている
覚者の務めは、ふたつ","I would like to think myself important,
as are the duties of the Arisen.",Leo,,Leo,,Leo
"ひとつは――
石化した白竜の回復を助け
完全なる復活への後押しをすること","First of which, is to reverse the petrification of
the White Dragon, and strive towards its complete
revival.",Leo,,Leo,,Leo
"心臓を捧げた俺たちと
その心臓を預かる白竜は一心同体だ","We who dedicated our hearts, and the
White Dragon whom safeguards the heart,
are all of one mind.",Leo,,Leo,,Leo
"白竜が力を取り戻せば、俺たち覚者の
力も増す――もちろん、その逆もしかり","If the White Dragon regains their strength, so
too shall our strength increase, and of
course, the reverse is also true.",Leo,,Leo,,Leo
"加えて――
白竜はこのレスタニアの大地とも
深くつながっている","Additionally, the White Dragon is also deeply
connected to this land of Lestania.",Leo,,Leo,,Leo
"つまり、レスタニアと、人々の未来は
我々の双肩にかかっているというわけだ","In other words, Lestania and the people's
future, rests upon our shoulders.",Leo,,Leo,,Leo
"もうひとつの務めは
白竜の砦となり、盾として戦うこと","Another duty of ours is to become a bulwark of
the White Dragon, to fight as their shield.",Leo,,Leo,,Leo
"このところ、オークどもの勢いが増している
防衛隊はあちこちの小競り合いで敗走を重ね
グリッテン砦への侵入まで許してしまった","Recently, the Orc's offensive momentum has
increased, and the Defense Corps have been
repeatedly driven to defeat in skirmishes against
them. We've allowed this to continue, that is,
until the invasion of Gritten Fort.",Leo,,Leo,,Leo
"このきびしい季節の到来に合わせるように
覚者になった意味を考えてくれ
そうすれば、生き方が見えてくるだろう","As this harsh season arrives,
consider the meaning of becoming an Arisen.
Then, you'll see a way to live.",Leo,,Leo,,Leo
"もちろん、苦難に背を向ける生き方もある
だが、おまえは誇り高き道を選ぶ――","Of course, there are ways to live that keep one
away from suffering, but you chose a way to
live proudly...",Leo,,Leo,,Leo
ああ、俺の目にくるいはない,Ah... there's nothing in my eye.,Leo,,Leo,,Leo
（白竜は半ば石になっている――）,(The White Dragon is partially turned to stone--),The White Dragon,,The White Dragon,,The White Dragon
"グリッテン砦からのお帰りですね？
初陣、お疲れさまでした","I see you are back from Fort Gritten?
Good job on your first mission!",Mysial,,Mysial,,Mysial
ここであらためてお話ししたいことがあります,"There is something I would like to 
talk about again here.",Mysial,,Mysial,,Mysial
"白竜様がここにいらっしゃる経緯と
現在の状況は知っていますね？","Do you know the background and current situation 
of Lord White Dragon being here?",Mysial,,Mysial,,Mysial
"白竜様は３００年前に竜力の大部分を使い果たし
残されていたのは
あなたたち覚者を生み出す力だけでした","Lord White Dragon exhausted the majority of his 
Dragon Force 300 years ago. 

What remained was only 
the power to create you Arisen.",Mysial,,Mysial,,Mysial
"白竜様は最後の力を振り絞って
幾人もの――異例なことですが――幾人もの
覚者を誕生させたのです","Lord White Dragon exerted his last 
remaining strength, and remarkably, 
he gave birth to numerous Arisen,
despite it being an unusual occurrence.",Mysial,,Mysial,,Mysial
"全身の石化が始まったのはその後のことで
今では時折目覚めては覚者を生み出すくらい――","The petrification of the whole body began 
afterwards, and now he only occasionally 
wakes up and produces an Arisen--",Mysial,,Mysial,,Mysial
"竜力の減退で野山の活力までもが弱まり
それに乗じてオークや魔物が力をつけています","With the decline of Dragon Force, 
even the vigor of the 
fields and mountains has weakened. 
Taking advantage of this, 
the Orcs and enemies have grown stronger.",Mysial,,Mysial,,Mysial
"白竜様に心臓を預けたあなたたちは
時の流れから解放され、老いることはありません","Those of you who have entrusted your hearts 
to Lord White Dragon are liberated from the flow 
of time and do not age.",Mysial,,Mysial,,Mysial
"でも、忘れないでください
レスタニアの大地、そこに暮らす人々――
その上を、時は変わらず流れているのです","But don't forget the land of Lestania, 
or the people who live there--
over which time flows unchanged!",Mysial,,Mysial,,Mysial
"白竜様の復活がどうか間に合いますように
わたしはそう願わずにはいられません
あなたの力を、ぜひ、貸してください","I hope that the resurrection of 
Lord White Dragon will be in time.
I cannot help but wish for it.
Please, lend me your power.",Mysial,,Mysial,,Mysial
わたしは神官のジョゼフだ,"I am Joseph, a priest.",Joseph,,Joseph,,Joseph
"神官と言ってもぴんと来ないだろうが
この神殿を中心とする政（まつりごと）の
取りまとめが主な仕事だ","Even if I say ""priest"", 
you probably won't understand, 
but the main job is to manage the ceremonies 
centered around this temple.",Joseph,,Joseph,,Joseph
"オークどもとの戦争に加えて
味方同士である覚者と騎士団の反目もあってな――","In addition to the war with the orcs,
there is also tension between the Arisen and 
the Knight's Order, who are allies...",Joseph,,Joseph,,Joseph
"部隊編成やら任務の分担、あらゆる事に
口を出すことにしている","I make it a point to involve myself
in everything, from forming squads
to assigning missions.",Joseph,,Joseph,,Joseph
ところで、この神殿の歴史は知っているか？,"By the way, 
do you know the history of this temple?",Joseph,,Joseph,,Joseph
"ふむ――簡単に説明しておこう
かれこれ、３００年前のことだ――","Hmm―― let me explain it briefly. 
This happened about 300 years ago――",Joseph,,Joseph,,Joseph
"この地に墜落し、身動きもならない白竜――
その身を案じたレスタニアの民が力を合わせ
長い時間をかけて造りあげたのがこの神殿だ","The people of Lestania, 
concerned about the white dragon that crashed here
and was unable to move, joined forces
and built this temple over a long period of time.",Joseph,,Joseph,,Joseph
"堅牢な神殿、覚者、騎士団――
そして戦えない者たちが捧げる祈り――
すべてが白竜を守る力となるのだ","A solid temple, the Arisen, the Knight Order――
And the prayers offered by those who cannot fight―
All become the power to protect the White Dragon.",Joseph,,Joseph,,Joseph
