Jp,En,speaker,english,speaker,english,speaker
"あ、そうだ
お前に言っときたいことがあってさ――
《プレイポイント》の使い道についてなんだけど","Oh, right—there's something I wanted
to tell you about how to use your Play Points.",Renton,,Renton,,Renton
"実は――《プレイポイントショップ》で
《至高の戦功勲章》ってのを扱い始めたんだ","Actually, the Play Point Shop has
started offering Supreme Merit Medals.",Renton,,Renton,,Renton
"これ、結構スゴい代物みたいなんだよ
まさに、選ばれし覚者しか手にできない
逸品って感じでさ","This appears to be an extremely
rare item - truly the kind of
artifact meant solely for the Arisen.",Renton,,Renton,,Renton
"詳しくは《クラフトルーム》のソニアに
聞いてみるといいぜ
俺よりずっと詳しいはずだ","For details, ask Sonia in the Craft Room.
She knows way more than I do.",Renton,,Renton,,Renton
"《至高の戦功勲章》、気になるだろ？
詳しくは《クラフトルーム》のソニアに
聞いてみるといいぜ
俺よりずっと詳しいはずだ","Supreme Merit Medal sound interesting, right? 
For details, ask Sonia in the Craft Room. 
She knows way more than I do.",Renton,,Renton,,Renton
"《至高の戦功勲章》について、ですね？
それを手にできるのは
極地に至る志を持つ覚者様のみと伺っています","The Supreme Merit Medal—
I hear it is bestowed exclusively
upon the Arisen determined enough
to brave the utmost frontiers.",Sonia,,Sonia,,Sonia
"しかし、その真価は素材として
利用することで発揮されるものです","However, their true value is revealed
when used as crafting materials.",Sonia,,Sonia,,Sonia
"《至高の戦功勲章》を使って
生産したリングプレートを
鑑定交換を営むグレゴリーに渡すことで
彼が稀少なジュエリーと交換してくれるでしょう","By giving the ring plates produced
using Supreme Merit Medal to Gregory,
the appraisal trader, he will exchange
them for rare jewelry.",Sonia,,Sonia,,Sonia
"生産するリングプレートによって
ジュエリーから引き出せる効能が異なります
クラフトの際は、よく確認なさってください","Jewelry effects differ depending on the
ring plates crafted. Be sure to check
closely when you craft.",Sonia,,Sonia,,Sonia
"そう易々と手に入るものではないかもしれません
――しかし、それだけの価値を持つ
素晴らしいジュエリーであることは確かです","This won't come cheap or quick—
but make no mistake, it's exceptional
jewelry through and through.",Sonia,,Sonia,,Sonia
"【ヒント：リングプレートの効能】
①クラフトメニューから《アイテム生産》→《素材》→《その他》を選択
②各リングプレートを選択し《情報切り替え》で効能に関する説明を確認","【HintHint: Ring Plate Effects】
① Select Craft Item > Materials >
Other in the Craft Menu.
② Choose a ring plate and change info
to see effect descriptions.",Sonia,,Sonia,,Sonia
