old,new,speaker,english,speaker,english,speaker
"やあ、今年もハロウィンの季節がきたんだが――
実はシェリーちゃんの様子が変なんだ","Well, that time of the year has come 'round again—
it's Halloween season, but, something's strange
about little Ms. Shelly this year.",Angelo,,Angelo,,Angelo
"怒ってるわけでも無さそうだし
喋ると何だか妙に怖いしで
ああなっている理由がさっぱりわからない
頼む、君も様子をみてくれないか","It doesn't seem like she's angry,
but when she speaks, it's awfully strange.
I have no idea why she's behaving like that.
Please, could you take a look at her as well?",Angelo,,Angelo,,Angelo
"ヨウヤク、コノキセツガキタワネ
コトシコソハ――オカシヲ、タクサン――
フフフフ――フフフフフ――","At last, the time has come.
This year, many sweets, I shall have—
Fufufu—fufufufu—",Shelly,,Shelly,,Shelly
"ワタシガ、ヘン――？
フフフフフ、オカシナコトヲ――イウノネェ
ホラ、マチガイナクしぇりーヨ","Me? Strange—?
Fufufufu, nothing strange here.
Look, there's no doubt that I'm Shelly.",Shelly,,Shelly,,Shelly
"ソンナコトヨリ
オカシ、チョウダイ","Nevermind that.
Sweets, gimme!",Shelly,,Shelly,,Shelly
"ほら！　な！？
やっぱり様子がおかしいだろう
頼む、彼女に何がおこったのか調べてくれ！
このままでは今年のハロウィンは中止だぁ！","Look! You see!? She's acting odd, isn't she? 
I beg you, find out what's going on with her!
If she continues to be like this,
we won't have Halloween this year!",Angelo,,Angelo,,Angelo
"そういえば、ここに来る途中に聞いたんだが
《ゴーストランタン》というものがあるらしい
かざすと真実の姿を照らし出すという
不思議な力をもったランタンだそうだ","Come to think of it, I heard on the way here
about something called the 《Ghost Lantern》.
They say it holds a mysterious power that reveals
the true forms of things when held aloft.",Angelo,,Angelo,,Angelo
"それを何とかして入手できないだろうか――
えーっと、いつもの！
何でも交換してくれる彼！
彼のところで調べてきてくれ","Can't we somehow obtain it?
Let’s see, the usual one!
That fellow who trades anything!
Go see if he knows anything about it.",Angelo,,Angelo,,Angelo
"おやおや、覚者さん
ずいぶん急いでどうなさいました
――本日はどのようなご用件で？","Well, well, Arisen.
What brings you here in such a hurry?",Gregory,,Gregory,,Gregory
"なるほど、《ゴーストランタン》でございますか
――あることにはありますよ、ええ","I see, the 《Ghost Lantern》, is it?
Yes, such a thing does exist—
Indeed, it does.",Gregory,,Gregory,,Gregory
