old,new,speaker,english,speaker,english,speaker
"メリークリスマス、覚者さま！
先日はマルコのお手伝い、どうも
ありがとうございました！","Merry Christmas, Ser Arisen! 
Thank you for helping Marco the other day! 
Your assistance was greatly appreciated!",Mia,,Mia,,Mia
"おかげで主の務めも滞りなく進んで
本来の覚者としての務めに戻る時期が来たの","Thanks to you, 
Master’s duties have gone smoothly, 
and now the time has come to return to the true 
role as an Arisen.",Mia,,Mia,,Mia
"覚者さまのお手伝いがあったおかげで
例年よりずっと早く終わったわ！
お礼と言ってはなんだけど、
一つ面白いことを教えてあげますね","Thanks to your help, Master Arisen, the work was 
completed much earlier than usual! 
As a token of my gratitude, I have something 
interesting to share with you.",Mia,,Mia,,Mia
"あたしたちが訪れる場所に
なぜかこの時期だけ＜リトル・フロスト＞が
こっそり出現するんです！","For some reason, a Little Frost appears only 
at the places we visit during this season, hidden 
away like a secret!",Mia,,Mia,,Mia
"神殿のアチラコチラにこっそり居るので
良かったら探し出して＜記念撮影＞
とかしてみてはいかがです？","It hides here and there around the temple, so 
if you'd like, why not try to find it and take a 
commemorative photo?",Mia,,Mia,,Mia
"あ！　写真撮れましたね！
それですよそれ、＜リトル・フロスト＞
とっても不思議な置物なんですよね","Ah! You’ve got the picture! That’s it, 
Little Frost! It’s such a curious little 
decoration, isn’t it?",Mia,,Mia,,Mia
"実はあたし達も、何故この時期に
これがこっそり出現するのか分からないんです","The truth is, even we don’t know why this 
appears at this time of year.",Mia,,Mia,,Mia
"でも、なんだか一緒にこの季節を
楽しんでいるみたいで愛らしいですよね","Still, it’s as if we’re sharing this season 
together, and it’s rather endearing.",Mia,,Mia,,Mia
"見つけた者に幸福が訪れる――
なーんて噂もあるみたいですよ","There are rumors that happiness will 
come to the one who finds it--",Mia,,Mia,,Mia
"ほう、＜リトル・フロスト＞を見つけたと？
あれは「幸福の使者」と呼ばれているそうだ
この地にも、君にもきっと幸福が訪れるだろう","Ah, you've discovered the <Little Frost>? 
They say it's known as 
the ""Messenger of Happiness."" 
Happiness will surely visit this land, 
and you too.",Nicholas,,Nicholas,,Nicholas
"ミーアから聞いたと思うが
我々はここでの活動を終える時期が近付いている
君にはとてもお世話になった","As you may have heard from Mia, 
the time to finish our work 
here is drawing near. 
You've been a great help to us.",Nicholas,,Nicholas,,Nicholas
"もしも、覚者としてどこかで会った時は
私が君のために力を尽くすことを約束しよう","Should we meet again, as Arisen, 
I swear I will do everything in 
my power to help you.",Nicholas,,Nicholas,,Nicholas
"これまでのお礼に
さっき見つけた＜リトル・フロスト＞
を一つ差し上げるとしよう","To show my gratitude for all you’ve done, 
I’ll give you one of the 
<Little Frost> I found earlier.",Nicholas,,Nicholas,,Nicholas
"このレスタニアの幸福が途切れないよう
我ら三人も祈っているぞ","We three also pray that Lestania’s happiness 
remains uninterrupted.",Nicholas,,Nicholas,,Nicholas
"この神殿の中に＜リトル・フロスト＞
っていう可愛い置物が出現してますよ！
それを全部見つけて、記念撮影してみてください！","A cute little figure called <Little Frost> has 
appeared in the temple! Find them all and 
try taking a commemorative photo!",Mia,,Mia,,Mia
"近頃、このレスタニアでも
クリスマスの挨拶をよく見るようになった
赤い衣装で記念撮影する者も多いと聞く","Lately, Christmas greetings have become more 
common here in Lestania. I've heard many people 
are taking commemorative photos in red attire.",Nicholas,,Nicholas,,Nicholas
"これも、君の協力があってこそだな
おかげで私の務めも、無事果たせそうだ","It is only through your cooperation that this is 
possible. Thanks to you, I can complete my duty 
without issue.",Nicholas,,Nicholas,,Nicholas
"メリークリスマス、覚者様
＜リトル・フロスト＞ですか？
この酒場と、港と、商店区などで見た――
という噂話を耳にしましたね","Merry Christmas, Ser Arisen. 
Is it about <Little Frost>? 
I heard rumors about seeing them in the tavern, 
port, and shopping district.",Marco,,Marco,,Marco
"主もあたしたちも、とても感謝してます！
覚者さまとレスタニアの人たちに幸あれ！","We, as well as our Master, are deeply thankful! 
May you, Ser Arisen, and all of Lestania's people 
find joy and prosperity!",Mia,,Mia,,Mia
"＜リトル・フロスト＞を見つけたと伺いました
きっと覚者様と貴方様の従者、
それにこの地の人々に幸福が訪れることでしょう","I hear you've found the <Little Frost>. 
Surely happiness will visit you, your 
companions, and the people of this land, 
Ser Arisen.",Marco,,Marco,,Marco
