Jp,En,speaker,english,speaker,english,speaker
"よお！　聞いてるぜ
かなり頼れるシールドセージに
なってきたそうじゃないか！","Hey! I've heard you've become
quite a reliable Shield Sage!",Renton,,Renton,,Renton
"――そこで、シールドセージ道を
さらに究めたいっていうなら
ぜひあんたに紹介したい人がいるんだ","So, if you want to further master
the way of the Shield Sage,
I'd like to introduce you to someone.",Renton,,Renton,,Renton
"《ブリア海岸》で灯台守をしてる
白騎団伝説の盾士、ルドルフォ殿だ！
今は団を退いているが、それでも
盾術であの人の右にでる人はいない","At Breya Coast, there's a lighthouse keeper 
named Master Rudolfo, a legendary shieldsman
of the White Knight Order. Though he's retired,
no one surpasses him in shield techniques.",Renton,,Renton,,Renton
"訓練官としてあんたに依頼だ
シールドセージのジョブマスター
ルドルフォ殿に会ってくれ","As the training officer, I have a request for you.
Meet with Master Rudolfo, 
the Shield Sage Job Master.",Renton,,Renton,,Renton
"あの人から技術を学べば絶対に
もっとすごい盾士になるはずだよ
だから、必ず会ってくれよな！","You'll certainly become
an even more amazing shield user
if you learn from him.
So go meet him, you hear me?!",Renton,,Renton,,Renton
"そこから先はあんた次第だけどさ
あの人には俺も昔、世話になってさぁ！
よろしく伝えておいてくれよ","What happens next is up to you,
but I owe that person a lot from way back.
Make sure to pass that along, will you?",Renton,,Renton,,Renton
"どうだ？　ほら、あの件――
《ブリア海岸》のルドルフォ殿に会うんだぞ
《モルトバ灯台》の灯台守だぞ","How's it going? Hey, about that thing—
You're going to meet Master Rudolfo
at Breya Coast, right? 
The lighthouse keeper!",Renton,,Renton,,Renton
"あんたがレスタニア守護者級の
シールドセージになったら
俺も訓練官として評判急上昇だぜ！　へへッ","When you're a top-tier Shield Sage,
the Guardian of Lestania, no less,
my trainer rep is gonna soar! Heheh.",Renton,,Renton,,Renton
"うん、なんじゃワシに話？
白騎団のレンテンからの紹介？","Yes? What business do you have with me?
White Knight Renton sent you?",Rudolfo,,Rudolfo,,Rudolfo
"――ああ、あの若造か
たしか訓練官になったんじゃったな
ということは、ジョブ指南の斡旋か","Ah, that youngster. I heard he became a trainer. 
Meaning, you're here for job training?",Rudolfo,,Rudolfo,,Rudolfo
"ふむ、お前さんがその気なら
《ジョブマスター》として稽古をつけてやってもよい","Very well. If you're willing, I can train you.",Rudolfo,,Rudolfo,,Rudolfo
"お前さんの力量
品定めさせてもらおうかの","Allow me to assess your skills, Ser.",Rudolfo,,Rudolfo,,Rudolfo
