"Jp","En","english","speaker"
"おや、ひとりか
入れ違いになったようだな","Alone, huh? You must've walked past each other
without noticing.","","Joseph"
"メイリーフが、小鳥のことで相談があると
ここに来ていたのだ
それがどうにも要領を得ない話でな――","Mayleaf was here concerning
some bird issue, though her
explanation was unclear...","","Joseph"
"そういうことなら隊長が得意だろうから
探して相談するといい――そう言っておいた
あとは頼んだぞ","I said the captain would be good at this,
so go and ask them...
Left it to you.","","Joseph"
"メイリーフは――
はて、少し前までそのあたりにいたのだが","Mayleaf... Well, she was here
not too long ago, but...","","Joseph"
"メイリーフかい？
うーん、自分の家じゃないかなあ","Mayleaf? Maybe she's at home.","","Klaus"
"小鳥の様子がおかしい――変だって
ずいぶん心配していたからね","The little bird was acting strange—
She was really worried about how odd it seemed.","","Klaus"
"ほら、あのキースヒルトから贈られた
小鳥なんだってさ","That little bird was a gift from
Kieshildt, or so I heard...","","Klaus"
"ああ、隊長さん
メイリーフの頼みをきいてあげて","Captain, can you hear Mayleaf out?","","Pamela"
"ずっと小鳥の心配ばかりで――
このままではメイリーフが倒れてしまいそうなの","She’s been so worried about the bird—
if this continues, she might collapse.","","Pamela"
"見て、隊長さん！","Look, Captain!","","Mayleaf"
"わたしのヒルティが――
ほら、悲しそうに鳴いているでしょう？","My Hilti-
See how sad she sounds?","","Mayleaf"
"隊長、まずはメイリーフの話を聞いてみて","Captain, listen to what Mayleaf has to say first.","","Lise"
"隊長さん、お願いします
ヒルティはキースヒルトから預かった
大切な小鳥なの","Captain, please. Hilti is a precious bird
entrusted to me by Kieshildt.","","Mayleaf"
"手分けして南の森を調べて
その後、合流することにしよう","Let's split up and check the southern forest
and then we'll meet up.","","Lise"
"何事もなければいいのだけど――","I hope nothing’s wrong...","","Pamela"
"久しぶりだね
リズはもう到着しているよ","Long time no see. Lise has already arrived.","","Rondejeel"
"さすが、対応が早いわね
詳しい話は聞いている？
ああ、そうでもないんだ","That was quick indeed.
Are you up to speed already?
Ah, not really then...","","Ringdeel"
"――いつからだったかな","...When did it start, I wonder.","","Ringdeel"
"まず、森から鳥たちが減ってしまったの
次は小動物で、そして今は
中型の肉食動物たちも滅多に見なくなったわ","First, the birds disappeared from the forest.
Then small animals, and now even mid-sized
predators are rarely seen.","","Ringdeel"
"動物たちが戻らないと、森の姿が
変わってしまって、最悪の場合は
森が死んでしまうかもしれないよね","If the animals don't return, the
forest will change, and worst case,
it might even die completely...","","Ringdeel"
"もしかしたら、白竜様にまた何か起こったのかと
思ったけど、そんなことはないっていうし――
だとすると、原因はなんだろうね","I thought maybe something happened to Lord White
Dragon again, but they said that wasn't the case—
so then, what could be the cause?","","Ringdeel"
"ああ、隊長
このあたりを歩きまわってみたけど
やっぱりこれまでとは雰囲気がちがうの","Ah, Captain.
I tried walking around the area, but the 
atmosphere really is different from before.","","Lise"
"ロンドジールが少し調べたみたいだから
直接聞いてみて","It seems Rondejeel looked into it a bit,
so try asking directly.","","Lise"
"詳しいことはロンドジールから聞いてみて","Ask Rondejeel for the details.","","Lise"
"最近、森の動物がすっかり減ってしまって――
たまに見つけても、とても怯えているんだ","Lately, the forest animals have decreased
considerably. Even when I occasionally find
one, they're extremely frightened.","","Rondejeel"
"まあ、正確には、怯えているように見えるという
意味だけど――","Well, to be precise, 
they appear to be terrified...","","Rondejeel"
"僕には、様子が変ということしかわからないけど
その感じはエルテ・ディナンに近づくほど
強い気がするよ","All I can tell is that something feels off, but
that sensation seems to grow stronger the closer
I get to Erte Deenan.","","Rondejeel"
