Jp,En,speaker,english,speaker,english,speaker
"ふふ――そろそろ来る頃だと思ってたわ
また、新たな力が欲しいんでしょう？
ふふ、その貪欲さも破壊の力を強くするのよ","Hmm... I thought you'd be coming soon.
You want more power again, don't you?
Hehe... your greed also makes your 
destructive power stronger.",Emerada,,Emerada,,Emerada
"あなたにこの魔術を得る資格があるか
あたくしが傍について見極めてあげるわ
試練の場へいらっしゃい","Let me assess if you deserve this sorcery -
I'll be watching closely.
To the trial arena with you.",Emerada,,Emerada,,Emerada
"あなたにこの魔術を得る資格があるか
あたくしが傍について見極めてあげるわ
試練の場へいらっしゃい","Let me assess if you deserve this sorcery -
I'll be watching closely.
To the trial arena with you.",Emerada,,Emerada,,Emerada
"――あたくしはその気になれば
すぐに行けるもの
気にしないでいいのよ","...I can travel there anytime if I feel like it.
Don't worry about me.",Emerada,,Emerada,,Emerada
"待ってたわ
それじゃあ、あなたが以前から
どれだけ腕を上げたか傍で見せてもらうわよ
――行きましょう","I've been waiting.
Now then, let me see for myself just how much
you've improved since last time.
Let's go.",Emerada,,Emerada,,Emerada
あなたの織り上げる魔術、見せてちょうだい,Show me the magic you weave.,Emerada,,Emerada,,Emerada
いたわね、最初の試練よ,"There you are, the first trial.",Emerada,,Emerada,,Emerada
その調子――さぁ、次の試練に向かいましょう,"That's the spirit... 
Now, head to the next trial.",Emerada,,Emerada,,Emerada
そうよ、まだまだ集中して,"Yes, stay focused.",Emerada,,Emerada,,Emerada
魔力を制御するのが上手くなったわね、さぁ次に行きましょう,"You've gotten better at controlling magick. 
Now, let's move on.",Emerada,,Emerada,,Emerada
ごらんなさい、これが最後の試練よ,"Behold, the the final trial.",Emerada,,Emerada,,Emerada
"ずいぶん磨かれたじゃない、見違えたわ
――ふふふ、合格よ
戦技の継承は私の家で行おうかしら
さぁ、帰りましょう","You've polished yourself quite a bit,
I barely recognize you... 
Heheh, you pass.
We will perform the rite
at my house. Come, let us go back.",Emerada,,Emerada,,Emerada
"ふふふ、合格よ
戦技の継承は私の家で行うわ
さぁ、帰りましょう","Heheh, you pass.
We will perform the rite
at my house. 
Come, let us go back.",Emerada,,Emerada,,Emerada
"あなたなら、この術をたやすく
使いこなすことができるはずよ
さぁ、あなた自身が試練の場で織り上げたこの術
存分にお使いなさい――","Someone like you should have no trouble
mastering this technique.
Go ahead, use this art you wove in the trial grounds
to your heart's content.",Emerada,,Emerada,,Emerada
"それにしても、あなたったら
あたくしに隠れて修行するのが好きなのね
美しく羽根が揃い始めた若鳥――
そろそろ羽ばたく時がくるのかしらね？","Still, you really like training in secret
away from me, don't you?
A young bird whose beautiful feathers 
are starting to grow...
I wonder if the time to take flight is near?",Emerada,,Emerada,,Emerada
魔力の奔流を感じて――,Feel the torrent of magickal power...,Emerada,,Emerada,,Emerada
あなたの得意とする魔術は何かしら？,What magick are you good at?,Emerada,,Emerada,,Emerada
詠唱には時間がかかるわ、敵との間合いに気を付けて,"Chanting takes time, so mind
your distance from the enemy.",Emerada,,Emerada,,Emerada
スペリングの修行は続けているかしら？　大切なことよ,"Are you continuing your chanting
practice? It's important.",Emerada,,Emerada,,Emerada
ソーサリーとは万物を理解する、学問に近いものなの,"Sorcery is something close to a discipline 
that seeks to understand all things.",Emerada,,Emerada,,Emerada
スペリングで威力を上昇させるのを忘れないで,Do not forget to increase power with chanting.,Emerada,,Emerada,,Emerada
人であることを忘れ、力に身を委ねなさい,"Forget that you are human 
and surrender yourself to power.",Emerada,,Emerada,,Emerada
ふふ、戦うあたくしは滅多に見られなくてよ,"Hehe.
It's not often you get to see me fight.",Emerada,,Emerada,,Emerada
敵の様子を見ながら詠唱するのよ,Chant while observing the enemy's movements.,Emerada,,Emerada,,Emerada
ほらほら、間合いには気を付けなさいな,"Now now, mind your distance.",Emerada,,Emerada,,Emerada
