"Jp","En","english","speaker"
"――王都メガド解放の功労者である
レスタニア大陸の覚者様ですね？
お待ちしておりました","... You are Ser Arisen from the land of Lestania, 
who contributed to the liberation of the 
Royal Capital Megado, are you not?
We have been expecting you.","","Ennis"
"わたくしはクルト侯爵家当主
<NPC 681>・クルトに仕えております
<NPC 586>と申します","I serve <NPC 681>, 
the Lord of the House of Kurt.
My name is <NPC 586>.","","Ennis"
"クルト侯爵家は代々メガドの執政を
王家から任されておりまして――","The Kurt marquisate has for generations
been entrusted by the royal house with
Megado's governance...","","Ennis"
"主人である<NPC 681>・クルトが
覚者様に直接礼をしたいとのことで
お迎えに上がりました","My master, <NPC 681> Kurt, wishes to
express his gratitude to you personally,
Ser Arisen, which is why I have come
to welcome you.","","Ennis"
"主人<NPC 681>・クルトは
屋敷で覚者様をお待ちしております
ご招待をお受けいただけますでしょうか？","Master <NPC 681> Kurt is waiting for
you at the mansion, Ser Arisen.
Would you honor us and accept his invitation?","","Ennis"
"はい","Yes","","Ennis"
"いいえ","No","","Ennis"
"ありがとうございます
それでは早速、屋敷へ参りましょう","Thank you. Then let us proceed to
the mansion without delay.","","Ennis"
"左様でございますか
ですが、主人は「是非とも」と――
覚者様のお支度が整うまで
ここでお待ちしております","Is that so? However, my master
insisted upon it ""by all means""--
I shall wait here until you are ready, Ser Arisen.","","Ennis"
"あらためて、ようこそお越し下さいました
<NPC 681>・クルト侯爵へお声を――","Once more, we welcome you.
Please address Marquis <NPC 681>
Kurt when you are ready.","","Ennis"
"やぁやぁ、お初にお目にかかりますな
私は<COL ff2600>ナヴィド・クルト</COL>
このメガドの執政を担う
クルト侯爵家の当主でございます","Well well, it is a pleasure to meet you.
I am <COL ff2600>Navid Kurt </COL>, the acting
ruler of Megado and head of House Kurt.","","Navido"
"メガドを救った英雄にご挨拶を、と思いましてな
いかがでしょう、覚者殿がよろしければ――
我が屋敷にて、今までの華麗なる冒険譚を
お聞かせ願えませんかな","I wished to greet the hero who saved
Megado. If it pleases you, Master Arisen--
would you regale us with tales of your
brilliant adventures?","","Navido"
"覚者殿をお招きしたのは他でもなく
我が街を取り戻してくださったことの
感謝を伝えたいと思いまして","The reason I invited you, Master Arisen,
is none other than to express my gratitude
for reclaiming our city.","","Navido"
"オーク共に侵略されてから、市民と共に
耐え続けて幾月経ったことか――
このメガドを取り戻していただき
市民を代表してお礼申し上げたい","Since the orcs invaded, we citizens
have endured for months unending...
I wish to thank you, on behalf of the
people, for reclaiming Megado.","","Navido"
"――と、まぁ立ち話も難ですので
覚者殿にお部屋を用意させていただきました","... Well, standing here talking hardly suffices.
We’ve prepared a room for you, Master Arisen. 
Please follow me this way.","","Navido"
"長旅お疲れでしょうから
どうぞ、そちらでごゆっくりお休みください
夕食時になればお呼びいたしますよ","You must be tired from your long
journey. Please, rest there at your
leisure. I will call you when dinner is ready.","","Navido"
"おい、こっちだ！","Hey, over here!","","Mephis"
"メガドを解放した異国の覚者というのは
お前か？
安心しろ、見ての通り俺はオークじゃない
お前を助けに来た人間だ","You're the foreign Arisen who freed Megado?
Relax—as you see, I'm not an orc.
I'm human and came here to help.","","Mephis"
"ゆっくり立ち話している暇はない
死にたくなかったらついてこい","We don't have time to stand around talking.
Come with me if you want to live.","","Mephis"
"なんとか無事のようだな――
俺たちの集会所がある
まずはそこへ向かおう","Safe and sound, it appears—fine.
Our haven stands close at hand.
We'll proceed there together.","","Mephis"
"ちょっと待て――尾行されている
もっと入り組んだ場所へ行って
何者か突き止めてやる必要があるな","Wait a second--we're being followed.
We need to go somewhere they'll lose track 
of us and find out who it is.","","Mephis"
"あんたは先に行ってくれ
俺はひと仕事してくる――","You go on ahead. 
I'm gonna go take care of business...","","Mephis"
"階段を下りた先が集会所、水車が目印だ
そこに<NPC 3252>という仲間がいる
そいつと落ち合ってくれ","The meeting place is down the stairs,
marked by a waterwheel. There's a
comrade named <NPC 3252> there.
Meet up with them.","","Mephis"
"この俺を尾行するとは
いい度胸してやがるな
ククク――","Following me, are you? You've got
some nerve. Heh heh heh--","","Mephis"
"――何してる、先に行くんだ
俺はひと仕事してくる","—What're you doing? Go on ahead.
I've work to finish here.","","Mephis"
